Date,Symbol,Price,Available Supply,Unlocked Supply,Reserved (TBD),Founder / Team,Private Investors,Reserved,Community & Other
Jul 17 2027,ARB,0,10000000000.00,6596250000.00,3403750000.00,2694000000.00,1753000000.00,874250000.00,1275000000.00
Jul 15 2027,ARB,0,10000000000.00,6596250000.00,3403750000.00,2694000000.00,1753000000.00,874250000.00,1275000000.00
Jul 13 2027,ARB,0,10000000000.00,6596250000.00,3403750000.00,2694000000.00,1753000000.00,874250000.00,1275000000.00
Jul 11 2027,ARB,0,10000000000.00,6596250000.00,3403750000.00,2694000000.00,1753000000.00,874250000.00,1275000000.00
Jul 10 2027,ARB,0,10000000000.00,6596250000.00,3403750000.00,2694000000.00,1753000000.00,874250000.00,1275000000.00
Jul 08 2027,ARB,0,10000000000.00,6596250000.00,3403750000.00,2694000000.00,1753000000.00,874250000.00,1275000000.00
Jul 06 2027,ARB,0,10000000000.00,6596250000.00,3403750000.00,2694000000.00,1753000000.00,874250000.00,1275000000.00
Jul 04 2027,ARB,0,10000000000.00,6596250000.00,3403750000.00,2694000000.00,1753000000.00,874250000.00,1275000000.00
Jul 02 2027,ARB,0,10000000000.00,6596250000.00,3403750000.00,2694000000.00,1753000000.00,874250000.00,1275000000.00
Jun 30 2027,ARB,0,10000000000.00,6596250000.00,3403750000.00,2694000000.00,1753000000.00,874250000.00,1275000000.00
Jun 28 2027,ARB,0,10000000000.00,6596250000.00,3403750000.00,2694000000.00,1753000000.00,874250000.00,1275000000.00
Jun 26 2027,ARB,0,10000000000.00,6596250000.00,3403750000.00,2694000000.00,1753000000.00,874250000.00,1275000000.00
Jun 25 2027,ARB,0,10000000000.00,6596250000.00,3403750000.00,2694000000.00,1753000000.00,874250000.00,1275000000.00
Jun 23 2027,ARB,0,10000000000.00,6596250000.00,3403750000.00,2694000000.00,1753000000.00,874250000.00,1275000000.00
Jun 21 2027,ARB,0,10000000000.00,6596250000.00,3403750000.00,2694000000.00,1753000000.00,874250000.00,1275000000.00
Jun 19 2027,ARB,0,10000000000.00,6596250000.00,3403750000.00,2694000000.00,1753000000.00,874250000.00,1275000000.00
