Date,Symbol,Price,Available Supply,Unlocked Supply,Community & Other
Mar 06 2024,LUNA,$1.14,0,926945454.55,926945454.55
Mar 05 2024,LUNA,$0.82,0,926054545.45,926054545.45
Mar 04 2024,LUNA,$0.82,0,925163636.36,925163636.36
Mar 03 2024,LUNA,$0.85,0,924272727.27,924272727.27
Mar 02 2024,LUNA,$0.76,0,923381818.18,923381818.18
Mar 01 2024,LUNA,$0.70,0,922490909.09,922490909.09
Mar 01 2024,LUNA,$0.70,0,922490909.09,922490909.09
Feb 29 2024,LUNA,$0.69,0,921600000.00,921600000.00
Feb 28 2024,LUNA,$0.70,0,920709090.91,920709090.91
Feb 27 2024,LUNA,$0.69,0,919818181.82,919818181.82
Feb 26 2024,LUNA,$0.69,0,918927272.73,918927272.73
Feb 25 2024,LUNA,$0.66,0,918036363.64,918036363.64
Feb 24 2024,LUNA,$0.65,0,917145454.55,917145454.55
Feb 23 2024,LUNA,$0.66,0,916254545.45,916254545.45
Feb 23 2024,LUNA,$0.66,0,916254545.45,916254545.45
Feb 22 2024,LUNA,$0.66,0,915363636.36,915363636.36
Feb 21 2024,LUNA,$0.68,0,914472727.27,914472727.27
Feb 20 2024,LUNA,$0.71,0,913581818.18,913581818.18
Feb 19 2024,LUNA,$0.71,0,912690909.09,912690909.09
Feb 18 2024,LUNA,$0.71,0,911800000.00,911800000.00
Feb 17 2024,LUNA,$0.71,0,910909090.91,910909090.91
Feb 17 2024,LUNA,$0.71,0,910909090.91,910909090.91
Feb 16 2024,LUNA,$0.72,0,910018181.82,910018181.82
Feb 15 2024,LUNA,$0.69,0,909127272.73,909127272.73
Feb 14 2024,LUNA,$0.66,0,908236363.64,908236363.64
Feb 13 2024,LUNA,$0.67,0,907345454.55,907345454.55
Feb 12 2024,LUNA,$0.66,0,906454545.45,906454545.45
Feb 11 2024,LUNA,$0.68,0,905563636.36,905563636.36
Feb 10 2024,LUNA,$0.67,0,904672727.27,904672727.27
Feb 10 2024,LUNA,$0.67,0,904672727.27,904672727.27
Feb 09 2024,LUNA,$0.66,0,903781818.18,903781818.18
Feb 08 2024,LUNA,$0.65,0,902890909.09,902890909.09
Feb 07 2024,LUNA,$0.64,0,902000000.00,902000000.00
Feb 06 2024,LUNA,$0.63,0,901109090.91,901109090.91
Feb 05 2024,LUNA,$0.62,0,900218181.82,900218181.82
Feb 04 2024,LUNA,$0.64,0,899327272.73,899327272.73
Feb 04 2024,LUNA,$0.64,0,899327272.73,899327272.73
Feb 03 2024,LUNA,$0.62,0,898436363.64,898436363.64
Feb 02 2024,LUNA,$0.60,0,897545454.55,897545454.55
Feb 01 2024,LUNA,$0.60,0,896654545.45,896654545.45
Jan 31 2024,LUNA,$0.63,0,895763636.36,895763636.36
Jan 30 2024,LUNA,$0.64,0,894872727.27,894872727.27
Jan 29 2024,LUNA,$0.63,0,893981818.18,893981818.18
Jan 28 2024,LUNA,$0.65,0,893090909.09,893090909.09
Jan 28 2024,LUNA,$0.65,0,893090909.09,893090909.09
Jan 27 2024,LUNA,$0.61,0,892200000.00,892200000.00
Jan 26 2024,LUNA,$0.59,0,891309090.91,891309090.91
Jan 25 2024,LUNA,$0.59,0,890418181.82,890418181.82
Jan 24 2024,LUNA,$0.57,0,889527272.73,889527272.73
Jan 23 2024,LUNA,$0.59,0,888636363.64,888636363.64
Jan 22 2024,LUNA,$0.64,0,887745454.55,887745454.55
Jan 22 2024,LUNA,$0.64,0,887745454.55,887745454.55
Jan 21 2024,LUNA,$0.66,0,886854545.45,886854545.45
Jan 20 2024,LUNA,$0.65,0,885963636.36,885963636.36
Jan 19 2024,LUNA,$0.69,0,885072727.27,885072727.27
Jan 18 2024,LUNA,$0.73,0,884181818.18,884181818.18
Jan 17 2024,LUNA,$0.74,0,883290909.09,883290909.09
Jan 16 2024,LUNA,$0.72,0,882400000.00,882400000.00
Jan 16 2024,LUNA,$0.72,0,882400000.00,882400000.00
Jan 15 2024,LUNA,$0.73,0,881509090.91,881509090.91
Jan 14 2024,LUNA,$0.76,0,880618181.82,880618181.82
Jan 13 2024,LUNA,$0.69,0,879727272.73,879727272.73
Jan 12 2024,LUNA,$0.72,0,878836363.64,878836363.64
Jan 11 2024,LUNA,$0.73,0,877945454.55,877945454.55
Jan 10 2024,LUNA,$0.67,0,877054545.45,877054545.45
Jan 09 2024,LUNA,$0.72,0,876163636.36,876163636.36
Jan 09 2024,LUNA,$0.72,0,876163636.36,876163636.36
Jan 08 2024,LUNA,$0.66,0,875272727.27,875272727.27
Jan 07 2024,LUNA,$0.69,0,874381818.18,874381818.18
Jan 06 2024,LUNA,$0.71,0,873490909.09,873490909.09
Jan 05 2024,LUNA,$0.76,0,872600000.00,872600000.00
