Date,Symbol,Price,Available Supply,Unlocked Supply,Reserved (TBD),Private Investors,Reserved,Community & Other
Mar 12 2031,RNDR,0,575429014.00,340401341.00,235027673.00,117843239.00,184000000.00,38558102.00
Mar 07 2031,RNDR,0,575429014.00,340401341.00,235027673.00,117843239.00,184000000.00,38558102.00
Mar 03 2031,RNDR,0,575429014.00,340401341.00,235027673.00,117843239.00,184000000.00,38558102.00
Feb 26 2031,RNDR,0,575429014.00,340401341.00,235027673.00,117843239.00,184000000.00,38558102.00
Feb 21 2031,RNDR,0,575429014.00,340401341.00,235027673.00,117843239.00,184000000.00,38558102.00
Feb 17 2031,RNDR,0,575429014.00,340401341.00,235027673.00,117843239.00,184000000.00,38558102.00
Feb 12 2031,RNDR,0,575429014.00,340401341.00,235027673.00,117843239.00,184000000.00,38558102.00
Feb 07 2031,RNDR,0,575429014.00,340401341.00,235027673.00,117843239.00,184000000.00,38558102.00
Feb 03 2031,RNDR,0,575429014.00,340401341.00,235027673.00,117843239.00,184000000.00,38558102.00
Jan 29 2031,RNDR,0,575429014.00,340401341.00,235027673.00,117843239.00,184000000.00,38558102.00
Jan 24 2031,RNDR,0,575429014.00,340401341.00,235027673.00,117843239.00,184000000.00,38558102.00
Jan 20 2031,RNDR,0,575429014.00,340401341.00,235027673.00,117843239.00,184000000.00,38558102.00
Jan 15 2031,RNDR,0,575429014.00,340401341.00,235027673.00,117843239.00,184000000.00,38558102.00
Jan 11 2031,RNDR,0,575429014.00,340401341.00,235027673.00,117843239.00,184000000.00,38558102.00
Jan 06 2031,RNDR,0,575429014.00,340401341.00,235027673.00,117843239.00,184000000.00,38558102.00
Jan 01 2031,RNDR,0,575429014.00,340401341.00,235027673.00,117843239.00,184000000.00,38558102.00
Dec 28 2030,RNDR,0,575429014.00,340401341.00,235027673.00,117843239.00,184000000.00,38558102.00
Dec 23 2030,RNDR,0,575429014.00,340401341.00,235027673.00,117843239.00,184000000.00,38558102.00
Dec 18 2030,RNDR,0,575429014.00,340401341.00,235027673.00,117843239.00,184000000.00,38558102.00
Dec 14 2030,RNDR,0,575429014.00,340401341.00,235027673.00,117843239.00,184000000.00,38558102.00
Dec 09 2030,RNDR,0,575129365.00,340101692.00,235027673.00,117843239.00,184000000.00,38258453.00
Dec 04 2030,RNDR,0,575129365.00,340101692.00,235027673.00,117843239.00,184000000.00,38258453.00
Nov 30 2030,RNDR,0,575129365.00,340101692.00,235027673.00,117843239.00,184000000.00,38258453.00
Nov 25 2030,RNDR,0,575129365.00,340101692.00,235027673.00,117843239.00,184000000.00,38258453.00
Nov 20 2030,RNDR,0,575129365.00,340101692.00,235027673.00,117843239.00,184000000.00,38258453.00
Nov 16 2030,RNDR,0,575129365.00,340101692.00,235027673.00,117843239.00,184000000.00,38258453.00
Nov 11 2030,RNDR,0,574829716.00,339802043.00,235027673.00,117843239.00,184000000.00,37958804.00
Nov 06 2030,RNDR,0,574829716.00,339802043.00,235027673.00,117843239.00,184000000.00,37958804.00
Nov 02 2030,RNDR,0,574829716.00,339802043.00,235027673.00,117843239.00,184000000.00,37958804.00
Oct 28 2030,RNDR,0,574829716.00,339802043.00,235027673.00,117843239.00,184000000.00,37958804.00
Oct 23 2030,RNDR,0,574829716.00,339802043.00,235027673.00,117843239.00,184000000.00,37958804.00
Oct 19 2030,RNDR,0,574829716.00,339802043.00,235027673.00,117843239.00,184000000.00,37958804.00
Oct 14 2030,RNDR,0,574829716.00,339802043.00,235027673.00,117843239.00,184000000.00,37958804.00
Oct 09 2030,RNDR,0,574530066.00,339502393.00,235027673.00,117843239.00,184000000.00,37659154.00
Oct 05 2030,RNDR,0,574530066.00,339502393.00,235027673.00,117843239.00,184000000.00,37659154.00
Sep 30 2030,RNDR,0,574530066.00,339502393.00,235027673.00,117843239.00,184000000.00,37659154.00
Sep 26 2030,RNDR,0,574530066.00,339502393.00,235027673.00,117843239.00,184000000.00,37659154.00
Sep 21 2030,RNDR,0,574530066.00,339502393.00,235027673.00,117843239.00,184000000.00,37659154.00
Sep 16 2030,RNDR,0,574530066.00,339502393.00,235027673.00,117843239.00,184000000.00,37659154.00
Sep 12 2030,RNDR,0,574230417.00,339202744.00,235027673.00,117843239.00,184000000.00,37359505.00
Sep 07 2030,RNDR,0,574230417.00,339202744.00,235027673.00,117843239.00,184000000.00,37359505.00
Sep 02 2030,RNDR,0,574230417.00,339202744.00,235027673.00,117843239.00,184000000.00,37359505.00
Aug 29 2030,RNDR,0,574230417.00,339202744.00,235027673.00,117843239.00,184000000.00,37359505.00
Aug 24 2030,RNDR,0,574230417.00,339202744.00,235027673.00,117843239.00,184000000.00,37359505.00
Aug 19 2030,RNDR,0,574230417.00,339202744.00,235027673.00,117843239.00,184000000.00,37359505.00
Aug 15 2030,RNDR,0,574230417.00,339202744.00,235027673.00,117843239.00,184000000.00,37359505.00
Aug 10 2030,RNDR,0,573913327.00,338885654.00,235027673.00,117843239.00,184000000.00,37042415.00
Aug 05 2030,RNDR,0,573913327.00,338885654.00,235027673.00,117843239.00,184000000.00,37042415.00
Aug 01 2030,RNDR,0,573913327.00,338885654.00,235027673.00,117843239.00,184000000.00,37042415.00
Jul 27 2030,RNDR,0,573913327.00,338885654.00,235027673.00,117843239.00,184000000.00,37042415.00
Jul 22 2030,RNDR,0,573913327.00,338885654.00,235027673.00,117843239.00,184000000.00,37042415.00
Jul 18 2030,RNDR,0,573913327.00,338885654.00,235027673.00,117843239.00,184000000.00,37042415.00
Jul 13 2030,RNDR,0,573596238.00,338568565.00,235027673.00,117843239.00,184000000.00,36725326.00
Jul 08 2030,RNDR,0,573596238.00,338568565.00,235027673.00,117843239.00,184000000.00,36725326.00
Jul 04 2030,RNDR,0,573596238.00,338568565.00,235027673.00,117843239.00,184000000.00,36725326.00
Jun 29 2030,RNDR,0,573596238.00,338568565.00,235027673.00,117843239.00,184000000.00,36725326.00
Jun 24 2030,RNDR,0,573596238.00,338568565.00,235027673.00,117843239.00,184000000.00,36725326.00
Jun 20 2030,RNDR,0,573596238.00,338568565.00,235027673.00,117843239.00,184000000.00,36725326.00
Jun 15 2030,RNDR,0,573596238.00,338568565.00,235027673.00,117843239.00,184000000.00,36725326.00
Jun 11 2030,RNDR,0,573279148.00,338251475.00,235027673.00,117843239.00,184000000.00,36408236.00
Jun 06 2030,RNDR,0,573279148.00,338251475.00,235027673.00,117843239.00,184000000.00,36408236.00
Jun 01 2030,RNDR,0,573279148.00,338251475.00,235027673.00,117843239.00,184000000.00,36408236.00
May 28 2030,RNDR,0,573279148.00,338251475.00,235027673.00,117843239.00,184000000.00,36408236.00
May 23 2030,RNDR,0,573279148.00,338251475.00,235027673.00,117843239.00,184000000.00,36408236.00
May 18 2030,RNDR,0,573279148.00,338251475.00,235027673.00,117843239.00,184000000.00,36408236.00
May 14 2030,RNDR,0,572962059.00,337934386.00,235027673.00,117843239.00,184000000.00,36091147.00
