Date,Symbol,Price,Available Supply,Unlocked Supply,Community & Other (TBD),Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
Jan 04 2026,COW,0,1000000000.00,484424755.00,515575245.00,155333333.00,98332507.00,46350459.00,8000000.00,176408456.00
Jan 03 2026,COW,0,1000000000.00,484424755.00,515575245.00,155333333.00,98332507.00,46350459.00,8000000.00,176408456.00
Jan 01 2026,COW,0,1000000000.00,484424755.00,515575245.00,155333333.00,98332507.00,46350459.00,8000000.00,176408456.00
Dec 30 2025,COW,0,999440536.64,483865291.64,515575245.00,155116083.58,98194979.02,46285633.18,8000000.00,176268595.86
Dec 28 2025,COW,0,998881073.29,483305828.29,515575245.00,154898834.17,98057451.04,46220807.37,8000000.00,176128735.72
Dec 26 2025,COW,0,998321609.93,482746364.93,515575245.00,154681584.75,97919923.05,46155981.55,8000000.00,175988875.58
Dec 25 2025,COW,0,998041878.26,482466633.26,515575245.00,154572960.04,97851159.06,46123568.64,8000000.00,175918945.51
Dec 23 2025,COW,0,997482414.90,481907169.90,515575245.00,154355710.62,97713631.08,46058742.82,8000000.00,175779085.37
Dec 21 2025,COW,0,996922951.55,481347706.55,515575245.00,154138461.21,97576103.10,45993917.01,8000000.00,175639225.23
Dec 19 2025,COW,0,996363488.19,480788243.19,515575245.00,153921211.79,97438575.12,45929091.19,8000000.00,175499365.09
Dec 17 2025,COW,0,995804024.84,480228779.84,515575245.00,153703962.37,97301047.14,45864265.37,8000000.00,175359504.95
Dec 16 2025,COW,0,995524293.16,479949048.16,515575245.00,153595337.67,97232283.15,45831852.47,8000000.00,175289574.88
Dec 14 2025,COW,0,994964829.80,479389584.80,515575245.00,153378088.25,97094755.16,45767026.65,8000000.00,175149714.74
Dec 12 2025,COW,0,994405366.45,478830121.45,515575245.00,153160838.83,96957227.18,45702200.83,8000000.00,175009854.60
Dec 10 2025,COW,0,993845903.09,478270658.09,515575245.00,152943589.42,96819699.20,45637375.02,8000000.00,174869994.46
Dec 08 2025,COW,0,993286439.74,477711194.74,515575245.00,152726340.00,96682171.22,45572549.20,8000000.00,174730134.32
Dec 07 2025,COW,0,993006708.06,477431463.06,515575245.00,152617715.29,96613407.23,45540136.29,8000000.00,174660204.25
Dec 05 2025,COW,0,992447244.70,476871999.70,515575245.00,152400465.87,96475879.25,45475310.47,8000000.00,174520344.11
Dec 03 2025,COW,0,991887781.35,476312536.35,515575245.00,152183216.46,96338351.26,45410484.66,8000000.00,174380483.97
Dec 01 2025,COW,0,991328317.99,475753072.99,515575245.00,151965967.04,96200823.28,45345658.84,8000000.00,174240623.83
Nov 29 2025,COW,0,990768854.64,475193609.64,515575245.00,151748717.62,96063295.30,45280833.02,8000000.00,174100763.69
Nov 28 2025,COW,0,990489122.96,474913877.96,515575245.00,151640092.91,95994531.31,45248420.11,8000000.00,174030833.62
Nov 26 2025,COW,0,989929659.61,474354414.61,515575245.00,151422843.50,95857003.33,45183594.30,8000000.00,173890973.48
Nov 24 2025,COW,0,989370196.25,473794951.25,515575245.00,151205594.08,95719475.35,45118768.48,8000000.00,173751113.34
Nov 22 2025,COW,0,988810732.90,473235487.90,515575245.00,150988344.66,95581947.36,45053942.66,8000000.00,173611253.20
Nov 20 2025,COW,0,988251269.54,472676024.54,515575245.00,150771095.25,95444419.38,44989116.85,8000000.00,173471393.06
Nov 19 2025,COW,0,987971537.86,472396292.86,515575245.00,150662470.54,95375655.39,44956703.94,8000000.00,173401462.99
Nov 17 2025,COW,0,987412074.51,471836829.51,515575245.00,150445221.12,95238127.41,44891878.12,8000000.00,173261602.85
Nov 15 2025,COW,0,986852611.15,471277366.15,515575245.00,150227971.71,95100599.43,44827052.31,8000000.00,173121742.71
Nov 13 2025,COW,0,986293147.80,470717902.80,515575245.00,150010722.29,94963071.45,44762226.49,8000000.00,172981882.57
Nov 11 2025,COW,0,985733684.44,470158439.44,515575245.00,149793472.87,94825543.46,44697400.67,8000000.00,172842022.43
