Date,Symbol,Price,Available Supply,Unlocked Supply,Reserved (TBD),Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
Jul 07 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Jul 05 2027,NTRN,0,1000000000.00,590000000.00,410000000.00,240000000.00,110000000.00,20000000.00,100000000.00,120000000.00
Jul 03 2027,NTRN,0,999107305.94,589107305.94,410000000.00,239396118.72,109711187.21,20000000.00,100000000.00,120000000.00
Jul 01 2027,NTRN,0,998486301.37,588486301.37,410000000.00,238976027.40,109510273.97,20000000.00,100000000.00,120000000.00
Jun 29 2027,NTRN,0,997865296.80,587865296.80,410000000.00,238555936.07,109309360.73,20000000.00,100000000.00,120000000.00
Jun 27 2027,NTRN,0,997244292.24,587244292.24,410000000.00,238135844.75,109108447.49,20000000.00,100000000.00,120000000.00
Jun 26 2027,NTRN,0,996933789.95,586933789.95,410000000.00,237925799.09,109007990.87,20000000.00,100000000.00,120000000.00
Jun 24 2027,NTRN,0,996312785.39,586312785.39,410000000.00,237505707.76,108807077.63,20000000.00,100000000.00,120000000.00
Jun 22 2027,NTRN,0,995691780.82,585691780.82,410000000.00,237085616.44,108606164.38,20000000.00,100000000.00,120000000.00
Jun 20 2027,NTRN,0,995070776.26,585070776.26,410000000.00,236665525.11,108405251.14,20000000.00,100000000.00,120000000.00
Jun 18 2027,NTRN,0,994449771.69,584449771.69,410000000.00,236245433.79,108204337.90,20000000.00,100000000.00,120000000.00
Jun 16 2027,NTRN,0,993828767.12,583828767.12,410000000.00,235825342.47,108003424.66,20000000.00,100000000.00,120000000.00
Jun 14 2027,NTRN,0,993207762.56,583207762.56,410000000.00,235405251.14,107802511.42,20000000.00,100000000.00,120000000.00
Jun 12 2027,NTRN,0,992586757.99,582586757.99,410000000.00,234985159.82,107601598.17,20000000.00,100000000.00,120000000.00
Jun 11 2027,NTRN,0,992276255.71,582276255.71,410000000.00,234775114.16,107501141.55,20000000.00,100000000.00,120000000.00
Jun 09 2027,NTRN,0,991655251.14,581655251.14,410000000.00,234355022.83,107300228.31,20000000.00,100000000.00,120000000.00
Jun 07 2027,NTRN,0,991034246.58,581034246.58,410000000.00,233934931.51,107099315.07,20000000.00,100000000.00,120000000.00
Jun 05 2027,NTRN,0,990413242.01,580413242.01,410000000.00,233514840.18,106898401.83,20000000.00,100000000.00,120000000.00
Jun 03 2027,NTRN,0,989792237.44,579792237.44,410000000.00,233094748.86,106697488.58,20000000.00,100000000.00,120000000.00
Jun 01 2027,NTRN,0,989171232.88,579171232.88,410000000.00,232674657.53,106496575.34,20000000.00,100000000.00,120000000.00
May 30 2027,NTRN,0,988550228.31,578550228.31,410000000.00,232254566.21,106295662.10,20000000.00,100000000.00,120000000.00
May 28 2027,NTRN,0,987929223.74,577929223.74,410000000.00,231834474.89,106094748.86,20000000.00,100000000.00,120000000.00
May 27 2027,NTRN,0,987618721.46,577618721.46,410000000.00,231624429.22,105994292.24,20000000.00,100000000.00,120000000.00
May 25 2027,NTRN,0,986997716.89,576997716.89,410000000.00,231204337.90,105793379.00,20000000.00,100000000.00,120000000.00
May 23 2027,NTRN,0,986376712.33,576376712.33,410000000.00,230784246.58,105592465.75,20000000.00,100000000.00,120000000.00
May 21 2027,NTRN,0,985755707.76,575755707.76,410000000.00,230364155.25,105391552.51,20000000.00,100000000.00,120000000.00
May 19 2027,NTRN,0,985134703.20,575134703.20,410000000.00,229944063.93,105190639.27,20000000.00,100000000.00,120000000.00
May 17 2027,NTRN,0,984513698.63,574513698.63,410000000.00,229523972.60,104989726.03,20000000.00,100000000.00,120000000.00
May 15 2027,NTRN,0,983892694.06,573892694.06,410000000.00,229103881.28,104788812.79,20000000.00,100000000.00,120000000.00
May 13 2027,NTRN,0,983271689.50,573271689.50,410000000.00,228683789.95,104587899.54,20000000.00,100000000.00,120000000.00
May 12 2027,NTRN,0,982961187.21,572961187.21,410000000.00,228473744.29,104487442.92,20000000.00,100000000.00,120000000.00
May 10 2027,NTRN,0,982340182.65,572340182.65,410000000.00,228053652.97,104286529.68,20000000.00,100000000.00,120000000.00
