Date,Symbol,Price,Available Supply,Unlocked Supply,Reserved,Community & Other
Oct 21 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Oct 17 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Oct 12 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Oct 08 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Oct 04 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Sep 29 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Sep 25 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Sep 20 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Sep 16 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Sep 12 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Sep 07 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Sep 03 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Aug 30 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Aug 25 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Aug 21 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Aug 16 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Aug 12 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Aug 08 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Aug 03 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Jul 30 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Jul 26 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Jul 21 2030,GALA,0,12480133092.00,12480133092.00,6240066546.00,6240066546.00
Jul 17 2030,GALA,0,12479865540.66,12479865540.66,6239932770.33,6239932770.33
Jul 12 2030,GALA,0,12479531101.48,12479531101.48,6239765550.74,6239765550.74
Jul 08 2030,GALA,0,12479263550.14,12479263550.14,6239631775.07,6239631775.07
Jul 04 2030,GALA,0,12478995998.80,12478995998.80,6239497999.40,6239497999.40
Jun 29 2030,GALA,0,12478661559.62,12478661559.62,6239330779.81,6239330779.81
Jun 25 2030,GALA,0,12478394008.27,12478394008.27,6239197004.14,6239197004.14
Jun 21 2030,GALA,0,12478126456.93,12478126456.93,6239063228.47,6239063228.47
Jun 16 2030,GALA,0,12477792017.75,12477792017.75,6238896008.88,6238896008.88
Jun 12 2030,GALA,0,12477524466.41,12477524466.41,6238762233.21,6238762233.21
Jun 07 2030,GALA,0,12477190027.23,12477190027.23,6238595013.62,6238595013.62
Jun 03 2030,GALA,0,12476922475.89,12476922475.89,6238461237.95,6238461237.95
May 30 2030,GALA,0,12476654924.55,12476654924.55,6238327462.27,6238327462.27
May 25 2030,GALA,0,12476320485.37,12476320485.37,6238160242.69,6238160242.69
May 21 2030,GALA,0,12476052934.03,12476052934.03,6238026467.01,6238026467.01
May 17 2030,GALA,0,12475785382.69,12475785382.69,6237892691.34,6237892691.34
May 12 2030,GALA,0,12475450943.51,12475450943.51,6237725471.75,6237725471.75
May 08 2030,GALA,0,12475183392.16,12475183392.16,6237591696.08,6237591696.08
May 03 2030,GALA,0,12474848952.99,12474848952.99,6237424476.49,6237424476.49
Apr 29 2030,GALA,0,12474581401.64,12474581401.64,6237290700.82,6237290700.82
Apr 25 2030,GALA,0,12474313850.30,12474313850.30,6237156925.15,6237156925.15
Apr 20 2030,GALA,0,12473979411.12,12473979411.12,6236989705.56,6236989705.56
Apr 16 2030,GALA,0,12473711859.78,12473711859.78,6236855929.89,6236855929.89
Apr 12 2030,GALA,0,12473444308.44,12473444308.44,6236722154.22,6236722154.22
Apr 07 2030,GALA,0,12473109869.26,12473109869.26,6236554934.63,6236554934.63
Apr 03 2030,GALA,0,12472842317.92,12472842317.92,6236421158.96,6236421158.96
Mar 29 2030,GALA,0,12472507878.74,12472507878.74,6236253939.37,6236253939.37
Mar 25 2030,GALA,0,12472240327.40,12472240327.40,6236120163.70,6236120163.70
Mar 21 2030,GALA,0,12471972776.06,12471972776.06,6235986388.03,6235986388.03
Mar 16 2030,GALA,0,12471638336.88,12471638336.88,6235819168.44,6235819168.44
Mar 12 2030,GALA,0,12471370785.53,12471370785.53,6235685392.77,6235685392.77
Mar 08 2030,GALA,0,12471103234.19,12471103234.19,6235551617.10,6235551617.10
Mar 03 2030,GALA,0,12470768795.01,12470768795.01,6235384397.51,6235384397.51
Feb 27 2030,GALA,0,12470501243.67,12470501243.67,6235250621.84,6235250621.84
Feb 22 2030,GALA,0,12470166804.49,12470166804.49,6235083402.25,6235083402.25
Feb 18 2030,GALA,0,12469899253.15,12469899253.15,6234949626.58,6234949626.58
Feb 14 2030,GALA,0,12469631701.81,12469631701.81,6234815850.90,6234815850.90
Feb 09 2030,GALA,0,12469297262.63,12469297262.63,6234648631.32,6234648631.32
Feb 05 2030,GALA,0,12469029711.29,12469029711.29,6234514855.64,6234514855.64
Feb 01 2030,GALA,0,12468762159.95,12468762159.95,6234381079.97,6234381079.97
Jan 27 2030,GALA,0,12468427720.77,12468427720.77,6234213860.38,6234213860.38
Jan 23 2030,GALA,0,12468160169.43,12468160169.43,6234080084.71,6234080084.71
Jan 18 2030,GALA,0,12467825730.25,12467825730.25,6233912865.12,6233912865.12
Jan 14 2030,GALA,0,12467558178.90,12467558178.90,6233779089.45,6233779089.45
Jan 10 2030,GALA,0,12467290627.56,12467290627.56,6233645313.78,6233645313.78
Jan 05 2030,GALA,0,12466956188.38,12466956188.38,6233478094.19,6233478094.19
Jan 01 2030,GALA,0,12466688637.04,12466688637.04,6233344318.52,6233344318.52
Dec 28 2029,GALA,0,12466421085.70,12466421085.70,6233210542.85,6233210542.85
Dec 23 2029,GALA,0,12466086646.52,12466086646.52,6233043323.26,6233043323.26
Dec 19 2029,GALA,0,12465819095.18,12465819095.18,6232909547.59,6232909547.59
Dec 14 2029,GALA,0,12465484656.00,12465484656.00,6232742328.00,6232742328.00
Dec 10 2029,GALA,0,12465217104.66,12465217104.66,6232608552.33,6232608552.33
