Date,Symbol,Price,Available Supply,Unlocked Supply,Reserved (TBD),Founder / Team,Private Investors,Reserved,Community & Other
Nov 04 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Nov 02 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Oct 31 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Oct 28 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Oct 26 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Oct 24 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Oct 22 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Oct 19 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Oct 17 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Oct 15 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Oct 13 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Oct 10 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Oct 08 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Oct 06 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Oct 04 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Oct 01 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Sep 29 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Sep 27 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Sep 25 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Sep 23 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Sep 20 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Sep 18 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Sep 16 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Sep 14 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Sep 11 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Sep 09 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Sep 07 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Sep 05 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Sep 02 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Aug 31 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
Aug 29 2026,DYDX,0,1012569024.00,770833162.00,241735862.00,222704930.00,277295070.00,12569024.00,258264138.00
