'AAVE'
'ACA'
'AEVO'
'AGIX'
'AKT'
'ALGO'
'ALT'
'APT'
'ARB'
'ARKM'
'ATOM'
'AVAX'
'AXL'
'AZERO'
'BAL'
'BEAM'
'BLUR'
'BONK'
'C98'
'COMP'
'COW'
'CTSI'
'DOT'
'DYDX'
'DYM'
'EDU'
'EGLD'
'EUL'
'FIL'
'FLOW'
'FTM'
'FTT'
'FXS'
'GAL'
'GALA'
'GEL'
'GLMR'
'GMT'
'GMX'
'GRT'
'HFT'
'HNT'
'HOP'
'ID'
'IMX'
'INJ'
'JOE'
'JTO'
'JUP'
'KUJI'
'LBR'
'LQTY'
'LUNA'
'MANTA'
'MASK'
'MAV'
'MAVIA'
'MEME'
'METIS'
'MINA'
'MNT'
'MULTI'
'MYRIA'
'NEAR'
'NEON'
'NTRN'
'NYM'
'OKB'
'OKT'
'ONDO'
'OP'
'OSMO'
'PENDLE'
'PIXEL'
'POL'
'POOL'
'PRIME'
'PYTH'
'RBN'
'RDNT'
'RNDR'
'RON'
'ROSE'
'RPL'
'SAFE'
'SAND'
'SEI'
'SHIB'
'SOL'
'STG'
'STRK'
'SUDO'
'SUI'
'SUPER'
'SWISE'
'TIA'
'WLD'
'XAI'
'YGG'
'ZETA'
