'1INCH'
'AAVE'
'ACA'
'AEVO'
'AGIX'
'AKT'
'ALGO'
'ALT'
'APE'
'APT'
'ARB'
'ARKM'
'ATOM'
'AVAX'
'AXL'
'AXS'
'AZERO'
'BAL'
'BEAM'
'BIT'
'BLUR'
'BONK'
'C98'
'COMP'
'COW'
'CRV'
'CTSI'
'CYBER'
'DOGE'
'DOT'
'DYDX'
'DYM'
'EDU'
'EGLD'
'ENS'
'EUL'
'FIL'
'FLOW'
'FORT'
'FTM'
'FTT'
'FXS'
'GAL'
'GALA'
'GEL'
'GLMR'
'GMT'
'GMX'
'GRT'
'GTC'
'HFT'
'HNT'
'HOP'
'ID'
'ILV'
'IMX'
'INJ'
'JOE'
'JTO'
'JUP'
'KDA'
'KUJI'
'LBR'
'LDO'
'LINK'
'LOOKS'
'LQTY'
'LUNA'
'MANA'
'MANTA'
'MASK'
'MATIC'
'MAV'
'MAVIA'
'MC'
'MEME'
'METIS'
'MINA'
'MNT'
'MULTI'
'MYRIA'
'NEAR'
'NEON'
'NTRN'
'NYM'
'OKB'
'OKT'
'ONDO'
'OP'
'OSMO'
'PENDLE'
'PEPE'
'PIXEL'
'POL'
'POOL'
'PRIME'
'PYTH'
'RBN'
'RDNT'
'RNDR'
'RON'
'ROSE'
'RPL'
'SAFE'
'SAND'
'SEI'
'SHIB'
'SOL'
'STG'
'STRK'
'SUDO'
'SUI'
'SUPER'
'SUSHI'
'SWISE'
'TIA'
'TORN'
'UNI'
'WLD'
'X2Y2'
'XAI'
'YFI'
'YGG'
'ZETA'
