Date,Symbol,Price,Unlocked Supply,Founder / Team,Public Investors,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,tokens_unlocked,unlock_usd_value,insider_owned_float_percentage,daily_supply_increase_percentage
2019-07-26,ALGO,1,2678395161,2000000000,35349462,2000000000,0.0,0.0,no unlock,0.0,0.0,74.67158054651219,0.20637406085199894
2019-07-27,ALGO,1,2683911290,2000000000,36962366,2000000000,0.0,0.0,no unlock,0.0,0.0,74.5181112152183,0.20594903546422588
2019-07-28,ALGO,1,2689427419,2000000000,38575269,2000000000,0.0,0.0,no unlock,0.0,0.0,74.36527142805932,0.20552575714974544
2019-07-29,ALGO,1,2694943548,2000000000,40188172,2000000000,0.0,0.0,no unlock,0.0,0.0,74.21305731929937,0.20510421515859467
2019-07-30,ALGO,1,2700459677,2000000000,41801075,2000000000,0.0,0.0,no unlock,0.0,0.0,74.06146505478816,0.20468439882882472
2019-07-31,ALGO,1,2705975806,2000000000,43413978,2000000000,0.0,0.0,no unlock,0.0,0.0,73.91049083163902,0.20426629758560177
2019-08-01,ALGO,1,2711491935,2000000000,45026882,2000000000,0.0,0.0,no unlock,0.0,0.0,73.76013087791094,0.20384990094031905
2019-08-02,ALGO,1,2717008065,2000000000,46639785,2000000000,0.0,0.0,no unlock,0.0,0.0,73.610381425202,0.20343523536978544
2019-08-03,ALGO,1,2722524194,2000000000,48252688,2000000000,0.0,0.0,no unlock,0.0,0.0,73.46123881681838,0.203022179840309
2019-08-04,ALGO,1,2728040323,2000000000,49865591,2000000000,0.0,0.0,no unlock,0.0,0.0,73.31269934458369,0.20261083490668882
2019-08-05,ALGO,1,2733556452,2000000000,51478495,2000000000,0.0,0.0,no unlock,0.0,0.0,73.16475935723605,0.20220115346146955
2019-08-06,ALGO,1,2739072581,2000000000,53091398,2000000000,0.0,0.0,no unlock,0.0,0.0,73.01741523292624,0.20179312543423558
2019-08-07,ALGO,1,2744588710,2000000000,54704301,2000000000,0.0,0.0,no unlock,0.0,0.0,72.87066337892209,0.2013867408356931
2019-08-08,ALGO,1,2750104839,2000000000,56317204,2000000000,0.0,0.0,no unlock,0.0,0.0,72.72450023131645,0.20098198975685502
2019-08-09,ALGO,1,2755620968,2000000000,57930108,2000000000,0.0,0.0,no unlock,0.0,0.0,72.57892225473877,0.20057886236823572
2019-08-10,ALGO,1,2761137097,2000000000,59543011,2000000000,0.0,0.0,no unlock,0.0,0.0,72.43392594206995,0.20017734891905498
