Date,Symbol,Price,Unlocked Supply,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2022-02-11,MULTI,22.51,18639320,1,0,0.0,0.0,no unlock,0.0
2022-02-12,MULTI,20.19,18639320,1,0,0.0,0.0,no unlock,0.0
2022-02-13,MULTI,20.01,18639320,1,0,0.0,0.0,no unlock,0.0
2022-02-14,MULTI,19.73,18639320,1,0,0.0,0.0,no unlock,0.0
2022-02-15,MULTI,18.53,18639320,1,0,0.0,0.0,no unlock,0.0
2022-02-16,MULTI,19.57,18639320,1,0,0.0,0.0,no unlock,0.0
2022-02-17,MULTI,18.57,18639320,1,0,0.0,0.0,no unlock,0.0
2022-02-18,MULTI,17.11,18639320,1,0,0.0,0.0,no unlock,0.0
2022-02-19,MULTI,15.57,18639320,1,0,0.0,0.0,no unlock,0.0
2022-02-20,MULTI,15.31,18639320,1,0,0.0,0.0,no unlock,0.0
2022-02-21,MULTI,15.41,18639320,1,0,0.0,0.0,no unlock,0.0
2022-02-22,MULTI,13.42,18639320,1,0,0.0,0.0,no unlock,0.0
2022-02-23,MULTI,14.06,18639320,1,0,0.0,0.0,no unlock,0.0
2022-02-24,MULTI,13.08,18639320,1,0,0.0,0.0,no unlock,0.0
2022-02-25,MULTI,12.41,18639320,1,0,0.0,0.0,no unlock,0.0
2022-02-26,MULTI,14.02,18639320,1,0,0.0,0.0,no unlock,0.0
2022-02-27,MULTI,14.21,18639320,1,0,0.0,0.0,no unlock,0.0
2022-02-28,MULTI,12.81,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-01,MULTI,17.04,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-02,MULTI,17.39,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-03,MULTI,17.39,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-04,MULTI,15.5,18639320,1,0,0.0,0.0,no unlock,0.0
2022-03-05,MULTI,13.61,18639320,1,0,0.0,0.0,no unlock,0.0
