Date,Symbol,Price,Unlocked Supply,Community & Other (TBD),Founder / Team,Private Investors,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,tokens_unlocked,unlock_usd_value,insider_owned_float_percentage,daily_supply_increase_percentage
2020-10-15,FIL,61,0,0,0,0,0,0.0,0.0,no unlock,0.0,0.0,,
2020-10-16,FIL,61,855287,0,136924,443585,580509,580509.0,inf,first linear unlock,580509.0,35411049.0,67.87300637096085,inf
2020-10-17,FIL,45,1710573,0,273848,887169,1161017,580508.0,99.99982773738219,linear unlock,580508.0,16834716.0,67.87298758953871,99.99988308018244
2020-10-18,FIL,42,2565860,0,410771,1330754,1741526,580509.0,50.00004306569154,linear unlock,580509.0,20898327.0,67.87299385001519,50.000029229971474
2020-10-19,FIL,33,3421146,0,547695,1774339,2322034,580508.0,33.33329505272962,linear unlock,580508.0,3483030.0,67.87298758953871,33.33330735114153
2020-10-20,FIL,34,4276433,0,684619,2217924,2902543,580509.0,25.00002153284577,linear unlock,580509.0,22059340.0,67.8729913458249,25.000014614985737
2020-10-21,FIL,31,5131719,0,821543,2661508,3483051,580508.0,19.99997932847162,linear unlock,580508.0,9288119.0,67.87298758953871,19.99998596961533
2020-10-22,FIL,27,5987006,0,958466,3105093,4063560,580509.0,16.66668102189718,linear unlock,580509.0,1741539.0,67.87299027260036,16.66667640999049
2020-10-23,FIL,24,6842292,0,1095390,3548678,4644068,580508.0,14.285700223449387,linear unlock,580508.0,1741512.0,67.87298758953871,14.2857047412346
2020-10-24,FIL,25,7697579,0,1232314,3992263,5224577,580509.0,12.500010766422886,linear unlock,580509.0,19156793.0,67.87298967636448,12.500007307492869
2020-10-25,FIL,26,8552865,0,1369238,4435847,5805085,580508.0,11.111100477608044,linear unlock,580508.0,20317785.0,67.87298758953871,11.111103893834672
2020-10-26,FIL,39,9408152,0,1506162,4879432,6385594,580509.0,10.00000861313831,linear unlock,580509.0,98105956.0,67.87298929694163,10.000005845994297
2020-10-27,FIL,34,10263438,0,1643085,5323017,6966102,580508.0,9.090900548954412,linear unlock,580508.0,-12190698.0,67.87298758953871,9.090903293229106
2020-10-28,FIL,35,11118725,0,1780009,5766601,7546611,580509.0,8.33334051094859,linear unlock,580509.0,27283917.0,67.87298903426428,8.333338204995245
2020-10-29,FIL,34,11974011,0,1916933,6210186,8127119,580508.0,7.692300557164004,linear unlock,580508.0,12190661.0,67.87298758953871,7.692302849472399
2020-10-30,FIL,33,12829298,0,2053857,6653771,8707628,580509.0,7.142863295098792,linear unlock,580509.0,11029678.0,67.87298884163421,7.142861318567354
2020-10-31,FIL,29,13684584,0,2190780,7097356,9288136,580508.0,6.666660541768666,linear unlock,580508.0,-17995780.0,67.87298758953871,6.666662509515329
2020-11-01,FIL,31,14539871,0,2327704,7540940,9868645,580509.0,6.250005383211443,linear unlock,580509.0,36572051.0,67.87298869432885,6.250003653746434
2020-11-02,FIL,32,15395157,0,2464628,7984525,10449153,580508.0,5.882347576592329,linear unlock,580508.0,28444901.0,67.87298758953871,5.882349300072883
2020-11-03,FIL,30,16250444,0,2601552,8428110,11029662,580509.0,5.555560340632394,linear unlock,580509.0,-3483036.0,67.87298857803516,5.555558803330165
2020-11-04,FIL,29,17105730,0,2738476,8871695,11610170,580508.0,5.263153122915281,linear unlock,580508.0,5805070.0,67.87298758953871,5.263154655958939
2020-11-05,FIL,29,17961017,0,2875399,9315279,12190679,580509.0,5.000004306569155,linear unlock,580509.0,16834761.0,67.87298848389266,5.000002922997148
2020-11-06,FIL,29,18816303,0,3012323,9758864,12771187,580508.0,4.761900465101246,linear unlock,580508.0,16834732.0,67.87298758953871,4.761901845535807
2020-11-07,FIL,32,19671590,0,3149247,10202449,13351696,580509.0,4.5454584605174135,linear unlock,580509.0,56889849.0,67.87298840612273,4.5454572027246805
2020-11-08,FIL,30,20526876,0,3286171,10646033,13932204,580508.0,4.347822179294676,linear unlock,580508.0,-9288152.0,67.87298758953871,4.34782343470965
2020-11-09,FIL,31,21382163,0,3423094,11089618,14512713,580509.0,4.166670255474295,linear unlock,580509.0,31927983.0,67.87298834079601,4.166669102497623
2020-11-10,FIL,31,22237449,0,3560018,11533203,15093221,580508.0,3.9999964169345867,linear unlock,580508.0,17995748.0,67.87298758953871,3.9999975680664304
2020-11-11,FIL,30,23092736,0,3696942,11976788,15673730,580509.0,3.8461571588993495,linear unlock,580509.0,2322049.0,67.87298828514733,3.8461560946131907
2020-11-12,FIL,30,23948022,0,3833866,12420372,16254238,580508.0,3.7037003955025383,linear unlock,580508.0,17415240.0,67.87298758953871,3.7037014583287142
2020-11-13,FIL,30,24803309,0,3970790,12863957,16834747,580509.0,3.571431647549396,linear unlock,580509.0,17415270.0,67.87298823717433,3.571430659283677
2020-11-14,FIL,29,25658595,0,4107713,13307542,17415255,580508.0,3.4482727896059266,linear unlock,580508.0,-15.0,67.87298758953871,3.448273776696489
2020-11-15,FIL,29,26513882,0,4244637,13751126,17995764,580509.0,3.333336204379436,linear unlock,580509.0,16834761.0,67.87298819539139,3.333335281998098
2020-11-16,FIL,28,27369168,0,4381561,14194711,18576272,580508.0,3.2258035835544407,linear unlock,580508.0,-1741540.0,67.87298758953871,3.2258045049759216
2020-11-17,FIL,27,28224455,0,4518485,14638296,19156781,580509.0,3.1250026916057214,linear unlock,580509.0,-2902529.0,67.87298815867304,3.125001826873217
2020-11-18,FIL,29,29079742,0,4655408,15081881,19737289,580508.0,3.03030034116901,linear unlock,580508.0,55148294.0,67.8729852555088,3.030304748134198
2020-11-19,FIL,29,29935028,0,4792332,15525465,20317798,580509.0,2.9411790038642085,linear unlock,580509.0,16834761.0,67.87298812615109,2.9411746500364413
2020-11-20,FIL,29,30790315,0,4929256,15969050,20898306,580508.0,2.857140325934927,linear unlock,580508.0,16834732.0,67.87298538517712,2.857144479704512
2020-11-21,FIL,29,31645601,0,5066180,16412635,21478815,580509.0,2.777780170316197,linear unlock,580509.0,16834761.0,67.872988097145,2.777776063674568
2020-11-22,FIL,30,32500888,0,5203104,16856220,22059323,580508.0,2.7027003119119932,linear unlock,580508.0,38894055.0,67.87298550119615,2.7027042399984755
2020-11-23,FIL,29,33356174,0,5340027,17299804,22639832,580509.0,2.6315812139837655,linear unlock,580509.0,-5224562.0,67.87298807111391,2.6315773279794694
2020-11-24,FIL,29,34211461,0,5476951,17743389,23220340,580508.0,2.5641002989774835,linear unlock,580508.0,16834732.0,67.87298560561328,2.564104024640236
2020-11-25,FIL,30,35066747,0,5613875,18186974,23800849,580509.0,2.5000021532845773,linear unlock,580509.0,40635610.0,67.87298804762244,2.4999984654265424
2020-11-26,FIL,31,35922034,0,5750799,18630558,24381357,580508.0,2.4390222382403253,linear unlock,580508.0,41796597.0,67.87298570008592,2.4390257813192653
2020-11-27,FIL,30,36777320,0,5887722,19074143,24961866,580509.0,2.3809544316995974,linear unlock,580509.0,-6966087.0,67.87298802631622,2.3809509227679033
2020-11-28,FIL,30,37632607,0,6024646,19517728,25542374,580508.0,2.325579345710773,linear unlock,580508.0,17415240.0,67.87298578597013,2.325582723265317
2020-11-29,FIL,30,38487893,0,6161570,19961313,26122883,580509.0,2.2727292302587068,linear unlock,580509.0,17415270.0,67.8729880069039,2.2727258836997395
2020-11-30,FIL,30,39343180,0,6298494,20404897,26703391,580508.0,2.222220265657508,linear unlock,580508.0,17415240.0,67.87298586438615,2.2222234924629416
2020-12-01,FIL,30,40198466,0,6435418,20848482,27283900,580509.0,2.173914915899632,linear unlock,580509.0,17415270.0,67.87298798914367,2.173911717354825
2020-12-02,FIL,30,41053753,0,6572341,21292067,27864408,580508.0,2.127657702894381,linear unlock,580508.0,17415240.0,67.87298593626751,2.1276607918322057
2020-12-03,FIL,31,41909039,0,6709265,21735652,28444917,580509.0,2.0833351277371475,linear unlock,580509.0,45860187.0,67.87298797283326,2.0833320646714077
2020-12-04,FIL,30,42764326,0,6846189,22179236,29025425,580508.0,2.0408145328741862,linear unlock,580508.0,-11029677.0,67.87298600239835,2.0408174952424942
2020-12-05,FIL,29,43619612,0,6983113,22622821,29605934,580509.0,2.000001722627662,linear unlock,580509.0,-12190664.0,67.8729879578021,1.9999987840332152
2020-12-06,FIL,30,44474899,0,7120037,23066406,30186442,580508.0,1.9607825917601518,linear unlock,580508.0,47021174.0,67.87298606344221,1.9607854375229197
2020-12-07,FIL,29,45330185,0,7256960,23509990,30766951,580509.0,1.9230785794496748,linear unlock,580509.0,-13351681.0,67.87298794390537,1.9230757556076745
2020-12-08,FIL,31,46185472,0,7393884,23953575,31347459,580508.0,1.8867907970471305,linear unlock,580508.0,79529650.0,67.87298611996431,1.8867935350363119
2020-12-09,FIL,30,47040758,0,7530808,24397160,31927968,580509.0,1.8518534468774648,linear unlock,580509.0,-13932189.0,67.87298793101931,1.8518507291643571
2020-12-10,FIL,30,47896045,0,7667732,24840745,32508476,580508.0,1.8181802236835114,linear unlock,580508.0,17415240.0,67.8729861724491,1.8181828617642597
2020-12-11,FIL,31,48751331,0,7804655,25284329,33088985,580509.0,1.785715823774698,linear unlock,580509.0,50504255.0,67.87298791903753,1.7857132045036286
2020-12-12,FIL,30,49606618,0,7941579,25727914,33669493,580508.0,1.7543844273252867,linear unlock,580508.0,-15673745.0,67.87298622131426,1.7543869725320935
2020-12-13,FIL,30,50461904,0,8078503,26171499,34250002,580509.0,1.724139416058329,linear unlock,580509.0,17415270.0,67.8729879078681,1.7241368883482444
2020-12-14,FIL,30,51317191,0,8215427,26615084,34830510,580508.0,1.6949137696400718,linear unlock,580508.0,17415240.0,67.87298626692174,1.6949162282897607
2020-12-15,FIL,29,52172477,0,8352351,27058668,35411019,580509.0,1.666668102189718,linear unlock,580509.0,-17995749.0,67.87298789743106,1.6666656598565577
2020-12-16,FIL,29,53027764,0,8489274,27502253,35991527,580508.0,1.6393428271578403,linear unlock,580508.0,16834732.0,67.8729863095868,1.6393452049439785
2020-12-17,FIL,28,53883050,0,8626198,27945838,36572036,580509.0,1.6129046150223079,linear unlock,580509.0,-19737275.0,67.87298788765669,1.6129022524879608
2020-12-18,FIL,28,54738337,0,8763122,28389422,37152544,580508.0,1.5873001984357666,linear unlock,580508.0,16254224.0,67.87298634958529,1.587302500508045
2020-12-19,FIL,28,55593623,0,8900046,28833007,37733053,580509.0,1.5625013458028607,linear unlock,580509.0,16254252.0,67.87298787848384,1.5624990580185145
2020-12-20,FIL,28,56448910,0,9036969,29276592,38313561,580508.0,1.5384601929772288,linear unlock,580508.0,16254224.0,67.87298638715966,1.5384624240085953
2020-12-21,FIL,28,57304197,0,9173893,29720177,38894070,580509.0,1.515152820172471,linear unlock,580509.0,16254252.0,67.8729866854255,1.515152374067099
2020-12-22,FIL,25,58159483,0,9310817,30163761,39474578,580508.0,1.4925360087026118,linear unlock,580508.0,-102169510.0,67.87298642252374,1.4925364018276008
2020-12-23,FIL,25,59014770,0,9447741,30607346,40055087,580509.0,1.4705895019321042,linear unlock,580509.0,14512725.0,67.87298671163168,1.4705890697137043
2020-12-24,FIL,22,59870056,0,9584665,31050931,40635595,580508.0,1.4492740959469144,linear unlock,580508.0,-107394085.0,67.87298645586702,1.4492744782365499
2020-12-25,FIL,24,60725343,0,9721588,31494516,41216104,580509.0,1.4285726590197583,linear unlock,580509.0,95203406.0,67.87298673636145,1.428572239852256
2020-12-26,FIL,24,61580629,0,9858512,31938100,41796612,580508.0,1.4084494740211253,linear unlock,580508.0,13932192.0,67.8729864873579,1.4084498460552128
2020-12-27,FIL,24,62435916,0,9995436,32381685,42377121,580509.0,1.3888900851580985,linear unlock,580509.0,13932216.0,67.87298675973618,1.388889678278538
2020-12-28,FIL,22,63291202,0,10132360,32825270,42957629,580508.0,1.3698618176539175,linear unlock,580508.0,-71983066.0,67.87298651714657,1.3698621799670563
2020-12-29,FIL,22,64146489,0,10269283,33268854,43538138,580509.0,1.3513525152889607,linear unlock,580509.0,12771198.0,67.87298678186424,1.3513521199992378
2020-12-30,FIL,20,65001775,0,10406207,33712439,44118646,580508.0,1.3333321696026597,linear unlock,580508.0,-75466116.0,67.87298654536743,1.33333252268881
2020-12-31,FIL,22,65857062,0,10543131,34156024,44699155,580509.0,1.3157906069918828,linear unlock,580509.0,101008490.0,67.87298680284279,1.3157902226516123
2021-01-01,FIL,24,66712348,0,10680055,34599609,45279663,580508.0,1.2987001655847856,linear unlock,580508.0,103330502.0,67.87298657214103,1.2987005099012767
2021-01-02,FIL,22,67567635,0,10816979,35043193,45860172,580509.0,1.2820523862997832,linear unlock,580509.0,-77788128.0,67.87298682275915,1.282052012320118
2021-01-03,FIL,22,68422921,0,10953902,35486778,46440680,580508.0,1.265821680738572,linear unlock,580508.0,12771176.0,67.87298659757597,1.2658220167096275
2021-01-04,FIL,22,69278208,0,11090826,35930363,47021189,580509.0,1.2500010766422887,linear unlock,580509.0,12771198.0,67.87298684169198,1.2500007124805443
2021-01-05,FIL,21,70133494,0,11227750,36373948,47601697,580508.0,1.234566824756388,linear unlock,580508.0,-34830521.0,67.8729866217702,1.234567152776238
2021-01-06,FIL,22,70988781,0,11364674,36817532,48182206,580509.0,1.2195132455046718,linear unlock,580509.0,60372895.0,67.87298685971238,1.2195128906596326
2021-01-07,FIL,22,71844067,0,11501597,37261117,48762714,580508.0,1.2048182268781964,linear unlock,580508.0,12771176.0,67.8729866448123,1.2048185473138355
2021-01-08,FIL,22,72699354,0,11638521,37704702,49343223,580509.0,1.1904772158497987,linear unlock,580509.0,12771198.0,67.87298687688477,1.1904768698576043
2021-01-09,FIL,22,73554640,0,11775445,38148286,49923731,580508.0,1.1764695630036166,linear unlock,580508.0,12771176.0,67.87298666678268,1.1764698761972492
