Date,Symbol,Price,Unlocked Supply,Private Investors,Date_diff,Insiders,insider_supply_growth,insider_supply_growth_percentage,insider_unlock_type,insider_owned_float_percentage
2021-11-05,IMX,5.2,80000000,0,0,0,0.0,0.0,no unlock,0.0
2021-11-06,IMX,5.2,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-07,IMX,3.74,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-08,IMX,3.57,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-09,IMX,3.15,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-10,IMX,3.75,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-11,IMX,5.19,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-12,IMX,5.83,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-13,IMX,6.06,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-14,IMX,5.36,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-15,IMX,5.64,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-16,IMX,5.74,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-17,IMX,5.36,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-18,IMX,6.04,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-19,IMX,5.46,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-20,IMX,7.67,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-21,IMX,8.64,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-22,IMX,7.68,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-23,IMX,7.01,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-24,IMX,8.19,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-25,IMX,8.09,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-26,IMX,9.31,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-27,IMX,7.82,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-28,IMX,7.9,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-29,IMX,7.98,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-11-30,IMX,8.2,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-12-01,IMX,8.2,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-12-02,IMX,7.41,80000000,0,1,0,0.0,0.0,no unlock,0.0
2021-12-03,IMX,6.58,139696236,0,1,0,0.0,0.0,no unlock,0.0
2021-12-04,IMX,6.15,139696236,0,1,0,0.0,0.0,no unlock,0.0
