block_height,ExtraNonce,entity
1,4,Patoshi
2,11,Patoshi
3,14,Patoshi
4,26,Patoshi
5,32,Patoshi
6,35,Patoshi
7,43,Patoshi
8,44,Patoshi
9,52,Patoshi
10,54,Patoshi
11,59,Patoshi
13,60,Patoshi
14,62,Patoshi
15,10,Patoshi
16,11,Patoshi
17,13,Patoshi
18,18,Patoshi
19,22,Patoshi
20,32,Patoshi
21,37,Patoshi
22,48,Patoshi
23,49,Patoshi
24,63,Patoshi
25,65,Patoshi
26,5,Patoshi
27,16,Patoshi
30,33,Patoshi
31,41,Patoshi
32,54,Patoshi
33,56,Patoshi
34,71,Patoshi
35,77,Patoshi
36,80,Patoshi
37,87,Patoshi
38,7,Patoshi
39,9,Patoshi
40,14,Patoshi
41,18,Patoshi
42,21,Patoshi
43,22,Patoshi
44,30,Patoshi
45,33,Patoshi
46,36,Patoshi
47,48,Patoshi
48,55,Patoshi
49,58,Patoshi
50,63,Patoshi
51,68,Patoshi
52,86,Patoshi
53,97,Patoshi
54,98,Patoshi
55,115,Patoshi
56,116,Patoshi
57,122,Patoshi
58,130,Patoshi
59,131,Patoshi
60,140,Patoshi
61,146,Patoshi
62,148,Patoshi
63,159,Patoshi
65,161,Patoshi
66,167,Patoshi
67,173,Patoshi
68,180,Patoshi
69,181,Patoshi
70,188,Patoshi
71,198,Patoshi
72,199,Patoshi
73,1,Patoshi
74,3,Patoshi
75,4,Patoshi
76,11,Patoshi
77,14,Patoshi
79,3,Patoshi
80,4,Patoshi
81,5,Patoshi
82,11,Patoshi
83,16,Patoshi
84,21,Patoshi
85,25,Patoshi
86,26,Patoshi
87,32,Patoshi
88,33,Patoshi
89,34,Patoshi
90,35,Patoshi
91,42,Patoshi
92,47,Patoshi
93,48,Patoshi
94,50,Patoshi
95,55,Patoshi
96,58,Patoshi
97,62,Patoshi
98,67,Patoshi
99,69,Patoshi
100,77,Patoshi
101,78,Patoshi
102,84,Patoshi
103,85,Patoshi
104,111,Patoshi
105,121,Patoshi
106,122,Patoshi
107,135,Patoshi
108,138,Patoshi
109,143,Patoshi
110,164,Patoshi
111,167,Patoshi
112,170,Patoshi
113,171,Patoshi
114,174,Patoshi
115,175,Patoshi
116,177,Patoshi
117,184,Patoshi
118,191,Patoshi
119,196,Patoshi
120,204,Patoshi
