block_height,entity,ExtraNonce
92,Point Click,": Patoshi, BN: 92, ExtraNonce=47
93,Point Click,": Patoshi, BN: 93, ExtraNonce=48
94,Point Click,": Patoshi, BN: 94, ExtraNonce=50
95,Point Click,": Patoshi, BN: 95, ExtraNonce=55
96,Point Click,": Patoshi, BN: 96, ExtraNonce=58
97,Point Click,": Patoshi, BN: 97, ExtraNonce=62
98,Point Click,": Patoshi, BN: 98, ExtraNonce=67
99,Point Click,": Patoshi, BN: 99, ExtraNonce=69
100,Point Click,": Patoshi, BN: 100, ExtraNonce=77
101,Point Click,": Patoshi, BN: 101, ExtraNonce=78
102,Point Click,": Patoshi, BN: 102, ExtraNonce=84
103,Point Click,": Patoshi, BN: 103, ExtraNonce=85
104,Point Click,": Patoshi, BN: 104, ExtraNonce=111
105,Point Click,": Patoshi, BN: 105, ExtraNonce=121
106,Point Click,": Patoshi, BN: 106, ExtraNonce=122
107,Point Click,": Patoshi, BN: 107, ExtraNonce=135
108,Point Click,": Patoshi, BN: 108, ExtraNonce=138
109,Point Click,": Patoshi, BN: 109, ExtraNonce=143
110,Point Click,": Patoshi, BN: 110, ExtraNonce=164
111,Point Click,": Patoshi, BN: 111, ExtraNonce=167
112,Point Click,": Patoshi, BN: 112, ExtraNonce=170
113,Point Click,": Patoshi, BN: 113, ExtraNonce=171
114,Point Click,": Patoshi, BN: 114, ExtraNonce=174
115,Point Click,": Patoshi, BN: 115, ExtraNonce=175
116,Point Click,": Patoshi, BN: 116, ExtraNonce=177
117,Point Click,": Patoshi, BN: 117, ExtraNonce=184
118,Point Click,": Patoshi, BN: 118, ExtraNonce=191
119,Point Click,": Patoshi, BN: 119, ExtraNonce=196
120,Point Click,": Patoshi, BN: 120, ExtraNonce=204
121,Point Click,": Patoshi, BN: 121, ExtraNonce=209
122,Point Click,": Patoshi, BN: 122, ExtraNonce=218
123,Point Click,": Patoshi, BN: 123, ExtraNonce=223
124,Point Click,": Patoshi, BN: 124, ExtraNonce=233
125,Point Click,": Patoshi, BN: 125, ExtraNonce=237
126,Point Click,": Patoshi, BN: 126, ExtraNonce=244
127,Point Click,": Other, BN: 127, ExtraNonce=6
128,Point Click,": Patoshi, BN: 128, ExtraNonce=9
129,Point Click,": Patoshi, BN: 129, ExtraNonce=12
130,Point Click,": Patoshi, BN: 130, ExtraNonce=21
131,Point Click,": Other, BN: 131, ExtraNonce=10
132,Point Click,": Patoshi, BN: 132, ExtraNonce=32
133,Point Click,": Patoshi, BN: 133, ExtraNonce=33
134,Point Click,": Patoshi, BN: 134, ExtraNonce=35
135,Point Click,": Patoshi, BN: 135, ExtraNonce=36
