block_height,recipient_hash,reward_amount
30,17x23dNjXJLzGMev6R63uyRhMWP1VHawKc,50.0
31,1PHB5i7JMEZCKvcjYSQXPbi5oSK8DoJucS,50.0
32,1Bw7RG9a19SjCNszmXQZhBwe1gEj4Vb2JZ,50.0
33,1MKRkcXG7cUb83EGNjK5TSHcKgVjVMTou5,50.0
34,1BTsxjF9rXtFvUZ2UFditbeUpohGgKCxUt,50.0
35,16bo8EmUnLJAmtDNavgcs1BQ5rU4YcR9UC,50.0
36,1NHHWnZKTetjZZfAbVjTS9EHQafdH6xn8a,50.0
37,1DpJP16GXSht3hJ5DZDumKcwAFqQQVkffN,50.0
38,1DpSDwF12wX5ogkS2HXabT7iWtCkAqJD9k,50.0
39,1KzvBTUbdwNBXiTkzr1msFUtPf7Vu2zLiu,50.0
40,1AQ2m6GH78oLgZYCdueUb4Zjxg1L6BkHZM,50.0
41,1DEwdHYmo8q6AhSHG7UgxEjttNMFdw9e7u,50.0
42,1DnzNm7QC479kSydvzmgb16X2c5GwRVzs1,50.0
43,1Bhq4Uz1Cg8vZLWy5uT3X3Ea3XDSNvkvCM,50.0
44,1HjE5zRg4eYm7jCHB9oSH5WbyZdH1GE2Ns,50.0
45,1D2zWLwXkdgFw5VtcYVtBhZuq5j4qwiRQP,50.0
46,1BEKzoSq5kTRNhL9ezh8KJ5vt2NzigQV2K,50.0
47,136g5f3pBidF6q8udL5GGb66CzG7AzBNwv,50.0
48,1FaUNstQc4FUena9XodmbfHgoMD9yKpT4d,50.0
49,18K6LJ9wFKSkYDA3dspswRPWiPgNZKvN7d,50.0
50,17iyRRXBHJKbv5DKPPkttWewm3CHdNPGQd,50.0
51,192kkZSRQHrS4dnBoPGgoYB6WeC1HXyYZe,50.0
52,17xQEk6df1Zyzvzs3oLPU9k5BZ85uGxC19,50.0
53,1h2Znru8Y624tuVnu1UgUujNACTzaFABz,50.0
54,1Kc4RPywLu8bK7JvTQJY1MWHo1S4jqQfzM,50.0
55,18p2otBZ33Ytgk3afUrHsmiPrFLNPiM4G5,50.0
56,1281ZBYNe7qJGMsGgHL2YgUEEFwCdXQwBq,50.0
57,19knNYsDH25AsBGhhoaxnmUKrn9WkVMSUi,50.0
58,14UyXKWBcVHYcqSpxYcmR9JLZu6pArwDrd,50.0
59,1FERXfs9RYGhhLe2yBsSqYfSqtmUEBUSTc,50.0
60,16kf2cAY8V7iZjX21Pm8znMJxqa2TYcqQ5,50.0
61,1AiE8NiskCXRovzHdVzAjydQ9V8Dv7Hiy8,50.0
62,12GBk2eiu3AEVvNYTwWYnUz49ecRjJ1CR6,50.0
63,16jZuw5nwn3ZgzWYrRvhi8NZW2b1NRk6S7,50.0
65,1UZhhzWo85osGzNrs1BVjoE3FP8ea2umX,50.0
66,1PeWcJrkpHMnUs3t5GvuwcHh1oBHYNoDwG,50.0
67,17uWtnxcJdpH7pEXXmr1SLrohVxe18B3fD,50.0
68,1GPrHBrbFjzGVTwA4P4y5QnaDhd3GCYU5x,50.0
69,1JgpRwCt8rm29g3y4FkVKWWck8qEeKgfZv,50.0
70,1NnYa2jL24hLgXBbk3TAXHANUQEzXNnSHg,50.0
71,19CAnt15TpQrJ9gjmdZZsLcwRj8E1mkqPP,50.0
72,1K2UaAY9jfz7wUxadbD3ivBLGqrcF4ai8M,50.0
73,1Ky8dP7oR1cBeg1MzkrgHAeHAHyn92DCar,50.0
74,1FnbdYntfohuZ1EhZ7f9oiT2R5sDsZBohL,50.0
75,14U5EYTN54agAngQu92D9gESvHYfKw8EqA,50.0
76,19X7soRFwUCRX8aUc3NrRZddHgpLmFmpzc,50.0
77,1H2nuVj2EnEVoYSw3opGjVxJdDqnehiYWN,50.0
79,12ti6ZDtjJTFnfSXJD1yZeojFdc1u4nJcS,50.0
80,1BwWdLV5wbnZvSYfNA8zaEMqEDDjvA99wX,50.0
81,1KmbQCNdfCDkEB6yWw5iLjBTGJ5MYptqAL,50.0
82,1NHVxANujgiDvPxNLQ1cc5B8AEisnx2Yz6,50.0
83,1DmJE9Z1Teye3JmxhoDUcmnMmubCg8dNtF,50.0
84,1HWP2q1RjpRbjm2K5ZPFnnfbnpNjN7XJWj,50.0
85,135uQWV3vn5JNgQrWcLd6gWr9S2ybj2BB7,50.0
86,15eCuQ4Kd25VDhtv9Pko6DL3tt1ACa3tR8,50.0
87,12jiJuWynwFcqbNyoay5Sy9pmJn9dsFRgh,50.0
88,133xmQyVGHnyQwr2pYNiHUMeDUS3mYVsB7,50.0
89,1KSHc1tmsUhS9f1TD6RHR8Kmwg9Zv8WhCt,50.0
90,1KMYVBvfMAUZH4gpRknxvKxbqATMAfuu4x,50.0
91,1BnhHuk62o9tPuG5JerexTX3MhnR8sobLm,50.0
92,1DRzyGtGkXYnFz9n9qxnTFbGpYBv4FNmYM,50.0
93,1LNV5xnjneJwXc6jN8X2co586gjiSz6asS,50.0
94,1PHG1AoZJ5yyg6MV2fkqYCuDDik2NTfzfm,50.0
95,18GyZ216oMhpCbZ7JkKZyT8x68v2a8HuNA,50.0
