Date,Symbol,Available Supply,Unlocked Supply,Private Sales,Protocol Development,Ecosystem Growth,Community Access Sale
Jan 03 2029,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Dec 31 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Dec 29 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Dec 27 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Dec 25 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Dec 23 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Dec 21 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Dec 19 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Dec 16 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Dec 14 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Dec 12 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Dec 10 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Dec 08 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Dec 06 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Dec 03 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Dec 01 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Nov 29 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Nov 27 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Nov 25 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Nov 23 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
Nov 21 2028,ONDO,9207947829.00,9207947829.00,1290246044.00,3300000000.00,4418817374.00,198884411.00
