Date,Symbol,Available Supply,Unlocked Supply,Company Tokens,Team Tokens,Round 1 (Seed),Round 2,Other Rounds,Round 3,Advisors Tokens,Backstop Fund,Safety Fund,User Acquisition Fund,Ecosystem Fund,FTT Liquidity Fund
Apr 22 2024,FTT,350000000.00,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Apr 20 2024,FTT,350000000.00,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Apr 18 2024,FTT,350000000.00,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Apr 16 2024,FTT,350000000.00,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Apr 14 2024,FTT,350000000.00,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Apr 12 2024,FTT,350000000.00,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Apr 10 2024,FTT,350000000.00,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Apr 07 2024,FTT,350000000.00,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Apr 05 2024,FTT,350000000.00,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Apr 03 2024,FTT,350000000.00,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Apr 01 2024,FTT,350000000.00,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Mar 30 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Mar 28 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Mar 26 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Mar 24 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Mar 22 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Mar 19 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Mar 17 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Mar 15 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Mar 13 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Mar 11 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Mar 09 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Mar 07 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Mar 05 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Mar 02 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Feb 29 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Feb 27 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Feb 25 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Feb 23 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Feb 21 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Feb 19 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Feb 17 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Feb 15 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Feb 12 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Feb 10 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Feb 08 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Feb 06 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Feb 04 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Feb 02 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Jan 31 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Jan 29 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Jan 26 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Jan 24 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Jan 22 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Jan 20 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Jan 18 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Jan 16 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Jan 14 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Jan 12 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Jan 10 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Jan 07 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Jan 05 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Jan 03 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Jan 01 2024,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Dec 30 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Dec 28 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Dec 26 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Dec 24 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Dec 21 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Dec 19 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Dec 17 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Dec 15 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Dec 13 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Dec 11 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Dec 09 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Dec 07 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Dec 05 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Dec 02 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Nov 30 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Nov 28 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Nov 26 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Nov 24 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Nov 22 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Nov 20 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Nov 18 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Nov 16 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Nov 13 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Nov 11 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Nov 09 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Nov 07 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Nov 05 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Nov 03 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Nov 01 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Oct 30 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Oct 27 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Oct 25 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Oct 23 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Oct 21 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Oct 19 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
Oct 17 2023,FTT,0,350000000.00,200384520.00,20307616.00,50000000.00,6500000.00,14161920.00,2800000.00,5076904.00,5076904.00,5076904.00,10153808.00,10153808.00,20307616.00
