Date,Symbol,Available Supply,Unlocked Supply,Liquidity Mining,Development Fund
Jun 29 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Jun 27 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Jun 26 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Jun 24 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Jun 23 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Jun 21 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Jun 20 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Jun 18 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Jun 16 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Jun 15 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Jun 13 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Jun 12 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Jun 10 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Jun 09 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Jun 07 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Jun 05 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Jun 04 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Jun 02 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Jun 01 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
May 30 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
May 29 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
May 27 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
May 25 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
May 24 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
May 22 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
May 21 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
May 19 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
May 18 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
May 16 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
May 14 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
May 13 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
May 11 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
May 10 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
May 08 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
May 07 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
May 05 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
May 03 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
May 02 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Apr 30 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Apr 29 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Apr 27 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Apr 26 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Apr 24 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Apr 22 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Apr 21 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Apr 19 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Apr 18 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Apr 16 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Apr 15 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Apr 13 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Apr 11 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Apr 10 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Apr 08 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Apr 07 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Apr 05 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Apr 04 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Apr 02 2024,SUSHI,250534325.42,250534325.42,227758477.68,22775847.74
Mar 31 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Mar 30 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Mar 28 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Mar 27 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Mar 25 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Mar 24 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Mar 22 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Mar 20 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Mar 19 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Mar 17 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Mar 16 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Mar 14 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Mar 13 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Mar 11 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Mar 09 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Mar 08 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Mar 06 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Mar 05 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Mar 03 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Mar 01 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Feb 29 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Feb 27 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Feb 26 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Feb 24 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Feb 23 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Feb 21 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Feb 19 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Feb 18 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Feb 16 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Feb 15 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Feb 13 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Feb 12 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Feb 10 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Feb 08 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Feb 07 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Feb 05 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Feb 04 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Feb 02 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Feb 01 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Jan 30 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Jan 28 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Jan 27 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Jan 25 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Jan 24 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Jan 22 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
Jan 21 2024,SUSHI,0,250534325.42,227758477.68,22775847.74
