Date,Symbol,Available Supply,Unlocked Supply,Marketing (TBD),BONK DAO (TBD),Early Contributor,Initial Liquidity,Solana Developer,Solana Artist and Collectors,Solana Market Participants and Defi Users,Solana NFT Projects
Feb 21 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Feb 20 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Feb 18 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Feb 17 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Feb 16 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Feb 14 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Feb 13 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Feb 12 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Feb 10 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Feb 09 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Feb 08 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Feb 06 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Feb 05 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Feb 04 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Feb 02 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Feb 01 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 31 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 29 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 28 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 27 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 25 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 24 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 23 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 21 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 20 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 19 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 17 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 16 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 15 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 13 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 12 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 11 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 09 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 08 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 07 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
Jan 05 2026,BONK,99999999999999.70,78899999999999.70,5300000000000.00,15800000000000.00,20999999999999.70,5300000000000.00,5300000000000.00,10500000000000.00,15800000000000.00,21000000000000.00
