Date,Symbol,Available Supply,Unlocked Supply,esGMX Rewards,Contributors,GMX:ETH Uniswap Pool,Marketing and Partnerships,Floor Price Fund,XVIX and Gambit migration
Sep 27 2028,GMX,13250000.00,13250000.00,2000000.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Sep 24 2028,GMX,13250000.00,13250000.00,2000000.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Sep 21 2028,GMX,13250000.00,13250000.00,2000000.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Sep 18 2028,GMX,13250000.00,13250000.00,2000000.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Sep 15 2028,GMX,13250000.00,13250000.00,2000000.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Sep 12 2028,GMX,13250000.00,13250000.00,2000000.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Sep 09 2028,GMX,13250000.00,13250000.00,2000000.00,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Sep 06 2028,GMX,13248790.32,13248790.32,1998790.32,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Sep 03 2028,GMX,13247580.65,13247580.65,1997580.65,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Aug 31 2028,GMX,13246370.97,13246370.97,1996370.97,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Aug 28 2028,GMX,13245161.29,13245161.29,1995161.29,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Aug 25 2028,GMX,13243951.61,13243951.61,1993951.61,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Aug 22 2028,GMX,13242741.94,13242741.94,1992741.94,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Aug 19 2028,GMX,13241532.26,13241532.26,1991532.26,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Aug 16 2028,GMX,13240322.58,13240322.58,1990322.58,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Aug 13 2028,GMX,13239112.90,13239112.90,1989112.90,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
Aug 10 2028,GMX,13237903.23,13237903.23,1987903.23,250000.00,2000000.00,1000000.00,2000000.00,6000000.00
