Date,Symbol,Available Supply,Unlocked Supply,Liquidity Incentives,Team,Investors,Ecosystem Fund,Advisors,Liquidity Bootstrapping
Nov 01 2030,PENDLE,375657525.78,375657525.78,151826026.78,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 29 2030,PENDLE,375619722.52,375619722.52,151788223.52,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 25 2030,PENDLE,375569318.17,375569318.17,151737819.17,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 21 2030,PENDLE,375518913.82,375518913.82,151687414.82,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 17 2030,PENDLE,375468509.46,375468509.46,151637010.46,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 13 2030,PENDLE,375418105.11,375418105.11,151586606.11,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 09 2030,PENDLE,375367700.76,375367700.76,151536201.76,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 05 2030,PENDLE,375317296.41,375317296.41,151485797.41,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Oct 01 2030,PENDLE,375266892.06,375266892.06,151435393.06,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Sep 27 2030,PENDLE,375216487.71,375216487.71,151384988.71,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Sep 23 2030,PENDLE,375166083.36,375166083.36,151334584.36,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Sep 19 2030,PENDLE,375115679.00,375115679.00,151284180.00,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Sep 15 2030,PENDLE,375065274.65,375065274.65,151233775.65,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Sep 11 2030,PENDLE,375014870.30,375014870.30,151183371.30,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Sep 07 2030,PENDLE,374964465.95,374964465.95,151132966.95,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Sep 03 2030,PENDLE,374914061.60,374914061.60,151082562.60,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Aug 30 2030,PENDLE,374863657.25,374863657.25,151032158.25,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Aug 26 2030,PENDLE,374813252.89,374813252.89,150981753.89,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Aug 22 2030,PENDLE,374762848.54,374762848.54,150931349.54,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Aug 18 2030,PENDLE,374712444.19,374712444.19,150880945.19,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Aug 14 2030,PENDLE,374662039.84,374662039.84,150830540.84,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Aug 10 2030,PENDLE,374611635.49,374611635.49,150780136.49,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Aug 06 2030,PENDLE,374561231.14,374561231.14,150729732.14,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Aug 02 2030,PENDLE,374510826.78,374510826.78,150679327.78,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jul 29 2030,PENDLE,374460422.43,374460422.43,150628923.43,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jul 25 2030,PENDLE,374410018.08,374410018.08,150578519.08,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jul 21 2030,PENDLE,374359613.73,374359613.73,150528114.73,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jul 17 2030,PENDLE,374309209.38,374309209.38,150477710.38,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jul 13 2030,PENDLE,374258805.03,374258805.03,150427306.03,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jul 09 2030,PENDLE,374208400.67,374208400.67,150376901.67,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jul 05 2030,PENDLE,374157996.32,374157996.32,150326497.32,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jul 01 2030,PENDLE,374107591.97,374107591.97,150276092.97,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jun 28 2030,PENDLE,374069788.71,374069788.71,150238289.71,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jun 24 2030,PENDLE,374019384.36,374019384.36,150187885.36,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
Jun 20 2030,PENDLE,373968980.00,373968980.00,150137481.00,55000000.00,37422304.00,46000000.00,2494820.00,82914375.00
