Date,Symbol,Available Supply,Unlocked Supply,Mining Reserve,Team,Foundation Reserve,Private Sale,Seed Sale,Advisors,Strategic Sale,Binance Launchpad Sale
Feb 27 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Feb 25 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Feb 22 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Feb 20 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Feb 17 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Feb 15 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Feb 13 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Feb 10 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Feb 08 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Feb 05 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Feb 03 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Feb 01 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Jan 29 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Jan 27 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Jan 24 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Jan 22 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Jan 20 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Jan 17 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Jan 15 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Jan 12 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Jan 10 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Jan 08 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Jan 05 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Jan 03 2026,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Dec 31 2025,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Dec 29 2025,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Dec 27 2025,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Dec 24 2025,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Dec 22 2025,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Dec 19 2025,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Dec 17 2025,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Dec 15 2025,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
Dec 12 2025,CTSI,1000000000.00,1000000000.00,250000000.00,150000000.00,402150000.00,50000000.00,20000000.00,21150000.00,6700000.00,100000000.00
