Date,Symbol,Available Supply,Unlocked Supply,Project Development,Node Emissions,Ecosystem Fund,Strategic Reserve,TGE & Liquidity Provision
Dec 26 2049,MYRIA,49998221117.53,49998221117.53,9500000000.00,17998221117.53,20000000000.00,1000000000.00,1500000000.00
Dec 14 2049,MYRIA,49998203057.81,49998203057.81,9500000000.00,17998203057.81,20000000000.00,1000000000.00,1500000000.00
Dec 03 2049,MYRIA,49998186503.06,49998186503.06,9500000000.00,17998186503.06,20000000000.00,1000000000.00,1500000000.00
Nov 22 2049,MYRIA,49998169948.32,49998169948.32,9500000000.00,17998169948.32,20000000000.00,1000000000.00,1500000000.00
Nov 11 2049,MYRIA,49998153393.58,49998153393.58,9500000000.00,17998153393.57,20000000000.00,1000000000.00,1500000000.00
Oct 30 2049,MYRIA,49998135333.85,49998135333.85,9500000000.00,17998135333.85,20000000000.00,1000000000.00,1500000000.00
Oct 19 2049,MYRIA,49998118779.11,49998118779.11,9500000000.00,17998118779.11,20000000000.00,1000000000.00,1500000000.00
Oct 08 2049,MYRIA,49998102224.37,49998102224.37,9500000000.00,17998102224.37,20000000000.00,1000000000.00,1500000000.00
Sep 27 2049,MYRIA,49998085669.62,49998085669.62,9500000000.00,17998085669.62,20000000000.00,1000000000.00,1500000000.00
Sep 16 2049,MYRIA,49998069114.88,49998069114.88,9500000000.00,17998069114.88,20000000000.00,1000000000.00,1500000000.00
Sep 04 2049,MYRIA,49998051055.16,49998051055.16,9500000000.00,17998051055.16,20000000000.00,1000000000.00,1500000000.00
Aug 24 2049,MYRIA,49998034500.42,49998034500.42,9500000000.00,17998034500.41,20000000000.00,1000000000.00,1500000000.00
Aug 13 2049,MYRIA,49998017945.67,49998017945.67,9500000000.00,17998017945.67,20000000000.00,1000000000.00,1500000000.00
Aug 02 2049,MYRIA,49998001390.93,49998001390.93,9500000000.00,17998001390.93,20000000000.00,1000000000.00,1500000000.00
Jul 21 2049,MYRIA,49997983331.21,49997983331.21,9500000000.00,17997983331.21,20000000000.00,1000000000.00,1500000000.00
Jul 10 2049,MYRIA,49997966776.46,49997966776.46,9500000000.00,17997966776.46,20000000000.00,1000000000.00,1500000000.00
Jun 29 2049,MYRIA,49997950221.72,49997950221.72,9500000000.00,17997950221.72,20000000000.00,1000000000.00,1500000000.00
Jun 18 2049,MYRIA,49997933666.98,49997933666.98,9500000000.00,17997933666.97,20000000000.00,1000000000.00,1500000000.00
Jun 07 2049,MYRIA,49997917112.23,49997917112.23,9500000000.00,17997917112.23,20000000000.00,1000000000.00,1500000000.00
May 26 2049,MYRIA,49997899052.51,49997899052.51,9500000000.00,17997899052.51,20000000000.00,1000000000.00,1500000000.00
May 15 2049,MYRIA,49997882497.77,49997882497.77,9500000000.00,17997882497.77,20000000000.00,1000000000.00,1500000000.00
May 04 2049,MYRIA,49997865943.02,49997865943.02,9500000000.00,17997865943.02,20000000000.00,1000000000.00,1500000000.00
Apr 23 2049,MYRIA,49997849388.28,49997849388.28,9500000000.00,17997849388.28,20000000000.00,1000000000.00,1500000000.00
Apr 11 2049,MYRIA,49997831328.56,49997831328.56,9500000000.00,17997831328.56,20000000000.00,1000000000.00,1500000000.00
Mar 31 2049,MYRIA,49997814773.82,49997814773.82,9500000000.00,17997814773.81,20000000000.00,1000000000.00,1500000000.00
Mar 20 2049,MYRIA,49997793716.50,49997793716.50,9500000000.00,17997793716.50,20000000000.00,1000000000.00,1500000000.00
