Date,Symbol,Available Supply,Unlocked Supply,Community Treasury,Team/Investors/Advisors,LP Staking Reward,Early Airdrop
Dec 17 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Dec 15 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Dec 14 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Dec 12 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Dec 10 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Dec 08 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Dec 07 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Dec 05 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Dec 03 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Dec 01 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Nov 30 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Nov 28 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Nov 26 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Nov 24 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Nov 23 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Nov 21 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Nov 19 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Nov 17 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Nov 16 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Nov 14 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Nov 12 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Nov 10 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
Nov 09 2024,UNI,1000000000.00,1000000000.00,430000000.00,400000000.00,20000000.00,150000000.00
