Date,Symbol,Available Supply,Unlocked Supply,POOL Token Treasury,Team/Contributors,Investors,Liquidity mining,Voters,New user education,Retroactive depositors
Jun 03 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 01 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 31 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 30 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 28 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 27 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 26 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 24 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 23 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 21 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 20 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 19 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 17 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 16 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 14 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 13 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 12 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 10 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 09 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 08 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 06 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 05 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 03 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 02 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
May 01 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Apr 29 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Apr 28 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Apr 27 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Apr 25 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Apr 24 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Apr 22 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Apr 21 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Apr 20 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Apr 18 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Apr 17 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Apr 16 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Apr 14 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Apr 13 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Apr 11 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Apr 10 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Apr 09 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Apr 07 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Apr 06 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Apr 04 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Apr 03 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Apr 02 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 31 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 30 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 29 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 27 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 26 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 24 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 23 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 22 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 20 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 19 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 18 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 16 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 15 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 13 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 12 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 11 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 09 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 08 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 07 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 05 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 04 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 02 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Mar 01 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Feb 29 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Feb 27 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Feb 26 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Feb 24 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Feb 23 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Feb 22 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Feb 20 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Feb 19 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Feb 18 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Feb 16 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Feb 15 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Feb 13 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Feb 12 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Feb 11 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Feb 09 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Feb 08 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Feb 07 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Feb 05 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Feb 04 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Feb 02 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Feb 01 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 31 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 29 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 28 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 27 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 25 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 24 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 22 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 21 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 20 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 18 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 17 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 15 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 14 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 13 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 11 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 10 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 09 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 07 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 06 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 04 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 03 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jan 02 2024,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 31 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 30 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 29 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 27 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 26 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 24 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 23 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 22 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 20 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 19 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 18 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 16 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 15 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 13 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 12 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 11 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 09 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 08 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 06 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 05 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 04 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 02 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Dec 01 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 30 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 28 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 27 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 25 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 24 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 23 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 21 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 20 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 19 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 17 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 16 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 14 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 13 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 12 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 10 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 09 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 08 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 06 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 05 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 03 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 02 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Nov 01 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 30 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 29 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 27 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 26 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 25 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 23 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 22 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 21 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 19 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 18 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 16 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 15 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 14 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 12 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 11 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 10 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 08 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 07 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 05 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 04 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 03 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Oct 01 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 30 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 29 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 27 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 26 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 24 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 23 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 22 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 20 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 19 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 17 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 16 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 15 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 13 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 12 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 11 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 09 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 08 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 06 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 05 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 04 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 02 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Sep 01 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Aug 31 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Aug 29 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Aug 28 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Aug 26 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Aug 25 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Aug 24 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Aug 22 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Aug 21 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Aug 20 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Aug 18 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Aug 17 2023,POOL,0,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
