Date,Symbol,Available Supply,Unlocked Supply,POOL Token Treasury,Team/Contributors,Investors,Liquidity mining,Voters,New user education,Retroactive depositors
Jun 29 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 28 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 26 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 25 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 23 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 22 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 21 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 19 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 18 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 17 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 15 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 14 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 12 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 11 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 10 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 08 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 07 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 06 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 04 2024,POOL,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
