Date,Symbol,Available Supply,Unlocked Supply,Foundation,Team,Staking Rewards,Ecosystem,Advisors,Private Investors,Binance IEO Investors
Apr 13 2024,MATIC,9999999999.90,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Apr 11 2024,MATIC,9999999999.90,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Apr 09 2024,MATIC,9999999999.90,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Apr 07 2024,MATIC,9999999999.90,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Apr 05 2024,MATIC,9999999999.90,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Apr 03 2024,MATIC,9999999999.90,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Apr 01 2024,MATIC,9999999999.90,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Mar 29 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Mar 27 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Mar 25 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Mar 23 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Mar 21 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Mar 19 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Mar 17 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Mar 15 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Mar 12 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Mar 10 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Mar 08 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Mar 06 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Mar 04 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Mar 02 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Feb 29 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Feb 27 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Feb 24 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Feb 22 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Feb 20 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Feb 18 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Feb 16 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Feb 14 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Feb 12 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Feb 09 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Feb 07 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Feb 05 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Feb 03 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Feb 01 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jan 30 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jan 28 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jan 26 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jan 23 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jan 21 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jan 19 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jan 17 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jan 15 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jan 13 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jan 11 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jan 09 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jan 06 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jan 04 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Jan 02 2024,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Dec 31 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Dec 29 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Dec 27 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Dec 25 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Dec 23 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
Dec 20 2023,MATIC,0,9999999999.90,2186438530.00,1600000000.00,1200000000.00,2333333333.00,400000000.00,380228136.90,1900000000.00
