Date,Symbol,Available Supply,Unlocked Supply,Team,Community,Investors,Future fundraise
Jul 01 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Jun 29 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Jun 28 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Jun 26 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Jun 24 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Jun 22 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Jun 21 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Jun 19 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Jun 17 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Jun 15 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Jun 14 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Jun 12 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Jun 10 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Jun 08 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Jun 07 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Jun 05 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Jun 03 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Jun 01 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
May 31 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
May 29 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
May 27 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
May 25 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
May 24 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
May 22 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
May 20 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
May 18 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
May 17 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
May 15 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
May 13 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
May 11 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
May 10 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
May 08 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
May 06 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
May 05 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
May 03 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
May 01 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Apr 29 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Apr 28 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Apr 26 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Apr 24 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Apr 22 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Apr 21 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Apr 19 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Apr 17 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Apr 15 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Apr 14 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Apr 12 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Apr 10 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Apr 08 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Apr 07 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Apr 05 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Apr 03 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Apr 01 2025,SWISE,1000000000.00,1000000000.00,217000000.00,510000000.00,251500000.00,21500000.00
Mar 31 2025,SWISE,999481127.47,999481127.47,216830203.44,509650924.02,251500000.00,21500000.00
Mar 29 2025,SWISE,998443382.40,998443382.40,216490610.33,508952772.07,251500000.00,21500000.00
Mar 27 2025,SWISE,997405637.34,997405637.34,216151017.21,508254620.12,251500000.00,21500000.00
Mar 25 2025,SWISE,996367892.27,996367892.27,215811424.10,507556468.17,251500000.00,21500000.00
Mar 24 2025,SWISE,995849019.74,995849019.74,215641627.54,507207392.20,251500000.00,21500000.00
Mar 22 2025,SWISE,994811274.68,994811274.68,215302034.43,506509240.25,251500000.00,21500000.00
Mar 20 2025,SWISE,993773529.61,993773529.61,214962441.31,505811088.30,251500000.00,21500000.00
Mar 18 2025,SWISE,992735784.55,992735784.55,214622848.20,505112936.34,251500000.00,21500000.00
Mar 17 2025,SWISE,992216912.01,992216912.01,214453051.64,504763860.37,251500000.00,21500000.00
Mar 15 2025,SWISE,991179166.95,991179166.95,214113458.53,504065708.42,251500000.00,21500000.00
Mar 13 2025,SWISE,990141421.88,990141421.88,213773865.41,503367556.47,251500000.00,21500000.00
Mar 12 2025,SWISE,989622549.35,989622549.35,213604068.86,503018480.49,251500000.00,21500000.00
Mar 10 2025,SWISE,988584804.29,988584804.29,213264475.74,502320328.54,251500000.00,21500000.00
Mar 08 2025,SWISE,987547059.22,987547059.22,212924882.63,501622176.59,251500000.00,21500000.00
Mar 06 2025,SWISE,986509314.16,986509314.16,212585289.51,500924024.64,251500000.00,21500000.00
Mar 05 2025,SWISE,985990441.62,985990441.62,212415492.96,500574948.67,251500000.00,21500000.00
Mar 03 2025,SWISE,984952696.56,984952696.56,212075899.84,499876796.71,251500000.00,21500000.00
Mar 01 2025,SWISE,983914951.49,983914951.49,211736306.73,499178644.76,251500000.00,21500000.00
Feb 27 2025,SWISE,982877206.43,982877206.43,211396713.62,498480492.81,251500000.00,21500000.00
Feb 26 2025,SWISE,982358333.90,982358333.90,211226917.06,498131416.84,251500000.00,21500000.00
Feb 24 2025,SWISE,981320588.83,981320588.83,210887323.94,497433264.89,251500000.00,21500000.00
Feb 22 2025,SWISE,980282843.77,980282843.77,210547730.83,496735112.94,251500000.00,21500000.00
Feb 20 2025,SWISE,979245098.70,979245098.70,210208137.72,496036960.99,251500000.00,21500000.00
Feb 19 2025,SWISE,978726226.17,978726226.17,210038341.16,495687885.01,251500000.00,21500000.00
Feb 17 2025,SWISE,977688481.10,977688481.10,209698748.04,494989733.06,251500000.00,21500000.00
Feb 15 2025,SWISE,976650736.04,976650736.04,209359154.93,494291581.11,251500000.00,21500000.00
Feb 13 2025,SWISE,975612990.97,975612990.97,209019561.82,493593429.16,251500000.00,21500000.00
Feb 12 2025,SWISE,975094118.44,975094118.44,208849765.26,493244353.18,251500000.00,21500000.00
Feb 10 2025,SWISE,974056373.38,974056373.38,208510172.14,492546201.23,251500000.00,21500000.00
Feb 08 2025,SWISE,973018628.31,973018628.31,208170579.03,491848049.28,251500000.00,21500000.00
Feb 06 2025,SWISE,971980883.25,971980883.25,207830985.92,491149897.33,251500000.00,21500000.00
Feb 05 2025,SWISE,971462010.71,971462010.71,207661189.36,490800821.36,251500000.00,21500000.00
Feb 03 2025,SWISE,970424265.65,970424265.65,207321596.24,490102669.40,251500000.00,21500000.00
Feb 01 2025,SWISE,969386520.58,969386520.58,206982003.13,489404517.45,251500000.00,21500000.00
Jan 30 2025,SWISE,968348775.52,968348775.52,206642410.02,488706365.50,251500000.00,21500000.00
Jan 29 2025,SWISE,967829902.99,967829902.99,206472613.46,488357289.53,251500000.00,21500000.00
Jan 27 2025,SWISE,966792157.92,966792157.92,206133020.34,487659137.58,251500000.00,21500000.00
Jan 25 2025,SWISE,965754412.86,965754412.86,205793427.23,486960985.63,251500000.00,21500000.00
Jan 23 2025,SWISE,964716667.79,964716667.79,205453834.12,486262833.68,251500000.00,21500000.00
Jan 22 2025,SWISE,964197795.26,964197795.26,205284037.56,485913757.70,251500000.00,21500000.00
Jan 20 2025,SWISE,963160050.19,963160050.19,204944444.44,485215605.75,251500000.00,21500000.00
Jan 18 2025,SWISE,962122305.13,962122305.13,204604851.33,484517453.80,251500000.00,21500000.00
