Date,Symbol,Available Supply,Unlocked Supply,Community,Foundation,Core contributors,Investors
Oct 09 2032,APT,1000000000.00,1000000000.00,510217359.77,165000000.00,190000000.00,134782640.23
Oct 05 2032,APT,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Oct 01 2032,APT,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 27 2032,APT,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 23 2032,APT,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 19 2032,APT,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 14 2032,APT,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 10 2032,APT,995456522.00,995456522.00,507007215.10,163666666.67,190000000.00,134782640.23
Sep 06 2032,APT,990913044.00,990913044.00,503797070.44,162333333.33,190000000.00,134782640.23
Sep 02 2032,APT,990913044.00,990913044.00,503797070.44,162333333.33,190000000.00,134782640.23
Aug 29 2032,APT,990913044.00,990913044.00,503797070.44,162333333.33,190000000.00,134782640.23
Aug 25 2032,APT,990913044.00,990913044.00,503797070.44,162333333.33,190000000.00,134782640.23
Aug 21 2032,APT,990913044.00,990913044.00,503797070.44,162333333.33,190000000.00,134782640.23
Aug 17 2032,APT,990913044.00,990913044.00,503797070.44,162333333.33,190000000.00,134782640.23
Aug 13 2032,APT,990913044.00,990913044.00,503797070.44,162333333.33,190000000.00,134782640.23
Aug 09 2032,APT,986369566.00,986369566.00,500586925.77,161000000.00,190000000.00,134782640.23
Aug 04 2032,APT,986369566.00,986369566.00,500586925.77,161000000.00,190000000.00,134782640.23
Jul 31 2032,APT,986369566.00,986369566.00,500586925.77,161000000.00,190000000.00,134782640.23
Jul 27 2032,APT,986369566.00,986369566.00,500586925.77,161000000.00,190000000.00,134782640.23
Jul 23 2032,APT,986369566.00,986369566.00,500586925.77,161000000.00,190000000.00,134782640.23
Jul 19 2032,APT,986369566.00,986369566.00,500586925.77,161000000.00,190000000.00,134782640.23
Jul 15 2032,APT,986369566.00,986369566.00,500586925.77,161000000.00,190000000.00,134782640.23
Jul 11 2032,APT,986369566.00,986369566.00,500586925.77,161000000.00,190000000.00,134782640.23
Jul 07 2032,APT,981826088.01,981826088.01,497376781.11,159666666.67,190000000.00,134782640.23
Jul 03 2032,APT,981826088.01,981826088.01,497376781.11,159666666.67,190000000.00,134782640.23
