Date,Symbol,Available Supply,Unlocked Supply,Community,Foundation,Core contributors,Investors
Jun 29 2032,APT,981826088.01,981826088.01,497376781.11,159666666.67,190000000.00,134782640.23
Jun 24 2032,APT,981826088.01,981826088.01,497376781.11,159666666.67,190000000.00,134782640.23
Jun 20 2032,APT,981826088.01,981826088.01,497376781.11,159666666.67,190000000.00,134782640.23
Jun 16 2032,APT,981826088.01,981826088.01,497376781.11,159666666.67,190000000.00,134782640.23
Jun 12 2032,APT,981826088.01,981826088.01,497376781.11,159666666.67,190000000.00,134782640.23
Jun 08 2032,APT,977282610.00,977282610.00,494166636.44,158333333.33,190000000.00,134782640.23
Jun 04 2032,APT,977282610.00,977282610.00,494166636.44,158333333.33,190000000.00,134782640.23
May 31 2032,APT,977282610.00,977282610.00,494166636.44,158333333.33,190000000.00,134782640.23
May 27 2032,APT,977282610.00,977282610.00,494166636.44,158333333.33,190000000.00,134782640.23
May 23 2032,APT,977282610.00,977282610.00,494166636.44,158333333.33,190000000.00,134782640.23
May 19 2032,APT,977282610.00,977282610.00,494166636.44,158333333.33,190000000.00,134782640.23
May 15 2032,APT,977282610.00,977282610.00,494166636.44,158333333.33,190000000.00,134782640.23
May 10 2032,APT,977282610.00,977282610.00,494166636.44,158333333.33,190000000.00,134782640.23
May 06 2032,APT,972739132.01,972739132.01,490956491.78,157000000.00,190000000.00,134782640.23
May 02 2032,APT,972739132.01,972739132.01,490956491.78,157000000.00,190000000.00,134782640.23
Apr 28 2032,APT,972739132.01,972739132.01,490956491.78,157000000.00,190000000.00,134782640.23
Apr 24 2032,APT,972739132.01,972739132.01,490956491.78,157000000.00,190000000.00,134782640.23
Apr 20 2032,APT,972739132.01,972739132.01,490956491.78,157000000.00,190000000.00,134782640.23
Apr 16 2032,APT,972739132.01,972739132.01,490956491.78,157000000.00,190000000.00,134782640.23
Apr 12 2032,APT,972739132.01,972739132.01,490956491.78,157000000.00,190000000.00,134782640.23
Apr 08 2032,APT,968195654.01,968195654.01,487746347.11,155666666.67,190000000.00,134782640.23
Apr 04 2032,APT,968195654.01,968195654.01,487746347.11,155666666.67,190000000.00,134782640.23
Mar 30 2032,APT,968195654.01,968195654.01,487746347.11,155666666.67,190000000.00,134782640.23
Mar 26 2032,APT,968195654.01,968195654.01,487746347.11,155666666.67,190000000.00,134782640.23
Mar 22 2032,APT,968195654.01,968195654.01,487746347.11,155666666.67,190000000.00,134782640.23
Mar 18 2032,APT,968195654.01,968195654.01,487746347.11,155666666.67,190000000.00,134782640.23
Mar 14 2032,APT,968195654.01,968195654.01,487746347.11,155666666.67,190000000.00,134782640.23
Mar 10 2032,APT,968195654.01,968195654.01,487746347.11,155666666.67,190000000.00,134782640.23
Mar 06 2032,APT,963652176.01,963652176.01,484536202.45,154333333.33,190000000.00,134782640.23
Mar 02 2032,APT,963652176.01,963652176.01,484536202.45,154333333.33,190000000.00,134782640.23
Feb 27 2032,APT,963652176.01,963652176.01,484536202.45,154333333.33,190000000.00,134782640.23
Feb 23 2032,APT,963652176.01,963652176.01,484536202.45,154333333.33,190000000.00,134782640.23
Feb 18 2032,APT,963652176.01,963652176.01,484536202.45,154333333.33,190000000.00,134782640.23
Feb 14 2032,APT,963652176.01,963652176.01,484536202.45,154333333.33,190000000.00,134782640.23
Feb 10 2032,APT,963652176.01,963652176.01,484536202.45,154333333.33,190000000.00,134782640.23
Feb 06 2032,APT,959108698.01,959108698.01,481326057.78,153000000.00,190000000.00,134782640.23
Feb 02 2032,APT,959108698.01,959108698.01,481326057.78,153000000.00,190000000.00,134782640.23
Jan 29 2032,APT,959108698.01,959108698.01,481326057.78,153000000.00,190000000.00,134782640.23
Jan 25 2032,APT,959108698.01,959108698.01,481326057.78,153000000.00,190000000.00,134782640.23
Jan 21 2032,APT,959108698.01,959108698.01,481326057.78,153000000.00,190000000.00,134782640.23
Jan 17 2032,APT,959108698.01,959108698.01,481326057.78,153000000.00,190000000.00,134782640.23
Jan 13 2032,APT,959108698.01,959108698.01,481326057.78,153000000.00,190000000.00,134782640.23
Jan 09 2032,APT,954565220.02,954565220.02,478115913.12,151666666.67,190000000.00,134782640.23
Jan 04 2032,APT,954565220.02,954565220.02,478115913.12,151666666.67,190000000.00,134782640.23
Dec 31 2031,APT,954565220.02,954565220.02,478115913.12,151666666.67,190000000.00,134782640.23
Dec 27 2031,APT,954565220.02,954565220.02,478115913.12,151666666.67,190000000.00,134782640.23
Dec 23 2031,APT,954565220.02,954565220.02,478115913.12,151666666.67,190000000.00,134782640.23
Dec 19 2031,APT,954565220.02,954565220.02,478115913.12,151666666.67,190000000.00,134782640.23
Dec 15 2031,APT,954565220.02,954565220.02,478115913.12,151666666.67,190000000.00,134782640.23
Dec 11 2031,APT,954565220.02,954565220.02,478115913.12,151666666.67,190000000.00,134782640.23
Dec 07 2031,APT,950021742.02,950021742.02,474905768.46,150333333.33,190000000.00,134782640.23
Dec 03 2031,APT,950021742.02,950021742.02,474905768.46,150333333.33,190000000.00,134782640.23
Nov 29 2031,APT,950021742.02,950021742.02,474905768.46,150333333.33,190000000.00,134782640.23
Nov 24 2031,APT,950021742.02,950021742.02,474905768.46,150333333.33,190000000.00,134782640.23
Nov 20 2031,APT,950021742.02,950021742.02,474905768.46,150333333.33,190000000.00,134782640.23
Nov 16 2031,APT,950021742.02,950021742.02,474905768.46,150333333.33,190000000.00,134782640.23
Nov 12 2031,APT,950021742.02,950021742.02,474905768.46,150333333.33,190000000.00,134782640.23
Nov 08 2031,APT,945478264.02,945478264.02,471695623.79,149000000.00,190000000.00,134782640.23
Nov 04 2031,APT,945478264.02,945478264.02,471695623.79,149000000.00,190000000.00,134782640.23
Oct 31 2031,APT,945478264.02,945478264.02,471695623.79,149000000.00,190000000.00,134782640.23
Oct 27 2031,APT,945478264.02,945478264.02,471695623.79,149000000.00,190000000.00,134782640.23
Oct 23 2031,APT,945478264.02,945478264.02,471695623.79,149000000.00,190000000.00,134782640.23
Oct 19 2031,APT,945478264.02,945478264.02,471695623.79,149000000.00,190000000.00,134782640.23
Oct 15 2031,APT,945478264.02,945478264.02,471695623.79,149000000.00,190000000.00,134782640.23
Oct 10 2031,APT,945478264.02,945478264.02,471695623.79,149000000.00,190000000.00,134782640.23
Oct 06 2031,APT,940934786.03,940934786.03,468485479.13,147666666.67,190000000.00,134782640.23
Oct 02 2031,APT,940934786.03,940934786.03,468485479.13,147666666.67,190000000.00,134782640.23
Sep 28 2031,APT,940934786.03,940934786.03,468485479.13,147666666.67,190000000.00,134782640.23
Sep 24 2031,APT,940934786.03,940934786.03,468485479.13,147666666.67,190000000.00,134782640.23
Sep 20 2031,APT,940934786.03,940934786.03,468485479.13,147666666.67,190000000.00,134782640.23
Sep 16 2031,APT,940934786.03,940934786.03,468485479.13,147666666.67,190000000.00,134782640.23
Sep 12 2031,APT,940934786.03,940934786.03,468485479.13,147666666.67,190000000.00,134782640.23
Sep 08 2031,APT,936391308.02,936391308.02,465275334.46,146333333.33,190000000.00,134782640.23
Sep 04 2031,APT,936391308.02,936391308.02,465275334.46,146333333.33,190000000.00,134782640.23
Aug 30 2031,APT,936391308.02,936391308.02,465275334.46,146333333.33,190000000.00,134782640.23
Aug 26 2031,APT,936391308.02,936391308.02,465275334.46,146333333.33,190000000.00,134782640.23
Aug 22 2031,APT,936391308.02,936391308.02,465275334.46,146333333.33,190000000.00,134782640.23
Aug 18 2031,APT,936391308.02,936391308.02,465275334.46,146333333.33,190000000.00,134782640.23
Aug 14 2031,APT,936391308.02,936391308.02,465275334.46,146333333.33,190000000.00,134782640.23
Aug 10 2031,APT,931847830.03,931847830.03,462065189.80,145000000.00,190000000.00,134782640.23
Aug 06 2031,APT,931847830.03,931847830.03,462065189.80,145000000.00,190000000.00,134782640.23
Aug 02 2031,APT,931847830.03,931847830.03,462065189.80,145000000.00,190000000.00,134782640.23
Jul 29 2031,APT,931847830.03,931847830.03,462065189.80,145000000.00,190000000.00,134782640.23
Jul 25 2031,APT,931847830.03,931847830.03,462065189.80,145000000.00,190000000.00,134782640.23
Jul 20 2031,APT,931847830.03,931847830.03,462065189.80,145000000.00,190000000.00,134782640.23
Jul 16 2031,APT,931847830.03,931847830.03,462065189.80,145000000.00,190000000.00,134782640.23
Jul 12 2031,APT,931847830.03,931847830.03,462065189.80,145000000.00,190000000.00,134782640.23
Jul 08 2031,APT,927304352.03,927304352.03,458855045.13,143666666.67,190000000.00,134782640.23
Jul 04 2031,APT,927304352.03,927304352.03,458855045.13,143666666.67,190000000.00,134782640.23
Jun 30 2031,APT,927304352.03,927304352.03,458855045.13,143666666.67,190000000.00,134782640.23
Jun 26 2031,APT,927304352.03,927304352.03,458855045.13,143666666.67,190000000.00,134782640.23
Jun 22 2031,APT,927304352.03,927304352.03,458855045.13,143666666.67,190000000.00,134782640.23
Jun 18 2031,APT,927304352.03,927304352.03,458855045.13,143666666.67,190000000.00,134782640.23
Jun 14 2031,APT,927304352.03,927304352.03,458855045.13,143666666.67,190000000.00,134782640.23
Jun 10 2031,APT,922760874.03,922760874.03,455644900.47,142333333.33,190000000.00,134782640.23
Jun 05 2031,APT,922760874.03,922760874.03,455644900.47,142333333.33,190000000.00,134782640.23
Jun 01 2031,APT,922760874.03,922760874.03,455644900.47,142333333.33,190000000.00,134782640.23
May 28 2031,APT,922760874.03,922760874.03,455644900.47,142333333.33,190000000.00,134782640.23
May 24 2031,APT,922760874.03,922760874.03,455644900.47,142333333.33,190000000.00,134782640.23
May 20 2031,APT,922760874.03,922760874.03,455644900.47,142333333.33,190000000.00,134782640.23
May 16 2031,APT,922760874.03,922760874.03,455644900.47,142333333.33,190000000.00,134782640.23
May 12 2031,APT,922760874.03,922760874.03,455644900.47,142333333.33,190000000.00,134782640.23
May 08 2031,APT,918217396.03,918217396.03,452434755.80,141000000.00,190000000.00,134782640.23
May 04 2031,APT,918217396.03,918217396.03,452434755.80,141000000.00,190000000.00,134782640.23
Apr 30 2031,APT,918217396.03,918217396.03,452434755.80,141000000.00,190000000.00,134782640.23
Apr 25 2031,APT,918217396.03,918217396.03,452434755.80,141000000.00,190000000.00,134782640.23
Apr 21 2031,APT,918217396.03,918217396.03,452434755.80,141000000.00,190000000.00,134782640.23
Apr 17 2031,APT,918217396.03,918217396.03,452434755.80,141000000.00,190000000.00,134782640.23
Apr 13 2031,APT,918217396.03,918217396.03,452434755.80,141000000.00,190000000.00,134782640.23
Apr 09 2031,APT,913673918.04,913673918.04,449224611.14,139666666.67,190000000.00,134782640.23
Apr 05 2031,APT,913673918.04,913673918.04,449224611.14,139666666.67,190000000.00,134782640.23
Apr 01 2031,APT,913673918.04,913673918.04,449224611.14,139666666.67,190000000.00,134782640.23
Mar 28 2031,APT,913673918.04,913673918.04,449224611.14,139666666.67,190000000.00,134782640.23
Mar 24 2031,APT,913673918.04,913673918.04,449224611.14,139666666.67,190000000.00,134782640.23
Mar 20 2031,APT,913673918.04,913673918.04,449224611.14,139666666.67,190000000.00,134782640.23
Mar 15 2031,APT,913673918.04,913673918.04,449224611.14,139666666.67,190000000.00,134782640.23
Mar 11 2031,APT,913673918.04,913673918.04,449224611.14,139666666.67,190000000.00,134782640.23
Mar 07 2031,APT,909130440.03,909130440.03,446014466.47,138333333.33,190000000.00,134782640.23
Mar 03 2031,APT,909130440.03,909130440.03,446014466.47,138333333.33,190000000.00,134782640.23
Feb 27 2031,APT,909130440.03,909130440.03,446014466.47,138333333.33,190000000.00,134782640.23
Feb 23 2031,APT,909130440.03,909130440.03,446014466.47,138333333.33,190000000.00,134782640.23
Feb 19 2031,APT,909130440.03,909130440.03,446014466.47,138333333.33,190000000.00,134782640.23
Feb 15 2031,APT,909130440.03,909130440.03,446014466.47,138333333.33,190000000.00,134782640.23
Feb 11 2031,APT,909130440.03,909130440.03,446014466.47,138333333.33,190000000.00,134782640.23
Feb 07 2031,APT,904586962.04,904586962.04,442804321.81,137000000.00,190000000.00,134782640.23
Feb 03 2031,APT,904586962.04,904586962.04,442804321.81,137000000.00,190000000.00,134782640.23
Jan 29 2031,APT,904586962.04,904586962.04,442804321.81,137000000.00,190000000.00,134782640.23
Jan 25 2031,APT,904586962.04,904586962.04,442804321.81,137000000.00,190000000.00,134782640.23
Jan 21 2031,APT,904586962.04,904586962.04,442804321.81,137000000.00,190000000.00,134782640.23
Jan 17 2031,APT,904586962.04,904586962.04,442804321.81,137000000.00,190000000.00,134782640.23
Jan 13 2031,APT,904586962.04,904586962.04,442804321.81,137000000.00,190000000.00,134782640.23
Jan 09 2031,APT,900043484.04,900043484.04,439594177.14,135666666.67,190000000.00,134782640.23
Jan 05 2031,APT,900043484.04,900043484.04,439594177.14,135666666.67,190000000.00,134782640.23
Jan 01 2031,APT,900043484.04,900043484.04,439594177.14,135666666.67,190000000.00,134782640.23
Dec 28 2030,APT,900043484.04,900043484.04,439594177.14,135666666.67,190000000.00,134782640.23
Dec 24 2030,APT,900043484.04,900043484.04,439594177.14,135666666.67,190000000.00,134782640.23
Dec 19 2030,APT,900043484.04,900043484.04,439594177.14,135666666.67,190000000.00,134782640.23
Dec 15 2030,APT,900043484.04,900043484.04,439594177.14,135666666.67,190000000.00,134782640.23
Dec 11 2030,APT,900043484.04,900043484.04,439594177.14,135666666.67,190000000.00,134782640.23
Dec 07 2030,APT,895500006.04,895500006.04,436384032.48,134333333.33,190000000.00,134782640.23
Dec 03 2030,APT,895500006.04,895500006.04,436384032.48,134333333.33,190000000.00,134782640.23
Nov 29 2030,APT,895500006.04,895500006.04,436384032.48,134333333.33,190000000.00,134782640.23
Nov 25 2030,APT,895500006.04,895500006.04,436384032.48,134333333.33,190000000.00,134782640.23
Nov 21 2030,APT,895500006.04,895500006.04,436384032.48,134333333.33,190000000.00,134782640.23
Nov 17 2030,APT,895500006.04,895500006.04,436384032.48,134333333.33,190000000.00,134782640.23
Nov 13 2030,APT,895500006.04,895500006.04,436384032.48,134333333.33,190000000.00,134782640.23
Nov 08 2030,APT,890956528.04,890956528.04,433173887.81,133000000.00,190000000.00,134782640.23
Nov 04 2030,APT,890956528.04,890956528.04,433173887.81,133000000.00,190000000.00,134782640.23
Oct 31 2030,APT,890956528.04,890956528.04,433173887.81,133000000.00,190000000.00,134782640.23
Oct 27 2030,APT,890956528.04,890956528.04,433173887.81,133000000.00,190000000.00,134782640.23
Oct 23 2030,APT,890956528.04,890956528.04,433173887.81,133000000.00,190000000.00,134782640.23
Oct 19 2030,APT,890956528.04,890956528.04,433173887.81,133000000.00,190000000.00,134782640.23
Oct 15 2030,APT,890956528.04,890956528.04,433173887.81,133000000.00,190000000.00,134782640.23
Oct 11 2030,APT,890956528.04,890956528.04,433173887.81,133000000.00,190000000.00,134782640.23
Oct 07 2030,APT,886413050.05,886413050.05,429963743.15,131666666.67,190000000.00,134782640.23
Oct 03 2030,APT,886413050.05,886413050.05,429963743.15,131666666.67,190000000.00,134782640.23
Sep 29 2030,APT,886413050.05,886413050.05,429963743.15,131666666.67,190000000.00,134782640.23
Sep 24 2030,APT,886413050.05,886413050.05,429963743.15,131666666.67,190000000.00,134782640.23
Sep 20 2030,APT,886413050.05,886413050.05,429963743.15,131666666.67,190000000.00,134782640.23
Sep 16 2030,APT,886413050.05,886413050.05,429963743.15,131666666.67,190000000.00,134782640.23
Sep 12 2030,APT,886413050.05,886413050.05,429963743.15,131666666.67,190000000.00,134782640.23
Sep 08 2030,APT,881869572.04,881869572.04,426753598.48,130333333.33,190000000.00,134782640.23
Sep 04 2030,APT,881869572.04,881869572.04,426753598.48,130333333.33,190000000.00,134782640.23
Aug 31 2030,APT,881869572.04,881869572.04,426753598.48,130333333.33,190000000.00,134782640.23
Aug 27 2030,APT,881869572.04,881869572.04,426753598.48,130333333.33,190000000.00,134782640.23
Aug 23 2030,APT,881869572.04,881869572.04,426753598.48,130333333.33,190000000.00,134782640.23
Aug 19 2030,APT,881869572.04,881869572.04,426753598.48,130333333.33,190000000.00,134782640.23
Aug 14 2030,APT,881869572.04,881869572.04,426753598.48,130333333.33,190000000.00,134782640.23
Aug 10 2030,APT,877326094.05,877326094.05,423543453.82,129000000.00,190000000.00,134782640.23
Aug 06 2030,APT,877326094.05,877326094.05,423543453.82,129000000.00,190000000.00,134782640.23
Aug 02 2030,APT,877326094.05,877326094.05,423543453.82,129000000.00,190000000.00,134782640.23
Jul 29 2030,APT,877326094.05,877326094.05,423543453.82,129000000.00,190000000.00,134782640.23
Jul 25 2030,APT,877326094.05,877326094.05,423543453.82,129000000.00,190000000.00,134782640.23
Jul 21 2030,APT,877326094.05,877326094.05,423543453.82,129000000.00,190000000.00,134782640.23
Jul 17 2030,APT,877326094.05,877326094.05,423543453.82,129000000.00,190000000.00,134782640.23
Jul 13 2030,APT,877326094.05,877326094.05,423543453.82,129000000.00,190000000.00,134782640.23
Jul 09 2030,APT,872782616.05,872782616.05,420333309.15,127666666.67,190000000.00,134782640.23
Jul 05 2030,APT,872782616.05,872782616.05,420333309.15,127666666.67,190000000.00,134782640.23
Jun 30 2030,APT,872782616.05,872782616.05,420333309.15,127666666.67,190000000.00,134782640.23
Jun 26 2030,APT,872782616.05,872782616.05,420333309.15,127666666.67,190000000.00,134782640.23
Jun 22 2030,APT,872782616.05,872782616.05,420333309.15,127666666.67,190000000.00,134782640.23
Jun 18 2030,APT,872782616.05,872782616.05,420333309.15,127666666.67,190000000.00,134782640.23
Jun 14 2030,APT,872782616.05,872782616.05,420333309.15,127666666.67,190000000.00,134782640.23
Jun 10 2030,APT,868239138.05,868239138.05,417123164.49,126333333.33,190000000.00,134782640.23
Jun 06 2030,APT,868239138.05,868239138.05,417123164.49,126333333.33,190000000.00,134782640.23
Jun 02 2030,APT,868239138.05,868239138.05,417123164.49,126333333.33,190000000.00,134782640.23
May 29 2030,APT,868239138.05,868239138.05,417123164.49,126333333.33,190000000.00,134782640.23
May 25 2030,APT,868239138.05,868239138.05,417123164.49,126333333.33,190000000.00,134782640.23
May 20 2030,APT,868239138.05,868239138.05,417123164.49,126333333.33,190000000.00,134782640.23
May 16 2030,APT,868239138.05,868239138.05,417123164.49,126333333.33,190000000.00,134782640.23
May 12 2030,APT,868239138.05,868239138.05,417123164.49,126333333.33,190000000.00,134782640.23
May 08 2030,APT,863695660.06,863695660.06,413913019.83,125000000.00,190000000.00,134782640.23
May 04 2030,APT,863695660.06,863695660.06,413913019.83,125000000.00,190000000.00,134782640.23
Apr 30 2030,APT,863695660.06,863695660.06,413913019.83,125000000.00,190000000.00,134782640.23
Apr 26 2030,APT,863695660.06,863695660.06,413913019.83,125000000.00,190000000.00,134782640.23
Apr 22 2030,APT,863695660.06,863695660.06,413913019.83,125000000.00,190000000.00,134782640.23
Apr 18 2030,APT,863695660.06,863695660.06,413913019.83,125000000.00,190000000.00,134782640.23
Apr 14 2030,APT,863695660.06,863695660.06,413913019.83,125000000.00,190000000.00,134782640.23
Apr 09 2030,APT,859152182.06,859152182.06,410702875.16,123666666.67,190000000.00,134782640.23
Apr 05 2030,APT,859152182.06,859152182.06,410702875.16,123666666.67,190000000.00,134782640.23
Apr 01 2030,APT,859152182.06,859152182.06,410702875.16,123666666.67,190000000.00,134782640.23
Mar 28 2030,APT,859152182.06,859152182.06,410702875.16,123666666.67,190000000.00,134782640.23
Mar 24 2030,APT,859152182.06,859152182.06,410702875.16,123666666.67,190000000.00,134782640.23
Mar 20 2030,APT,859152182.06,859152182.06,410702875.16,123666666.67,190000000.00,134782640.23
Mar 16 2030,APT,859152182.06,859152182.06,410702875.16,123666666.67,190000000.00,134782640.23
Mar 12 2030,APT,859152182.06,859152182.06,410702875.16,123666666.67,190000000.00,134782640.23
Mar 08 2030,APT,854608704.06,854608704.06,407492730.50,122333333.33,190000000.00,134782640.23
Mar 04 2030,APT,854608704.06,854608704.06,407492730.50,122333333.33,190000000.00,134782640.23
Feb 28 2030,APT,854608704.06,854608704.06,407492730.50,122333333.33,190000000.00,134782640.23
Feb 23 2030,APT,854608704.06,854608704.06,407492730.50,122333333.33,190000000.00,134782640.23
Feb 19 2030,APT,854608704.06,854608704.06,407492730.50,122333333.33,190000000.00,134782640.23
Feb 15 2030,APT,854608704.06,854608704.06,407492730.50,122333333.33,190000000.00,134782640.23
Feb 11 2030,APT,854608704.06,854608704.06,407492730.50,122333333.33,190000000.00,134782640.23
Feb 07 2030,APT,850065226.06,850065226.06,404282585.83,121000000.00,190000000.00,134782640.23
Feb 03 2030,APT,850065226.06,850065226.06,404282585.83,121000000.00,190000000.00,134782640.23
Jan 30 2030,APT,850065226.06,850065226.06,404282585.83,121000000.00,190000000.00,134782640.23
Jan 26 2030,APT,850065226.06,850065226.06,404282585.83,121000000.00,190000000.00,134782640.23
Jan 22 2030,APT,850065226.06,850065226.06,404282585.83,121000000.00,190000000.00,134782640.23
Jan 18 2030,APT,850065226.06,850065226.06,404282585.83,121000000.00,190000000.00,134782640.23
Jan 13 2030,APT,850065226.06,850065226.06,404282585.83,121000000.00,190000000.00,134782640.23
Jan 09 2030,APT,845521748.07,845521748.07,401072441.17,119666666.67,190000000.00,134782640.23
Jan 05 2030,APT,845521748.07,845521748.07,401072441.17,119666666.67,190000000.00,134782640.23
Jan 01 2030,APT,845521748.07,845521748.07,401072441.17,119666666.67,190000000.00,134782640.23
Dec 28 2029,APT,845521748.07,845521748.07,401072441.17,119666666.67,190000000.00,134782640.23
Dec 24 2029,APT,845521748.07,845521748.07,401072441.17,119666666.67,190000000.00,134782640.23
Dec 20 2029,APT,845521748.07,845521748.07,401072441.17,119666666.67,190000000.00,134782640.23
Dec 16 2029,APT,845521748.07,845521748.07,401072441.17,119666666.67,190000000.00,134782640.23
Dec 12 2029,APT,845521748.07,845521748.07,401072441.17,119666666.67,190000000.00,134782640.23
Dec 08 2029,APT,840978270.06,840978270.06,397862296.50,118333333.33,190000000.00,134782640.23
Dec 03 2029,APT,840978270.06,840978270.06,397862296.50,118333333.33,190000000.00,134782640.23
Nov 29 2029,APT,840978270.06,840978270.06,397862296.50,118333333.33,190000000.00,134782640.23
Nov 25 2029,APT,840978270.06,840978270.06,397862296.50,118333333.33,190000000.00,134782640.23
Nov 21 2029,APT,840978270.06,840978270.06,397862296.50,118333333.33,190000000.00,134782640.23
Nov 17 2029,APT,840978270.06,840978270.06,397862296.50,118333333.33,190000000.00,134782640.23
Nov 13 2029,APT,840978270.06,840978270.06,397862296.50,118333333.33,190000000.00,134782640.23
Nov 09 2029,APT,836434792.07,836434792.07,394652151.84,117000000.00,190000000.00,134782640.23
Nov 05 2029,APT,836434792.07,836434792.07,394652151.84,117000000.00,190000000.00,134782640.23
Nov 01 2029,APT,836434792.07,836434792.07,394652151.84,117000000.00,190000000.00,134782640.23
Oct 28 2029,APT,836434792.07,836434792.07,394652151.84,117000000.00,190000000.00,134782640.23
Oct 24 2029,APT,836434792.07,836434792.07,394652151.84,117000000.00,190000000.00,134782640.23
Oct 19 2029,APT,836434792.07,836434792.07,394652151.84,117000000.00,190000000.00,134782640.23
Oct 15 2029,APT,836434792.07,836434792.07,394652151.84,117000000.00,190000000.00,134782640.23
Oct 11 2029,APT,836434792.07,836434792.07,394652151.84,117000000.00,190000000.00,134782640.23
Oct 07 2029,APT,831891314.07,831891314.07,391442007.17,115666666.67,190000000.00,134782640.23
Oct 03 2029,APT,831891314.07,831891314.07,391442007.17,115666666.67,190000000.00,134782640.23
Sep 29 2029,APT,831891314.07,831891314.07,391442007.17,115666666.67,190000000.00,134782640.23
Sep 25 2029,APT,831891314.07,831891314.07,391442007.17,115666666.67,190000000.00,134782640.23
Sep 21 2029,APT,831891314.07,831891314.07,391442007.17,115666666.67,190000000.00,134782640.23
Sep 17 2029,APT,831891314.07,831891314.07,391442007.17,115666666.67,190000000.00,134782640.23
Sep 13 2029,APT,831891314.07,831891314.07,391442007.17,115666666.67,190000000.00,134782640.23
Sep 08 2029,APT,827347836.07,827347836.07,388231862.51,114333333.33,190000000.00,134782640.23
Sep 04 2029,APT,827347836.07,827347836.07,388231862.51,114333333.33,190000000.00,134782640.23
Aug 31 2029,APT,827347836.07,827347836.07,388231862.51,114333333.33,190000000.00,134782640.23
Aug 27 2029,APT,827347836.07,827347836.07,388231862.51,114333333.33,190000000.00,134782640.23
Aug 23 2029,APT,827347836.07,827347836.07,388231862.51,114333333.33,190000000.00,134782640.23
Aug 19 2029,APT,827347836.07,827347836.07,388231862.51,114333333.33,190000000.00,134782640.23
Aug 15 2029,APT,827347836.07,827347836.07,388231862.51,114333333.33,190000000.00,134782640.23
Aug 11 2029,APT,827347836.07,827347836.07,388231862.51,114333333.33,190000000.00,134782640.23
Aug 07 2029,APT,822804358.07,822804358.07,385021717.84,113000000.00,190000000.00,134782640.23
Aug 03 2029,APT,822804358.07,822804358.07,385021717.84,113000000.00,190000000.00,134782640.23
Jul 29 2029,APT,822804358.07,822804358.07,385021717.84,113000000.00,190000000.00,134782640.23
Jul 25 2029,APT,822804358.07,822804358.07,385021717.84,113000000.00,190000000.00,134782640.23
Jul 21 2029,APT,822804358.07,822804358.07,385021717.84,113000000.00,190000000.00,134782640.23
Jul 17 2029,APT,822804358.07,822804358.07,385021717.84,113000000.00,190000000.00,134782640.23
Jul 13 2029,APT,822804358.07,822804358.07,385021717.84,113000000.00,190000000.00,134782640.23
