Date,Symbol,Available Supply,Unlocked Supply,Decentraland DAO,Decentraland Foundation,Team,Crowdsale
Feb 08 2030,MANA,1937575660.62,1937575660.62,220998359.31,220998359.31,375578942.00,1120000000.00
Feb 03 2030,MANA,1936968605.66,1936968605.66,220694831.83,220694831.83,375578942.00,1120000000.00
Jan 29 2030,MANA,1936361550.70,1936361550.70,220391304.35,220391304.35,375578942.00,1120000000.00
Jan 24 2030,MANA,1935754495.73,1935754495.73,220087776.87,220087776.87,375578942.00,1120000000.00
Jan 18 2030,MANA,1935026029.78,1935026029.78,219723543.89,219723543.89,375578942.00,1120000000.00
Jan 13 2030,MANA,1934418974.81,1934418974.81,219420016.41,219420016.41,375578942.00,1120000000.00
Jan 08 2030,MANA,1933811919.85,1933811919.85,219116488.93,219116488.93,375578942.00,1120000000.00
Jan 03 2030,MANA,1933204864.89,1933204864.89,218812961.44,218812961.44,375578942.00,1120000000.00
Dec 28 2029,MANA,1932476398.93,1932476398.93,218448728.47,218448728.47,375578942.00,1120000000.00
Dec 23 2029,MANA,1931869343.97,1931869343.97,218145200.98,218145200.98,375578942.00,1120000000.00
Dec 18 2029,MANA,1931262289.01,1931262289.01,217841673.50,217841673.50,375578942.00,1120000000.00
Dec 13 2029,MANA,1930655234.04,1930655234.04,217538146.02,217538146.02,375578942.00,1120000000.00
Dec 08 2029,MANA,1930048179.08,1930048179.08,217234618.54,217234618.54,375578942.00,1120000000.00
Dec 02 2029,MANA,1929319713.12,1929319713.12,216870385.56,216870385.56,375578942.00,1120000000.00
Nov 27 2029,MANA,1928712658.16,1928712658.16,216566858.08,216566858.08,375578942.00,1120000000.00
Nov 22 2029,MANA,1928105603.20,1928105603.20,216263330.60,216263330.60,375578942.00,1120000000.00
Nov 17 2029,MANA,1927498548.23,1927498548.23,215959803.12,215959803.12,375578942.00,1120000000.00
Nov 11 2029,MANA,1926770082.28,1926770082.28,215595570.14,215595570.14,375578942.00,1120000000.00
Nov 06 2029,MANA,1926163027.32,1926163027.32,215292042.66,215292042.66,375578942.00,1120000000.00
Nov 01 2029,MANA,1925555972.35,1925555972.35,214988515.18,214988515.18,375578942.00,1120000000.00
Oct 27 2029,MANA,1924948917.39,1924948917.39,214684987.69,214684987.69,375578942.00,1120000000.00
Oct 21 2029,MANA,1924220451.43,1924220451.43,214320754.72,214320754.72,375578942.00,1120000000.00
Oct 16 2029,MANA,1923613396.47,1923613396.47,214017227.24,214017227.24,375578942.00,1120000000.00
Oct 11 2029,MANA,1923006341.51,1923006341.51,213713699.75,213713699.75,375578942.00,1120000000.00
Oct 06 2029,MANA,1922399286.54,1922399286.54,213410172.27,213410172.27,375578942.00,1120000000.00
Sep 30 2029,MANA,1921670820.59,1921670820.59,213045939.29,213045939.29,375578942.00,1120000000.00
Sep 25 2029,MANA,1921063765.63,1921063765.63,212742411.81,212742411.81,375578942.00,1120000000.00
Sep 20 2029,MANA,1920456710.66,1920456710.66,212438884.33,212438884.33,375578942.00,1120000000.00
Sep 15 2029,MANA,1919849655.70,1919849655.70,212135356.85,212135356.85,375578942.00,1120000000.00
Sep 10 2029,MANA,1919242600.74,1919242600.74,211831829.37,211831829.37,375578942.00,1120000000.00
Sep 04 2029,MANA,1918514134.78,1918514134.78,211467596.39,211467596.39,375578942.00,1120000000.00
Aug 30 2029,MANA,1917907079.82,1917907079.82,211164068.91,211164068.91,375578942.00,1120000000.00
Aug 25 2029,MANA,1917300024.85,1917300024.85,210860541.43,210860541.43,375578942.00,1120000000.00
Aug 20 2029,MANA,1916692969.89,1916692969.89,210557013.95,210557013.95,375578942.00,1120000000.00
Aug 14 2029,MANA,1915964503.94,1915964503.94,210192780.97,210192780.97,375578942.00,1120000000.00
Aug 09 2029,MANA,1915357448.97,1915357448.97,209889253.49,209889253.49,375578942.00,1120000000.00
Aug 04 2029,MANA,1914750394.01,1914750394.01,209585726.00,209585726.00,375578942.00,1120000000.00
Jul 30 2029,MANA,1914143339.05,1914143339.05,209282198.52,209282198.52,375578942.00,1120000000.00
Jul 24 2029,MANA,1913414873.09,1913414873.09,208917965.55,208917965.55,375578942.00,1120000000.00
Jul 19 2029,MANA,1912807818.13,1912807818.13,208614438.06,208614438.06,375578942.00,1120000000.00
Jul 14 2029,MANA,1912200763.16,1912200763.16,208310910.58,208310910.58,375578942.00,1120000000.00
Jul 09 2029,MANA,1911593708.20,1911593708.20,208007383.10,208007383.10,375578942.00,1120000000.00
Jul 04 2029,MANA,1910986653.24,1910986653.24,207703855.62,207703855.62,375578942.00,1120000000.00
Jun 28 2029,MANA,1910258187.28,1910258187.28,207339622.64,207339622.64,375578942.00,1120000000.00
Jun 23 2029,MANA,1909651132.32,1909651132.32,207036095.16,207036095.16,375578942.00,1120000000.00
Jun 18 2029,MANA,1909044077.36,1909044077.36,206732567.68,206732567.68,375578942.00,1120000000.00
Jun 13 2029,MANA,1908437022.39,1908437022.39,206429040.20,206429040.20,375578942.00,1120000000.00
Jun 07 2029,MANA,1907708556.44,1907708556.44,206064807.22,206064807.22,375578942.00,1120000000.00
Jun 02 2029,MANA,1907101501.47,1907101501.47,205761279.74,205761279.74,375578942.00,1120000000.00
May 28 2029,MANA,1906494446.51,1906494446.51,205457752.26,205457752.26,375578942.00,1120000000.00
May 23 2029,MANA,1905887391.55,1905887391.55,205154224.77,205154224.77,375578942.00,1120000000.00
May 17 2029,MANA,1905158925.59,1905158925.59,204789991.80,204789991.80,375578942.00,1120000000.00
May 12 2029,MANA,1904551870.63,1904551870.63,204486464.32,204486464.32,375578942.00,1120000000.00
