Date,Symbol,Available Supply,Unlocked Supply,Team,Investors,Reserve,Ecosystem,Binance Launchpool,Community,DAC and Nodes
Oct 09 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Oct 07 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Oct 06 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Oct 04 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Oct 03 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Oct 01 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Sep 30 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Sep 28 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Sep 27 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Sep 25 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Sep 24 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Sep 22 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Sep 21 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Sep 19 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Sep 17 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Sep 16 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Sep 14 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Sep 13 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Sep 11 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Sep 10 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Sep 08 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Sep 07 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Sep 05 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Sep 04 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Sep 02 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Sep 01 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Aug 30 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Aug 29 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Aug 27 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Aug 25 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Aug 24 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Aug 22 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Aug 21 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Aug 19 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Aug 18 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
Aug 16 2027,XAI,1499750000.00,1499750000.00,500000000.00,519750000.00,40500000.00,187500000.00,75000000.00,125000000.00,52000000.00
