Date,Symbol,Available Supply,Unlocked Supply,Foundation,Staking Reward,Airdrop,Strategic Partners,Team,Public Sale Option A2,Incentivized Testnet Program,Public Sale Option A1,Seed Sale,Private Sale,Community & Development Endowment,Public Sale Option B
Oct 20 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Oct 16 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Oct 12 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Oct 08 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Oct 03 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Sep 29 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Sep 25 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Sep 21 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Sep 17 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Sep 13 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Sep 09 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Sep 04 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Aug 31 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Aug 27 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Aug 23 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Aug 19 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Aug 15 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Aug 11 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Aug 06 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Aug 02 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Jul 29 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Jul 25 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Jul 21 2030,AVAX,720000000.00,720000000.00,66672000.00,360000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Jul 17 2030,AVAX,718033200.00,718033200.00,65005200.00,359700000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Jul 13 2030,AVAX,717633200.00,717633200.00,65005200.00,359300000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Jul 08 2030,AVAX,717133200.00,717133200.00,65005200.00,358800000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Jul 04 2030,AVAX,716733200.00,716733200.00,65005200.00,358400000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Jun 30 2030,AVAX,716333200.00,716333200.00,65005200.00,358000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Jun 26 2030,AVAX,715933200.00,715933200.00,65005200.00,357600000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Jun 22 2030,AVAX,715533200.00,715533200.00,65005200.00,357200000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Jun 18 2030,AVAX,715133200.00,715133200.00,65005200.00,356800000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Jun 14 2030,AVAX,714733200.00,714733200.00,65005200.00,356400000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Jun 09 2030,AVAX,714233200.00,714233200.00,65005200.00,355900000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Jun 05 2030,AVAX,713833200.00,713833200.00,65005200.00,355500000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Jun 01 2030,AVAX,713433200.00,713433200.00,65005200.00,355100000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
May 28 2030,AVAX,713033200.00,713033200.00,65005200.00,354700000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
May 24 2030,AVAX,712633200.00,712633200.00,65005200.00,354300000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
May 20 2030,AVAX,712233200.00,712233200.00,65005200.00,353900000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
May 16 2030,AVAX,711833200.00,711833200.00,65005200.00,353500000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
May 11 2030,AVAX,711333200.00,711333200.00,65005200.00,353000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
May 07 2030,AVAX,710933200.00,710933200.00,65005200.00,352600000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
May 03 2030,AVAX,710533200.00,710533200.00,65005200.00,352200000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Apr 29 2030,AVAX,710133200.00,710133200.00,65005200.00,351800000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Apr 25 2030,AVAX,709733200.00,709733200.00,65005200.00,351400000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Apr 21 2030,AVAX,709333200.00,709333200.00,65005200.00,351000000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Apr 17 2030,AVAX,707266400.00,707266400.00,63338400.00,350600000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Apr 12 2030,AVAX,706766400.00,706766400.00,63338400.00,350100000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Apr 08 2030,AVAX,706366400.00,706366400.00,63338400.00,349700000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Apr 04 2030,AVAX,705966400.00,705966400.00,63338400.00,349300000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Mar 31 2030,AVAX,705566400.00,705566400.00,63338400.00,348900000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Mar 27 2030,AVAX,705166400.00,705166400.00,63338400.00,348500000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Mar 23 2030,AVAX,704766400.00,704766400.00,63338400.00,348100000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Mar 19 2030,AVAX,704366400.00,704366400.00,63338400.00,347700000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Mar 14 2030,AVAX,703866400.00,703866400.00,63338400.00,347200000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
Mar 10 2030,AVAX,703466400.00,703466400.00,63338400.00,346800000.00,18000000.00,36000000.00,72000000.00,59760000.00,1944000.00,7200000.00,18000000.00,25200000.00,50400000.00,4824000.00
