Date,Symbol,Available Supply,Unlocked Supply,Community Issuance,Team and Advisors,Service Providers,Liquity AG Endowment,Investors,LUSD:ETH Uniswap LPs,Community Reserve
Dec 24 2035,LQTY,99998748.62,99998748.62,31998748.62,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Dec 18 2035,LQTY,99998732.61,99998732.61,31998732.61,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Dec 12 2035,LQTY,99998716.60,99998716.60,31998716.60,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Dec 05 2035,LQTY,99998697.92,99998697.92,31998697.92,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Nov 29 2035,LQTY,99998681.91,99998681.91,31998681.91,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Nov 23 2035,LQTY,99998665.90,99998665.90,31998665.90,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Nov 17 2035,LQTY,99998649.89,99998649.89,31998649.89,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Nov 10 2035,LQTY,99998631.22,99998631.22,31998631.22,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Nov 04 2035,LQTY,99998615.21,99998615.21,31998615.21,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Oct 29 2035,LQTY,99998599.20,99998599.20,31998599.20,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Oct 23 2035,LQTY,99998583.19,99998583.19,31998583.19,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Oct 16 2035,LQTY,99998564.51,99998564.51,31998564.51,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Oct 10 2035,LQTY,99998548.50,99998548.50,31998548.50,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Oct 04 2035,LQTY,99998532.49,99998532.49,31998532.49,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Sep 28 2035,LQTY,99998516.48,99998516.48,31998516.48,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Sep 21 2035,LQTY,99998497.81,99998497.81,31998497.81,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Sep 15 2035,LQTY,99998481.80,99998481.80,31998481.80,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Sep 09 2035,LQTY,99998465.79,99998465.79,31998465.79,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Sep 03 2035,LQTY,99998449.78,99998449.78,31998449.78,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Aug 27 2035,LQTY,99998431.10,99998431.10,31998431.10,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Aug 21 2035,LQTY,99998415.09,99998415.09,31998415.09,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Aug 15 2035,LQTY,99998399.08,99998399.08,31998399.08,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Aug 09 2035,LQTY,99998383.07,99998383.07,31998383.07,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Aug 02 2035,LQTY,99998364.40,99998364.40,31998364.40,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jul 27 2035,LQTY,99998348.39,99998348.39,31998348.39,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jul 21 2035,LQTY,99998332.38,99998332.38,31998332.38,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jul 15 2035,LQTY,99998316.37,99998316.37,31998316.37,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jul 08 2035,LQTY,99998297.69,99998297.69,31998297.69,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jul 02 2035,LQTY,99998281.68,99998281.68,31998281.68,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 26 2035,LQTY,99998265.67,99998265.67,31998265.67,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
Jun 20 2035,LQTY,99998249.66,99998249.66,31998249.66,23664633.00,1035367.00,6063988.00,33902679.00,1333333.00,2000000.00
