Date,Symbol,Available Supply,Unlocked Supply,Team,Advisors,Gameplay Rewards,Community & Ecosystem,Pre-Sale,Airdrop,Launch Partners / CEXs
Feb 06 2030,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Feb 04 2030,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Feb 01 2030,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Jan 30 2030,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Jan 27 2030,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Jan 25 2030,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Jan 22 2030,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Jan 20 2030,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Jan 17 2030,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Jan 15 2030,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Jan 12 2030,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Jan 10 2030,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Jan 07 2030,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Jan 05 2030,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Jan 03 2030,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Dec 31 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Dec 29 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Dec 26 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Dec 24 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Dec 21 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Dec 19 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Dec 16 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Dec 14 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Dec 11 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Dec 09 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Dec 06 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Dec 04 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Dec 02 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Nov 29 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Nov 27 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Nov 24 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Nov 22 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Nov 19 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Nov 17 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Nov 14 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Nov 12 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Nov 09 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Nov 07 2029,MAVIA,250000000.00,250000000.00,55000000.00,7500000.00,25000000.00,110000000.00,37500000.00,8750000.00,6250000.00
Nov 05 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Nov 02 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Oct 31 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Oct 28 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Oct 26 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Oct 23 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Oct 21 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Oct 18 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Oct 16 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Oct 13 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Oct 11 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Oct 08 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Oct 06 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Oct 04 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Oct 01 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Sep 29 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Sep 26 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Sep 24 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Sep 21 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Sep 19 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Sep 16 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Sep 14 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Sep 11 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Sep 09 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Sep 06 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Sep 04 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Sep 02 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Aug 30 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Aug 28 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Aug 25 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Aug 23 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Aug 20 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Aug 18 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Aug 15 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Aug 13 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Aug 10 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Aug 08 2029,MAVIA,241832981.00,241832981.00,52500000.00,7159089.00,24021720.00,105652172.00,37500000.00,8750000.00,6250000.00
Aug 05 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
Aug 03 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
Aug 01 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
Jul 29 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
Jul 27 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
Jul 24 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
Jul 22 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
Jul 19 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
Jul 17 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
Jul 14 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
Jul 12 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
Jul 09 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
Jul 07 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
Jul 05 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
Jul 02 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
Jun 30 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
Jun 27 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
Jun 25 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
Jun 22 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
Jun 20 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
Jun 17 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
Jun 15 2029,MAVIA,233665986.00,233665986.00,50000000.00,6818180.00,23043460.00,101304346.00,37500000.00,8750000.00,6250000.00
