Date,Symbol,Available Supply,Unlocked Supply,Team Managed Wallets (TBD),Team Managed Wallets,Public Token Sale
Oct 30 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Oct 27 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Oct 23 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Oct 20 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Oct 17 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Oct 13 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Oct 10 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Oct 07 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Oct 03 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Sep 30 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Sep 27 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Sep 23 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Sep 20 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Sep 17 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Sep 13 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Sep 10 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Sep 07 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Sep 03 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 31 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 28 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 24 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 21 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 18 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 14 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 11 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 08 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 04 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Aug 01 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 29 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 25 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 22 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 19 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 15 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 12 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 09 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 05 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jul 02 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 29 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 26 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 22 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 19 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 16 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 12 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
Jun 09 2025,LINK,1000000000.00,556850000.00,443150000.00,206850000.00,350000000.00
