Date,Symbol,Available Supply,Unlocked Supply,Treasury & Ecosystem,Development & Team,Presale,NFT Staking,Staking Reward,Liquidity Management,Airdrop
May 22 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 21 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 20 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 19 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 18 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 17 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 16 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 15 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 14 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 13 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 12 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 11 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 10 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 10 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 09 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 08 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 07 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 06 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 05 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 04 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 03 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 02 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
May 01 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 30 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 29 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 28 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 27 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 26 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 25 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 24 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 23 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 22 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 21 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
Apr 20 2024,X2Y2,999930000.00,999930000.00,100000000.00,100000000.00,15000000.00,449930000.00,200000000.00,15000000.00,120000000.00
