Date,Symbol,Available Supply,Unlocked Supply,Team and Future Employees,Private Investors,Public Sale,Community Development
Apr 01 2025,GEL,407972060.22,407972060.22,92454560.22,88344900.00,16827600.00,210345000.00
Mar 30 2025,GEL,407818523.72,407818523.72,92301023.72,88344900.00,16827600.00,210345000.00
Mar 28 2025,GEL,407664987.23,407664987.23,92147487.23,88344900.00,16827600.00,210345000.00
Mar 27 2025,GEL,407588218.98,407588218.98,92070718.98,88344900.00,16827600.00,210345000.00
Mar 25 2025,GEL,407434682.48,407434682.48,91917182.48,88344900.00,16827600.00,210345000.00
Mar 23 2025,GEL,407281145.99,407281145.99,91763645.99,88344900.00,16827600.00,210345000.00
Mar 21 2025,GEL,407127609.49,407127609.49,91610109.49,88344900.00,16827600.00,210345000.00
Mar 20 2025,GEL,407050841.24,407050841.24,91533341.24,88344900.00,16827600.00,210345000.00
Mar 18 2025,GEL,406897304.74,406897304.74,91379804.74,88344900.00,16827600.00,210345000.00
Mar 16 2025,GEL,406743768.25,406743768.25,91226268.25,88344900.00,16827600.00,210345000.00
Mar 15 2025,GEL,406667000.00,406667000.00,91149500.00,88344900.00,16827600.00,210345000.00
Mar 13 2025,GEL,406513463.50,406513463.50,90995963.50,88344900.00,16827600.00,210345000.00
Mar 11 2025,GEL,406359927.01,406359927.01,90842427.01,88344900.00,16827600.00,210345000.00
Mar 09 2025,GEL,406206390.51,406206390.51,90688890.51,88344900.00,16827600.00,210345000.00
Mar 08 2025,GEL,406129622.26,406129622.26,90612122.26,88344900.00,16827600.00,210345000.00
Mar 06 2025,GEL,405976085.77,405976085.77,90458585.77,88344900.00,16827600.00,210345000.00
Mar 04 2025,GEL,405822549.27,405822549.27,90305049.27,88344900.00,16827600.00,210345000.00
Mar 02 2025,GEL,405669012.77,405669012.77,90151512.77,88344900.00,16827600.00,210345000.00
Mar 01 2025,GEL,405592244.53,405592244.53,90074744.53,88344900.00,16827600.00,210345000.00
Feb 27 2025,GEL,405438708.03,405438708.03,89921208.03,88344900.00,16827600.00,210345000.00
Feb 25 2025,GEL,405285171.53,405285171.53,89767671.53,88344900.00,16827600.00,210345000.00
Feb 23 2025,GEL,405131635.04,405131635.04,89614135.04,88344900.00,16827600.00,210345000.00
Feb 22 2025,GEL,405054866.79,405054866.79,89537366.79,88344900.00,16827600.00,210345000.00
Feb 20 2025,GEL,404901330.29,404901330.29,89383830.29,88344900.00,16827600.00,210345000.00
Feb 18 2025,GEL,404747793.80,404747793.80,89230293.80,88344900.00,16827600.00,210345000.00
Feb 16 2025,GEL,404594257.30,404594257.30,89076757.30,88344900.00,16827600.00,210345000.00
Feb 15 2025,GEL,404517489.05,404517489.05,88999989.05,88344900.00,16827600.00,210345000.00
Feb 13 2025,GEL,404363952.55,404363952.55,88846452.55,88344900.00,16827600.00,210345000.00
Feb 11 2025,GEL,404210416.06,404210416.06,88692916.06,88344900.00,16827600.00,210345000.00
Feb 09 2025,GEL,404056879.56,404056879.56,88539379.56,88344900.00,16827600.00,210345000.00
Feb 08 2025,GEL,403980111.31,403980111.31,88462611.31,88344900.00,16827600.00,210345000.00
Feb 06 2025,GEL,403826574.82,403826574.82,88309074.82,88344900.00,16827600.00,210345000.00
Feb 04 2025,GEL,403673038.32,403673038.32,88155538.32,88344900.00,16827600.00,210345000.00
Feb 02 2025,GEL,403519501.82,403519501.82,88002001.82,88344900.00,16827600.00,210345000.00
Feb 01 2025,GEL,403442733.58,403442733.58,87925233.58,88344900.00,16827600.00,210345000.00
Jan 30 2025,GEL,403289197.08,403289197.08,87771697.08,88344900.00,16827600.00,210345000.00
Jan 28 2025,GEL,403135660.58,403135660.58,87618160.58,88344900.00,16827600.00,210345000.00
