Date,Symbol,Available Supply,Unlocked Supply,TFH Reserve,TFH Investors,Initial Development Team,Worldcoin Community
Oct 24 2038,WLD,10000000000.00,10000000000.00,200000000.00,950000000.00,1350000000.00,7500000000.00
Oct 18 2038,WLD,10000000000.00,10000000000.00,200000000.00,950000000.00,1350000000.00,7500000000.00
Oct 11 2038,WLD,10000000000.00,10000000000.00,200000000.00,950000000.00,1350000000.00,7500000000.00
Oct 05 2038,WLD,10000000000.00,10000000000.00,200000000.00,950000000.00,1350000000.00,7500000000.00
Sep 29 2038,WLD,10000000000.00,10000000000.00,200000000.00,950000000.00,1350000000.00,7500000000.00
Sep 23 2038,WLD,10000000000.00,10000000000.00,200000000.00,950000000.00,1350000000.00,7500000000.00
Sep 16 2038,WLD,10000000000.00,10000000000.00,200000000.00,950000000.00,1350000000.00,7500000000.00
Sep 10 2038,WLD,10000000000.00,10000000000.00,200000000.00,950000000.00,1350000000.00,7500000000.00
Sep 04 2038,WLD,10000000000.00,10000000000.00,200000000.00,950000000.00,1350000000.00,7500000000.00
Aug 29 2038,WLD,10000000000.00,10000000000.00,200000000.00,950000000.00,1350000000.00,7500000000.00
Aug 22 2038,WLD,10000000000.00,10000000000.00,200000000.00,950000000.00,1350000000.00,7500000000.00
Aug 16 2038,WLD,10000000000.00,10000000000.00,200000000.00,950000000.00,1350000000.00,7500000000.00
Aug 10 2038,WLD,10000000000.00,10000000000.00,200000000.00,950000000.00,1350000000.00,7500000000.00
Aug 04 2038,WLD,10000000000.00,10000000000.00,200000000.00,950000000.00,1350000000.00,7500000000.00
Jul 28 2038,WLD,10000000000.00,10000000000.00,200000000.00,950000000.00,1350000000.00,7500000000.00
Jul 22 2038,WLD,9999201277.96,9999201277.96,200000000.00,950000000.00,1350000000.00,7499201277.96
Jul 16 2038,WLD,9996805111.82,9996805111.82,200000000.00,950000000.00,1350000000.00,7496805111.82
Jul 10 2038,WLD,9994408945.69,9994408945.69,200000000.00,950000000.00,1350000000.00,7494408945.69
Jul 03 2038,WLD,9991613418.53,9991613418.53,200000000.00,950000000.00,1350000000.00,7491613418.53
Jun 27 2038,WLD,9989217252.40,9989217252.40,200000000.00,950000000.00,1350000000.00,7489217252.40
Jun 21 2038,WLD,9986821086.26,9986821086.26,200000000.00,950000000.00,1350000000.00,7486821086.26
Jun 15 2038,WLD,9984424920.13,9984424920.13,200000000.00,950000000.00,1350000000.00,7484424920.13
Jun 08 2038,WLD,9981629392.97,9981629392.97,200000000.00,950000000.00,1350000000.00,7481629392.97
Jun 02 2038,WLD,9979233226.84,9979233226.84,200000000.00,950000000.00,1350000000.00,7479233226.84
May 27 2038,WLD,9976837060.70,9976837060.70,200000000.00,950000000.00,1350000000.00,7476837060.70
May 21 2038,WLD,9974440894.57,9974440894.57,200000000.00,950000000.00,1350000000.00,7474440894.57
May 14 2038,WLD,9971645367.41,9971645367.41,200000000.00,950000000.00,1350000000.00,7471645367.41
May 08 2038,WLD,9969249201.28,9969249201.28,200000000.00,950000000.00,1350000000.00,7469249201.28
May 02 2038,WLD,9966853035.14,9966853035.14,200000000.00,950000000.00,1350000000.00,7466853035.14
Apr 26 2038,WLD,9964456869.01,9964456869.01,200000000.00,950000000.00,1350000000.00,7464456869.01
Apr 19 2038,WLD,9961661341.85,9961661341.85,200000000.00,950000000.00,1350000000.00,7461661341.85
Apr 13 2038,WLD,9959265175.72,9959265175.72,200000000.00,950000000.00,1350000000.00,7459265175.72
Apr 07 2038,WLD,9956869009.59,9956869009.59,200000000.00,950000000.00,1350000000.00,7456869009.59
Apr 01 2038,WLD,9954472843.45,9954472843.45,200000000.00,950000000.00,1350000000.00,7454472843.45
Mar 25 2038,WLD,9951677316.29,9951677316.29,200000000.00,950000000.00,1350000000.00,7451677316.29
Mar 19 2038,WLD,9949281150.16,9949281150.16,200000000.00,950000000.00,1350000000.00,7449281150.16
Mar 13 2038,WLD,9946884984.03,9946884984.03,200000000.00,950000000.00,1350000000.00,7446884984.03
Mar 07 2038,WLD,9944488817.89,9944488817.89,200000000.00,950000000.00,1350000000.00,7444488817.89
Feb 28 2038,WLD,9941693290.74,9941693290.74,200000000.00,950000000.00,1350000000.00,7441693290.74
Feb 22 2038,WLD,9939297124.60,9939297124.60,200000000.00,950000000.00,1350000000.00,7439297124.60
Feb 16 2038,WLD,9936900958.47,9936900958.47,200000000.00,950000000.00,1350000000.00,7436900958.47
Feb 10 2038,WLD,9934504792.33,9934504792.33,200000000.00,950000000.00,1350000000.00,7434504792.33
Feb 03 2038,WLD,9931709265.18,9931709265.18,200000000.00,950000000.00,1350000000.00,7431709265.18
Jan 28 2038,WLD,9929313099.04,9929313099.04,200000000.00,950000000.00,1350000000.00,7429313099.04
Jan 22 2038,WLD,9926916932.91,9926916932.91,200000000.00,950000000.00,1350000000.00,7426916932.91
Jan 16 2038,WLD,9924520766.77,9924520766.77,200000000.00,950000000.00,1350000000.00,7424520766.77
Jan 09 2038,WLD,9921725239.62,9921725239.62,200000000.00,950000000.00,1350000000.00,7421725239.62
