Date,Symbol,Available Supply,Unlocked Supply,Public Sale,Participation Rewards,End User Grant,Node Running Grant,Foundation,Team and Investors
Sep 19 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 17 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 15 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 13 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 10 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 08 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 06 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 04 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 02 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Aug 31 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Aug 28 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Aug 26 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Aug 24 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Aug 22 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Aug 20 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Aug 18 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Aug 16 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Aug 13 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Aug 11 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Aug 09 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Aug 07 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Aug 05 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Aug 03 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Jul 31 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Jul 29 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Jul 27 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Jul 25 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Jul 23 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Jul 21 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Jul 19 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Jul 16 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Jul 14 2024,ALGO,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
