Date,Symbol,Available Supply,Unlocked Supply,Private Sale Investors,Team,Foundation,Ecosystem Reserve,Binance Launchpool
Nov 15 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 12 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 09 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 06 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Nov 03 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 31 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 28 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 25 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 22 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 19 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 16 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 13 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 10 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 07 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 04 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Oct 01 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Sep 28 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Sep 25 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Sep 22 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Sep 20 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Sep 17 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Sep 14 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Sep 11 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Sep 08 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Sep 05 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
Sep 02 2030,SEI,9437000000.00,9437000000.00,2000000000.00,2000000000.00,900000000.00,4237000000.00,300000000.00
