Date,Symbol,Available Supply,Unlocked Supply,AGIX-ADA Utility,Campaign Supporters,SingularityNET Foundation,Founders,Reward Pool,Token Sale
Apr 28 2047,AGIX,1991178546.60,1991178546.60,991178546.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 17 2047,AGIX,1991044209.70,1991044209.70,991044209.70,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Apr 06 2047,AGIX,1991044209.70,1991044209.70,991044209.70,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Mar 25 2047,AGIX,1990907827.10,1990907827.10,990907827.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Mar 14 2047,AGIX,1990907827.10,1990907827.10,990907827.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Mar 03 2047,AGIX,1990907827.10,1990907827.10,990907827.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Feb 20 2047,AGIX,1990769367.60,1990769367.60,990769367.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Feb 08 2047,AGIX,1990769367.60,1990769367.60,990769367.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jan 28 2047,AGIX,1990769367.60,1990769367.60,990769367.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jan 17 2047,AGIX,1990628799.60,1990628799.60,990628799.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Jan 06 2047,AGIX,1990628799.60,1990628799.60,990628799.60,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Dec 26 2046,AGIX,1990486091.00,1990486091.00,990486091.00,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Dec 14 2046,AGIX,1990486091.00,1990486091.00,990486091.00,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Dec 03 2046,AGIX,1990486091.00,1990486091.00,990486091.00,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Nov 22 2046,AGIX,1990341209.10,1990341209.10,990341209.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Nov 11 2046,AGIX,1990341209.10,1990341209.10,990341209.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Oct 30 2046,AGIX,1990341209.10,1990341209.10,990341209.10,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Oct 19 2046,AGIX,1990194120.90,1990194120.90,990194120.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Oct 08 2046,AGIX,1990194120.90,1990194120.90,990194120.90,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Sep 27 2046,AGIX,1990044792.80,1990044792.80,990044792.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Sep 16 2046,AGIX,1990044792.80,1990044792.80,990044792.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Sep 04 2046,AGIX,1990044792.80,1990044792.80,990044792.80,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Aug 24 2046,AGIX,1989893190.70,1989893190.70,989893190.70,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
Aug 13 2046,AGIX,1989893190.70,1989893190.70,989893190.70,40000000.00,80000000.00,180000000.00,200000000.00,500000000.00
