Project,Symbol,linear_amount,cliff_amount,tge_amount,total_amount
celestia_featurized,TIA,356440000.0,175560000.0,0.0,532000000.0
galxe_featurized,GAL,0.0,80072000.0,3928000.0,84000000.0
fantom_featurized,FTM,0.0,616875000.0,853125000.0,1470000000.0
rocket-pool_featurized,RPL,0.0,0.0,12420000.0,12420000.0
oec-token_featurized,OKT,0.0,0.0,0.0,0.0
avalanche-2_featurized,AVAX,0.0,104400000.0,10800000.0,115200000.0
pooltogether_featurized,POOL,1996000.0,0.0,0.0,1996000.0
pixels_featurized,PIXEL,0.0,1725000000.0,75000000.0,1800000000.0
beam-2_featurized,BEAM,34062500000.0,0.0,0.0,34062500000.0
mantle_featurized,MNT,0.0,0.0,0.0,0.0
sei-network_featurized,SEI,4000000000.0,0.0,0.0,4000000000.0
polygon-ecosystem-token_featurized,POL,0.0,0.0,0.0,0.0
gala_featurized,GALA,0.0,0.0,0.0,0.0
ribbon-finance_featurized,RBN,253333333.0,126666667.0,0.0,380000000.0
xai-blockchain_featurized,XAI,0.0,1019750000.0,0.0,1019750000.0
aave_featurized,AAVE,0.0,0.0,0.0,0.0
euler_featurized,EUL,12640011.0,0.0,0.0,12640011.0
stakewise_featurized,SWISE,468500000.0,0.0,21500000.0,490000000.0
aevo-exchange_featurized,AEVO,26990800.0,388009200.0,0.0,415000000.0
safe_featurized,SAFE,230000000.0,0.0,0.0,230000000.0
akash-network_featurized,AKT,0.0,61510788.0,0.0,61510788.0
frax-share_featurized,FXS,15984053.0,7015947.0,12000000.0,35000000.0
dydx_featurized,DYDX,0.0,500000000.0,0.0,500000000.0
neutron-3_featurized,NTRN,350000000.0,0.0,0.0,350000000.0
acala_featurized,ACA,0.0,inf,0.0,inf
filecoin_featurized,FIL,500000000.0,0.0,0.0,500000000.0
edu-coin_featurized,EDU,385000000.0,0.0,0.0,385000000.0
starknet_featurized,STRK,0.0,3821000000.0,0.0,3821000000.0
gelato_featurized,GEL,128310450.0,65206950.0,0.0,193517400.0
mask-network_featurized,MASK,51450000.0,0.0,0.0,51450000.0
osmosis_featurized,OSMO,224110843.0,433113.0,0.0,224543956.0
the-sandbox_featurized,SAND,0.0,1505277777.0,0.0,1505277777.0
neon_featurized,NEON,321900000.0,60000000.0,0.0,381900000.0
joe_featurized,JOE,96604800.0,53395200.0,0.0,150000000.0
terra-luna-2_featurized,LUNA,0.0,0.0,0.0,0.0
mina-protocol_featurized,MINA,516200000.0,0.0,0.0,516200000.0
lybra-finance_featurized,LBR,13000000.0,500000.0,0.0,13500000.0
arbitrum_featurized,ARB,0.0,4447000000.0,0.0,4447000000.0
moonbeam_featurized,GLMR,0.0,459468300.0,0.0,459468300.0
radiant-capital_featurized,RDNT,270000000.0,0.0,0.0,270000000.0
kujira_featurized,KUJI,48000000.0,0.0,0.0,48000000.0
render-token_featurized,RNDR,0.0,117843239.0,0.0,117843239.0
balancer_featurized,BAL,32500000.0,0.0,0.0,32500000.0
hop-protocol_featurized,HOP,287000000.0,0.0,28000000.0,315000000.0
axelar_featurized,AXL,590400000.0,0.0,0.0,590400000.0
singularitynet_featurized,AGIX,0.0,180000000.0,0.0,180000000.0
shiba-inu_featurized,SHIB,0.0,0.0,0.0,0.0
multichain_featurized,MULTI,0.0,0.0,0.0,0.0
