project,symbol,insider_supply_growth_mean,insider_supply_growth_median,mode_1,mode_2,mode_3,mode_4,mode_5
gala_featurized,GALA,0.0,0.0,0.0,N/A,N/A,N/A,N/A
ribbon-finance_featurized,RBN,319596.29941126995,346557.0,346557.0,0.0,346558.0,126666667.0,N/A
xai-blockchain_featurized,XAI,744343.0656934306,0.0,0.0,29229762.0,11904762.0,29229761.0,175378571.0
aave_featurized,AAVE,0.0,0.0,0.0,N/A,N/A,N/A,N/A
euler_featurized,EUL,8207.799350649351,3898.0,3898.0,16911.0,16910.0,0.0,3899.0
stakewise_featurized,SWISE,315518.35157759173,169797.0,629577.0,169797.0,169796.0,0.0,629578.0
aevo-exchange_featurized,AEVO,2530487.8048780486,0.0,0.0,3284597.0,3284598.0,388009200.0,2192013.0
safe_featurized,SAFE,73458.95879910572,30924.0,30923.0,123426.0,68681.0,123425.0,68682.0
akash-network_featurized,AKT,16398.50386563583,0.0,0.0,14627697.0,28255394.0,4000000.0,N/A
frax-share_featurized,FXS,41469.19431279621,0.0,0.0,164835.0,492702.0,492701.0,658438.0
dydx_featurized,DYDX,265251.98938992043,0.0,0.0,8333333.0,4166667.0,33333333.0,8333334.0
neutron-3_featurized,NTRN,220959.59595959596,310502.0,310502.0,0.0,342913.0,310503.0,342912.0
acala_featurized,ACA,inf,0.0,0.0,inf,100.00000364520054,49.99999908869988,33.33333292831105
filecoin_featurized,FIL,113791.53390987711,0.0,0.0,136924.0,136923.0,256558.0,338750.0
edu-coin_featurized,EDU,200834.63745435578,91325.0,403653.0,0.0,91324.0,312329.0,91325.0
starknet_featurized,STRK,1413614.5024047354,0.0,0.0,127000000.0,64000000.0,132000000.0,N/A
gelato_featurized,GEL,124608.75724404378,76768.0,76768.0,0.0,76769.0,65206950.0,25589.0
mask-network_featurized,MASK,41727.49391727494,26817.0,20970.0,0.0,26817.0,73093.0,57723.0
osmosis_featurized,OSMO,38045.40088105727,6013.0,6013.0,352.0,30441.0,1188.0,528.0
the-sandbox_featurized,SAND,867595.260518732,0.0,0.0,235830000.0,108750000.0,235707777.0,N/A
neon_featurized,NEON,245752.89575289574,0.0,0.0,881918.0,881917.0,60000000.0,N/A
joe_featurized,JOE,136487.7161055505,38880.0,0.0,349920.0,246240.0,233280.0,207360.0
terra-luna-2_featurized,LUNA,0.0,0.0,0.0,N/A,N/A,N/A,N/A
mina-protocol_featurized,MINA,196572.73419649657,51370.0,0.0,51370.0,811253.0,374658.0,811254.0
lybra-finance_featurized,LBR,13406.156901688182,11628.0,11628.0,23923.0,12295.0,0.0,11627.0
arbitrum_featurized,ARB,2818124.2078580484,0.0,0.0,92645833.0,92645834.0,1111750000.0,N/A
moonbeam_featurized,GLMR,314273.80300957593,0.0,0.0,3041667.0,12724546.0,3041666.0,21682879.0
radiant-capital_featurized,RDNT,140698.2803543512,103806.0,103806.0,231311.0,103807.0,231310.0,0.0
kujira_featurized,KUJI,49484.536082474224,37012.0,37012.0,0.0,37011.0,153355.0,153356.0
render-token_featurized,RNDR,30039.061687484067,0.0,0.0,117843239.0,N/A,N/A,N/A
balancer_featurized,BAL,6029.684601113173,0.0,0.0,3845.0,15411.0,3844.0,15410.0
hop-protocol_featurized,HOP,202702.7027027027,261861.0,261861.0,0.0,261862.0,28000000.0,190941.0
axelar_featurized,AXL,359342.66585514304,190078.0,190077.0,594181.0,190078.0,594182.0,0.0
singularitynet_featurized,AGIX,213270.1421800948,0.0,0.0,180000000.0,N/A,N/A,N/A
shiba-inu_featurized,SHIB,0.0,0.0,0.0,N/A,N/A,N/A,N/A
multichain_featurized,MULTI,0.0,0.0,0.0,N/A,N/A,N/A,N/A
