Project,Symbol,start_date,end_date,days_between,unlock_type_most_contributed,linear_count,cliff_count,tge_count
ftx-token_featurized,FTT,2019-07-29,2020-07-17,354,linear,355,0,0
nym_featurized,NYM,2022-08-12,2023-06-02,294,cliff,0,8,0
pendle_featurized,PENDLE,2021-10-28,2022-04-28,182,cliff,0,3,0
celestia_featurized,TIA,2024-10-30,2025-02-19,112,cliff,112,1,0
galxe_featurized,GAL,2022-11-05,2024-08-05,639,cliff,0,22,0
fantom_featurized,FTM,2018-07-14,2018-07-14,0,token generation,0,0,1
rocket-pool_featurized,RPL,2017-09-09,2017-09-09,0,token generation,0,0,1
avalanche-2_featurized,AVAX,2020-09-10,2021-09-05,360,cliff,0,4,1
pooltogether_featurized,POOL,2021-02-18,2021-08-19,182,linear,183,0,0
pixels_featurized,PIXEL,2025-02-19,2026-09-19,577,cliff,0,20,0
beam-2_featurized,BEAM,2022-07-04,2024-02-13,589,linear,590,0,0
sei-network_featurized,SEI,2024-08-17,2026-07-02,684,linear,685,0,0
ribbon-finance_featurized,RBN,2022-05-24,2022-11-23,183,cliff,183,1,0
xai-blockchain_featurized,XAI,2024-07-09,2025-07-09,365,cliff,0,13,0
euler_featurized,EUL,2022-01-02,2023-01-10,373,linear,374,0,0
stakewise_featurized,SWISE,2021-10-02,2022-10-26,389,linear,390,0,0
aevo-exchange_featurized,AEVO,2024-05-15,2024-05-15,0,cliff,0,1,0
safe_featurized,SAFE,2023-07-06,2025-08-14,770,linear,771,0,0
akash-network_featurized,AKT,2021-09-25,2022-03-25,181,cliff,0,2,0
dydx_featurized,DYDX,2023-12-01,2024-03-01,91,cliff,0,4,0
neutron-3_featurized,NTRN,2024-07-07,2025-12-20,531,linear,532,0,0
edu-coin_featurized,EDU,2025-04-28,2026-08-17,476,linear,477,0,0
starknet_featurized,STRK,2025-12-15,2027-03-15,455,cliff,0,16,0
gelato_featurized,GEL,2022-09-13,2023-02-27,167,cliff,167,1,0
mask-network_featurized,MASK,2021-08-19,2022-04-26,250,linear,251,0,0
the-sandbox_featurized,SAND,2022-02-14,2023-08-14,546,cliff,0,4,0
neon_featurized,NEON,2024-07-18,2025-02-19,216,linear,217,0,0
joe_featurized,JOE,2021-10-03,2021-12-16,74,cliff,74,1,0
mina-protocol_featurized,MINA,2021-07-11,2022-05-25,318,linear,319,0,0
lybra-finance_featurized,LBR,2023-05-24,2024-04-24,336,linear,336,1,0
arbitrum_featurized,ARB,2024-03-16,2025-03-16,365,cliff,0,13,0
moonbeam_featurized,GLMR,2022-04-11,2023-01-11,275,cliff,0,10,0
radiant-capital_featurized,RDNT,2022-08-13,2024-01-24,529,linear,530,0,0
kujira_featurized,KUJI,2021-11-10,2022-04-15,156,linear,157,0,0
render-token_featurized,RNDR,2020-10-06,2020-10-06,0,cliff,0,1,0
hop-protocol_featurized,HOP,2023-06-10,2025-01-31,601,linear,602,0,0
axelar_featurized,AXL,2022-12-16,2024-04-25,496,linear,497,0,0
