Date,Symbol,Project,insider_tokens_unlocked,insider_unlock_usd_value,insider_owned_float_percentage,supply_increase_percentage
2021-10-16,FLOW,flow,204900000.0,3608289000.0,20.787924933639307,1532.6200217293444
2024-03-16,ARB,arbitrum,1111750000.0,2090090000.0,41.41146638359759,70.79102193696247
2023-01-02,BONK,bonk,19160583941.61,1219935218.978367,0.03308159812475316,0.033092545667719124
2023-12-01,DYDX,dydx,150000000.0,484500000.0,43.53477670718441,77.10015859040021
2023-11-12,APT,aptos,20298915.01,156098656.42690003,9.695507587137387,13.463125559740357
2021-09-25,AKT,akash-network,28255394.0,138733984.54,29.465397379355423,42.037665391726435
2021-05-04,AGIX,singularitynet,180000000.0,75600000.0,17.733990147783253,inf
2022-05-05,GAL,galxe,3928000.0,67011679.99999999,11.171362482572842,
2023-06-14,BLUR,blur,196000000.0,58800000.0,27.64633253276782,38.55633284321976
2020-10-16,FIL,filecoin,580508.51,35434239.4504,67.87298717159719,inf
2022-09-13,GEL,gelato,65206950.0,14997598.5,22.302158273381295,28.703703703703702
2023-02-01,ACA,acala,27433333.0,3566333.29,10.992477214648034,14.734642354669223
2022-07-24,C98,coin98,373316.6,182925.134,0.20117451586878152,0.30731570810810943
2022-09-28,AXL,axelar,134638.1,115788.766,0.4773459537036324,1.540015655679871
2024-05-15,AEVO,aevo-exchange,388009200.0,0.0,40.860471901101924,678.356962295082
2020-06-22,BAL,balancer,3844.84,0.0,100.0,inf
2020-04-17,COMP,compound-governance-token,2769014.0,0.0,78.13214056152148,
2024-10-27,EDU,edu-coin,26027.4,0.0,0.006798078499544993,0.0869298892340949
2020-04-21,CTSI,cartesi,1675000.0,0.0,0.7196820498840888,
2020-12-20,FXS,frax-share,12000000.0,0.0,70.58823529411765,
2017-04-06,ATOM,cosmos,35689662.0,0.0,16.788888644169482,
2025-02-07,DYM,dymension,136986.3,0.0,0.07170473957535689,0.18624206077287211
2019-07-04,EGLD,elrond-erd-2,285000.0,0.0,3.800844633830115,
2022-01-06,BEAM,beam-2,15873015.87,0.0,0.20472382304536105,0.8241867401820505
2020-09-10,AVAX,avalanche-2,10800000.0,0.0,26.686434395848778,
2018-07-14,FTM,fantom,853125000.0,0.0,57.52212389380531,
2022-02-02,COW,cow-protocol,177388.7,0.0,0.2094609707203502,0.3314024367416543
2019-05-02,FTT,ftx-token,7720.35,0.0,100.0,inf
2019-06-19,ALGO,algorand,2000000000.0,0.0,80.0,
2020-08-18,DOT,polkadot,200000000.0,0.0,19.550080342798548,4398.795180207367
2021-11-10,AZERO,aleph-zero,66500000.0,0.0,43.4640522875817,
2024-07-19,ARKM,arkham,324107.15,0.0,0.1513148533619183,0.23310676504374814
2024-06-25,ALT,altlayer,500180000.0,0.0,23.547485932344145,31.079144050452808
2022-01-02,EUL,euler,16910.61,0.0,0.44704224572895224,0.6113563227317743
