Date,Symbol,Price,Available Supply,Unlocked Supply,Users,Founders & Team,Future team members,Community,Shareholders of Compound Inc.
Sep 15 2024,COMP,0,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 15 2024,COMP,0,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 14 2024,COMP,0,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 14 2024,COMP,0,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 14 2024,COMP,0,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 13 2024,COMP,0,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 13 2024,COMP,0,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 13 2024,COMP,0,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 13 2024,COMP,0,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 12 2024,COMP,0,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 12 2024,COMP,0,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 12 2024,COMP,0,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 11 2024,COMP,0,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 11 2024,COMP,0,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 11 2024,COMP,0,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 10 2024,COMP,0,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 10 2024,COMP,0,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 10 2024,COMP,0,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 10 2024,COMP,0,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
Sep 09 2024,COMP,0,10000000.00,10000000.00,4229949.00,2226037.00,372707.00,775000.00,2396307.00
