Date,Symbol,Price,Available Supply,Unlocked Supply,Marketing,Treasury,Operational,Team,Advisors,Private Sale,Public Sale,Rewards,Airdrops,Liquidity
Jun 29 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 29 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 29 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 28 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 28 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 28 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 28 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 28 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 27 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 27 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 27 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 27 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 27 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 27 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 26 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 26 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 26 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 26 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 26 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 26 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 25 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 25 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 25 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 25 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 25 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 25 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 24 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 24 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 24 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 24 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 24 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 23 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 23 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 23 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 23 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 23 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 23 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 22 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 22 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 22 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 22 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 22 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 22 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 21 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 21 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 21 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 21 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 21 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 21 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 20 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 20 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 20 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 20 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 20 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 19 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 19 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 19 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 19 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 19 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 19 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 18 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 18 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 18 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 18 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 18 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 18 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 17 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 17 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 17 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 17 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 17 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 16 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
Jun 16 2024,KUJI,0,122398000.00,122398000.00,6000000.00,6750000.00,11025000.00,27000000.00,7500000.00,27975000.00,21000000.00,8648000.00,500000.00,6000000.00
