Date,Symbol,Price,Available Supply,Unlocked Supply,Public Sale,Participation Rewards,End User Grant,Node Running Grant,Foundation,Team and Investors
Sep 19 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 19 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 18 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 18 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 18 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 17 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 17 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 16 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 16 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 16 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 15 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 15 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 15 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 14 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 14 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 14 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 13 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 13 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 13 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 12 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 12 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 11 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 11 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 11 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 10 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 10 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 10 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 09 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
Sep 09 2024,ALGO,0,10000000000.00,10000000000.00,3000000000.00,1750000000.00,250000000.00,2500000000.00,500000000.00,2000000000.00
