Date,Symbol,Price,Available Supply,Unlocked Supply,Liquidity Mining,Development Fund
Jul 07 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 07 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 06 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 06 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 06 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 06 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 05 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 05 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 05 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 05 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 04 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 04 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 04 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 04 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 03 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 03 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 03 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 03 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 02 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 02 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 02 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 02 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 01 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 01 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 01 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jul 01 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
Jun 30 2024,SUSHI,0,250534325.42,250534325.42,227758477.68,22775847.74
