Date,Symbol,Price,Available Supply,Unlocked Supply,Initial uniswap liquidity,Vitalik Buterin
Jul 07 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 07 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 06 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 06 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 06 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 06 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 05 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 05 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 05 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 05 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 04 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 04 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 04 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 04 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 03 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 03 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 03 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 03 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 02 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 02 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 02 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 02 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 01 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 01 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 01 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jul 01 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jun 30 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jun 30 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jun 30 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jun 29 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jun 29 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jun 29 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jun 29 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jun 28 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jun 28 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jun 28 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jun 28 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jun 27 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
Jun 27 2024,SHIB,0,1000000000000000.00,1000000000000000.00,495000000000000.00,505000000000000.00
