Date,Symbol,Price,Available Supply,Unlocked Supply,Epoch Rewards,Community Grants,Core Contributors,Operation Grants,Small and Large Backers,Foundation Endowment,Community Sale,Early Ecosystem
Oct 13 2025,NEAR,0,1283075863.00,1283075863.00,283400000.00,172000000.00,140000000.00,114000000.00,236675863.00,100000000.00,120000000.00,117000000.00
Oct 13 2025,NEAR,0,1283075863.00,1283075863.00,283400000.00,172000000.00,140000000.00,114000000.00,236675863.00,100000000.00,120000000.00,117000000.00
Oct 12 2025,NEAR,0,1282652178.84,1282652178.84,283228767.12,171905805.04,139904175.22,113937568.46,236675863.00,100000000.00,120000000.00,117000000.00
Oct 12 2025,NEAR,0,1282652178.84,1282652178.84,283228767.12,171905805.04,139904175.22,113937568.46,236675863.00,100000000.00,120000000.00,117000000.00
Oct 12 2025,NEAR,0,1282652178.84,1282652178.84,283228767.12,171905805.04,139904175.22,113937568.46,236675863.00,100000000.00,120000000.00,117000000.00
Oct 11 2025,NEAR,0,1282228494.68,1282228494.68,283057534.25,171811610.08,139808350.44,113875136.91,236675863.00,100000000.00,120000000.00,117000000.00
Oct 11 2025,NEAR,0,1282228494.68,1282228494.68,283057534.25,171811610.08,139808350.44,113875136.91,236675863.00,100000000.00,120000000.00,117000000.00
Oct 11 2025,NEAR,0,1282228494.68,1282228494.68,283057534.25,171811610.08,139808350.44,113875136.91,236675863.00,100000000.00,120000000.00,117000000.00
Oct 10 2025,NEAR,0,1281804810.52,1281804810.52,282886301.37,171717415.12,139712525.67,113812705.37,236675863.00,100000000.00,120000000.00,117000000.00
Oct 10 2025,NEAR,0,1281804810.52,1281804810.52,282886301.37,171717415.12,139712525.67,113812705.37,236675863.00,100000000.00,120000000.00,117000000.00
Oct 10 2025,NEAR,0,1281804810.52,1281804810.52,282886301.37,171717415.12,139712525.67,113812705.37,236675863.00,100000000.00,120000000.00,117000000.00
Oct 09 2025,NEAR,0,1281381126.36,1281381126.36,282715068.49,171623220.15,139616700.89,113750273.82,236675863.00,100000000.00,120000000.00,117000000.00
Oct 09 2025,NEAR,0,1281381126.36,1281381126.36,282715068.49,171623220.15,139616700.89,113750273.82,236675863.00,100000000.00,120000000.00,117000000.00
Oct 09 2025,NEAR,0,1281381126.36,1281381126.36,282715068.49,171623220.15,139616700.89,113750273.82,236675863.00,100000000.00,120000000.00,117000000.00
Oct 08 2025,NEAR,0,1280957442.20,1280957442.20,282543835.62,171529025.19,139520876.11,113687842.28,236675863.00,100000000.00,120000000.00,117000000.00
Oct 08 2025,NEAR,0,1280957442.20,1280957442.20,282543835.62,171529025.19,139520876.11,113687842.28,236675863.00,100000000.00,120000000.00,117000000.00
Oct 08 2025,NEAR,0,1280957442.20,1280957442.20,282543835.62,171529025.19,139520876.11,113687842.28,236675863.00,100000000.00,120000000.00,117000000.00
Oct 07 2025,NEAR,0,1280533758.04,1280533758.04,282372602.74,171434830.23,139425051.33,113625410.73,236675863.00,100000000.00,120000000.00,117000000.00
Oct 07 2025,NEAR,0,1280533758.04,1280533758.04,282372602.74,171434830.23,139425051.33,113625410.73,236675863.00,100000000.00,120000000.00,117000000.00
Oct 07 2025,NEAR,0,1280533758.04,1280533758.04,282372602.74,171434830.23,139425051.33,113625410.73,236675863.00,100000000.00,120000000.00,117000000.00
Oct 06 2025,NEAR,0,1280110073.88,1280110073.88,282201369.86,171340635.27,139329226.56,113562979.19,236675863.00,100000000.00,120000000.00,117000000.00
Oct 06 2025,NEAR,0,1280110073.88,1280110073.88,282201369.86,171340635.27,139329226.56,113562979.19,236675863.00,100000000.00,120000000.00,117000000.00
Oct 06 2025,NEAR,0,1280110073.88,1280110073.88,282201369.86,171340635.27,139329226.56,113562979.19,236675863.00,100000000.00,120000000.00,117000000.00
Oct 05 2025,NEAR,0,1279686389.72,1279686389.72,282030136.99,171246440.31,139233401.78,113500547.65,236675863.00,100000000.00,120000000.00,117000000.00
Oct 05 2025,NEAR,0,1279686389.72,1279686389.72,282030136.99,171246440.31,139233401.78,113500547.65,236675863.00,100000000.00,120000000.00,117000000.00
Oct 05 2025,NEAR,0,1279686389.72,1279686389.72,282030136.99,171246440.31,139233401.78,113500547.65,236675863.00,100000000.00,120000000.00,117000000.00
Oct 04 2025,NEAR,0,1279262705.56,1279262705.56,281858904.11,171152245.35,139137577.00,113438116.10,236675863.00,100000000.00,120000000.00,117000000.00
Oct 04 2025,NEAR,0,1279262705.56,1279262705.56,281858904.11,171152245.35,139137577.00,113438116.10,236675863.00,100000000.00,120000000.00,117000000.00
Oct 04 2025,NEAR,0,1279262705.56,1279262705.56,281858904.11,171152245.35,139137577.00,113438116.10,236675863.00,100000000.00,120000000.00,117000000.00
Oct 03 2025,NEAR,0,1278839021.40,1278839021.40,281687671.23,171058050.38,139041752.22,113375684.56,236675863.00,100000000.00,120000000.00,117000000.00
Oct 03 2025,NEAR,0,1278839021.40,1278839021.40,281687671.23,171058050.38,139041752.22,113375684.56,236675863.00,100000000.00,120000000.00,117000000.00
Oct 03 2025,NEAR,0,1278839021.40,1278839021.40,281687671.23,171058050.38,139041752.22,113375684.56,236675863.00,100000000.00,120000000.00,117000000.00
Oct 02 2025,NEAR,0,1278415337.24,1278415337.24,281516438.36,170963855.42,138945927.45,113313253.01,236675863.00,100000000.00,120000000.00,117000000.00
Oct 02 2025,NEAR,0,1278415337.24,1278415337.24,281516438.36,170963855.42,138945927.45,113313253.01,236675863.00,100000000.00,120000000.00,117000000.00
Oct 02 2025,NEAR,0,1278415337.24,1278415337.24,281516438.36,170963855.42,138945927.45,113313253.01,236675863.00,100000000.00,120000000.00,117000000.00
Oct 01 2025,NEAR,0,1277991653.08,1277991653.08,281345205.48,170869660.46,138850102.67,113250821.47,236675863.00,100000000.00,120000000.00,117000000.00
Oct 01 2025,NEAR,0,1277991653.08,1277991653.08,281345205.48,170869660.46,138850102.67,113250821.47,236675863.00,100000000.00,120000000.00,117000000.00
Oct 01 2025,NEAR,0,1277991653.08,1277991653.08,281345205.48,170869660.46,138850102.67,113250821.47,236675863.00,100000000.00,120000000.00,117000000.00
Oct 01 2025,NEAR,0,1277991653.08,1277991653.08,281345205.48,170869660.46,138850102.67,113250821.47,236675863.00,100000000.00,120000000.00,117000000.00
Sep 30 2025,NEAR,0,1277567968.92,1277567968.92,281173972.60,170775465.50,138754277.89,113188389.92,236675863.00,100000000.00,120000000.00,117000000.00
Sep 30 2025,NEAR,0,1277567968.92,1277567968.92,281173972.60,170775465.50,138754277.89,113188389.92,236675863.00,100000000.00,120000000.00,117000000.00
Sep 30 2025,NEAR,0,1277567968.92,1277567968.92,281173972.60,170775465.50,138754277.89,113188389.92,236675863.00,100000000.00,120000000.00,117000000.00
Sep 29 2025,NEAR,0,1277144284.76,1277144284.76,281002739.73,170681270.54,138658453.11,113125958.38,236675863.00,100000000.00,120000000.00,117000000.00
Sep 29 2025,NEAR,0,1277144284.76,1277144284.76,281002739.73,170681270.54,138658453.11,113125958.38,236675863.00,100000000.00,120000000.00,117000000.00
Sep 29 2025,NEAR,0,1277144284.76,1277144284.76,281002739.73,170681270.54,138658453.11,113125958.38,236675863.00,100000000.00,120000000.00,117000000.00
Sep 28 2025,NEAR,0,1276720600.60,1276720600.60,280831506.85,170587075.58,138562628.34,113063526.83,236675863.00,100000000.00,120000000.00,117000000.00
Sep 28 2025,NEAR,0,1276720600.60,1276720600.60,280831506.85,170587075.58,138562628.34,113063526.83,236675863.00,100000000.00,120000000.00,117000000.00
Sep 28 2025,NEAR,0,1276720600.60,1276720600.60,280831506.85,170587075.58,138562628.34,113063526.83,236675863.00,100000000.00,120000000.00,117000000.00
Sep 27 2025,NEAR,0,1276296916.44,1276296916.44,280660273.97,170492880.61,138466803.56,113001095.29,236675863.00,100000000.00,120000000.00,117000000.00
Sep 27 2025,NEAR,0,1276296916.44,1276296916.44,280660273.97,170492880.61,138466803.56,113001095.29,236675863.00,100000000.00,120000000.00,117000000.00
Sep 27 2025,NEAR,0,1276296916.44,1276296916.44,280660273.97,170492880.61,138466803.56,113001095.29,236675863.00,100000000.00,120000000.00,117000000.00
Sep 26 2025,NEAR,0,1275873232.28,1275873232.28,280489041.10,170398685.65,138370978.78,112938663.75,236675863.00,100000000.00,120000000.00,117000000.00
Sep 26 2025,NEAR,0,1275873232.28,1275873232.28,280489041.10,170398685.65,138370978.78,112938663.75,236675863.00,100000000.00,120000000.00,117000000.00
Sep 26 2025,NEAR,0,1275873232.28,1275873232.28,280489041.10,170398685.65,138370978.78,112938663.75,236675863.00,100000000.00,120000000.00,117000000.00
Sep 25 2025,NEAR,0,1275449548.11,1275449548.11,280317808.22,170304490.69,138275154.00,112876232.20,236675863.00,100000000.00,120000000.00,117000000.00
Sep 25 2025,NEAR,0,1275449548.11,1275449548.11,280317808.22,170304490.69,138275154.00,112876232.20,236675863.00,100000000.00,120000000.00,117000000.00
Sep 25 2025,NEAR,0,1275449548.11,1275449548.11,280317808.22,170304490.69,138275154.00,112876232.20,236675863.00,100000000.00,120000000.00,117000000.00
Sep 24 2025,NEAR,0,1275025863.95,1275025863.95,280146575.34,170210295.73,138179329.23,112813800.66,236675863.00,100000000.00,120000000.00,117000000.00
Sep 24 2025,NEAR,0,1275025863.95,1275025863.95,280146575.34,170210295.73,138179329.23,112813800.66,236675863.00,100000000.00,120000000.00,117000000.00
Sep 24 2025,NEAR,0,1275025863.95,1275025863.95,280146575.34,170210295.73,138179329.23,112813800.66,236675863.00,100000000.00,120000000.00,117000000.00
Sep 23 2025,NEAR,0,1274602179.79,1274602179.79,279975342.47,170116100.77,138083504.45,112751369.11,236675863.00,100000000.00,120000000.00,117000000.00
Sep 23 2025,NEAR,0,1274602179.79,1274602179.79,279975342.47,170116100.77,138083504.45,112751369.11,236675863.00,100000000.00,120000000.00,117000000.00
Sep 23 2025,NEAR,0,1274602179.79,1274602179.79,279975342.47,170116100.77,138083504.45,112751369.11,236675863.00,100000000.00,120000000.00,117000000.00
Sep 22 2025,NEAR,0,1274178495.63,1274178495.63,279804109.59,170021905.81,137987679.67,112688937.57,236675863.00,100000000.00,120000000.00,117000000.00
Sep 22 2025,NEAR,0,1274178495.63,1274178495.63,279804109.59,170021905.81,137987679.67,112688937.57,236675863.00,100000000.00,120000000.00,117000000.00
Sep 22 2025,NEAR,0,1274178495.63,1274178495.63,279804109.59,170021905.81,137987679.67,112688937.57,236675863.00,100000000.00,120000000.00,117000000.00
Sep 21 2025,NEAR,0,1273754811.47,1273754811.47,279632876.71,169927710.84,137891854.89,112626506.02,236675863.00,100000000.00,120000000.00,117000000.00
Sep 21 2025,NEAR,0,1273754811.47,1273754811.47,279632876.71,169927710.84,137891854.89,112626506.02,236675863.00,100000000.00,120000000.00,117000000.00
