Date,Symbol,Price,Available Supply,Unlocked Supply,Future Hires,Core Team,Early Investors,Community Rewards,Ecosystem Development
Jan 07 2030,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Jan 07 2030,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Jan 06 2030,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Jan 06 2030,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Jan 05 2030,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Jan 05 2030,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Jan 04 2030,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Jan 04 2030,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Jan 03 2030,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Jan 03 2030,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Jan 02 2030,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Jan 02 2030,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Jan 01 2030,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Jan 01 2030,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 31 2029,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 31 2029,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 30 2029,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 30 2029,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 30 2029,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 29 2029,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 29 2029,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 28 2029,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 28 2029,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 27 2029,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 27 2029,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 26 2029,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 26 2029,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 25 2029,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 25 2029,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 24 2029,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
Dec 24 2029,HFT,0,968012144.00,968012144.00,25000000.00,193200000.00,250000000.00,142212144.00,357600000.00
