Date,Symbol,Price,Available Supply,Unlocked Supply,Investors,Team,Protocol Launch,Initial Emissions,DEXes,Bonding Curve,Community
Jun 18 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 18 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 18 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 17 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 17 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 17 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 17 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 17 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 16 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 16 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 16 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 16 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 15 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 15 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 15 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 15 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 15 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 14 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 14 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 14 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 14 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 14 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 13 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 13 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 13 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
Jun 13 2025,STG,0,1000000000.00,1000000000.00,175000000.00,175000000.00,150000000.00,21100000.00,15500000.00,159500000.00,303900000.00
