Date,Symbol,Price,Available Supply,Unlocked Supply,Ecosystem Development,Project Development,Private Sales,Public Sales 2,Public Sales 1,Foundation Reserve
Jan 20 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 19 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 19 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 19 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 18 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 18 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 18 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 18 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 17 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 17 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 17 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 17 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 16 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 16 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 16 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 15 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 15 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 15 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 15 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 14 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 14 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 14 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 13 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 13 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
Jan 13 2026,IMX,0,2000000000.00,2000000000.00,1034461000.00,500000000.00,277139000.00,49600000.00,58800000.00,80000000.00
