Date,Symbol,Price,Available Supply,Unlocked Supply,POOL Token Treasury,Team/Contributors,Investors,Liquidity mining,Voters,New user education,Retroactive depositors
Jul 06 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 06 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 06 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 05 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 05 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 05 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 05 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 04 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 04 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 04 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 04 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 04 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 03 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 03 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 03 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 03 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 02 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 02 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 02 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 02 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 02 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 01 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 01 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 01 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jul 01 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 30 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 30 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 30 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 30 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 30 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 29 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 29 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 29 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 29 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 28 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 28 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 28 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 28 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 28 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 27 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 27 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 27 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 27 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 26 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 26 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
Jun 26 2024,POOL,0,10000000.00,10000000.00,5754000.00,1244000.00,752000.00,500000.00,100000.00,250000.00,1400000.00
