Date,Symbol,Price,Available Supply,Unlocked Supply,Mining Reserve (TBD),Simple Minting,Baseline Minting,Protocol Labs Team and Contributors,Filecoin Foundation,Protocol Labs,Fundraising 36 months,Fundraising 24 months,Fundraising 12 months,Fundraising 6 months
Feb 14 2048,FIL,0,1995109995.44,1695109995.44,300000000.00,325109995.44,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Feb 13 2048,FIL,0,1995104974.90,1695104974.90,300000000.00,325104974.90,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Feb 12 2048,FIL,0,1995099954.36,1695099954.36,300000000.00,325099954.36,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Feb 11 2048,FIL,0,1995094933.82,1695094933.82,300000000.00,325094933.82,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Feb 11 2048,FIL,0,1995094933.82,1695094933.82,300000000.00,325094933.82,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Feb 10 2048,FIL,0,1995089913.28,1695089913.28,300000000.00,325089913.28,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Feb 09 2048,FIL,0,1995084892.74,1695084892.74,300000000.00,325084892.74,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Feb 08 2048,FIL,0,1995079872.20,1695079872.20,300000000.00,325079872.20,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Feb 08 2048,FIL,0,1995079872.20,1695079872.20,300000000.00,325079872.20,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Feb 07 2048,FIL,0,1995074851.67,1695074851.67,300000000.00,325074851.67,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
Feb 06 2048,FIL,0,1995069831.13,1695069831.13,300000000.00,325069831.13,770000000.00,90000000.00,100000000.00,210000000.00,116000000.00,10000000.00,30000000.00,44000000.00
