Date,Symbol,Price,Available Supply,Unlocked Supply,Community building
Jul 06 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jul 06 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jul 05 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jul 05 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jul 04 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jul 04 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jul 04 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jul 03 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jul 03 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jul 02 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jul 02 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jul 01 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jul 01 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jul 01 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 30 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 30 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 29 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 29 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 29 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 28 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 28 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 27 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 27 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 27 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 26 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 26 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 25 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 25 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 24 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 24 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 24 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 23 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 23 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 22 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 22 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 22 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 21 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 21 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 20 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 20 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 20 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 19 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 19 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 18 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 18 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 17 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 17 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 17 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 16 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 16 2024,OKB,0,300000000.00,300000000.00,300000000.00
Jun 15 2024,OKB,0,300000000.00,300000000.00,300000000.00
