Date,Symbol,Price,Available Supply,Unlocked Supply,Liquidity Mining,Founder advisors investor,Initial Liquidity Mining,Options,Ecosystem,Fundraising
Aug 26 2047,BAL,0,100568942.06,100568942.06,60133942.06,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 25 2047,BAL,0,100568670.64,100568670.64,60133670.64,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 24 2047,BAL,0,100568399.22,100568399.22,60133399.22,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 23 2047,BAL,0,100568127.80,100568127.80,60133127.80,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 22 2047,BAL,0,100567856.38,100567856.38,60132856.38,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 21 2047,BAL,0,100567584.96,100567584.96,60132584.96,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 20 2047,BAL,0,100567313.54,100567313.54,60132313.54,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 20 2047,BAL,0,100567313.54,100567313.54,60132313.54,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 19 2047,BAL,0,100567042.11,100567042.11,60132042.11,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 18 2047,BAL,0,100566770.69,100566770.69,60131770.69,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 17 2047,BAL,0,100566499.27,100566499.27,60131499.27,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 16 2047,BAL,0,100566227.85,100566227.85,60131227.85,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 15 2047,BAL,0,100565956.43,100565956.43,60130956.43,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 14 2047,BAL,0,100565685.01,100565685.01,60130685.01,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 13 2047,BAL,0,100565413.59,100565413.59,60130413.59,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 12 2047,BAL,0,100565142.17,100565142.17,60130142.17,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 11 2047,BAL,0,100564870.75,100564870.75,60129870.75,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 10 2047,BAL,0,100564599.33,100564599.33,60129599.33,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 09 2047,BAL,0,100564327.91,100564327.91,60129327.91,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 09 2047,BAL,0,100564327.91,100564327.91,60129327.91,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 08 2047,BAL,0,100564056.49,100564056.49,60129056.49,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 07 2047,BAL,0,100563785.07,100563785.07,60128785.07,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 06 2047,BAL,0,100563513.64,100563513.64,60128513.64,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 05 2047,BAL,0,100563242.22,100563242.22,60128242.22,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 04 2047,BAL,0,100562970.80,100562970.80,60127970.80,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 03 2047,BAL,0,100562699.38,100562699.38,60127699.38,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 02 2047,BAL,0,100562427.96,100562427.96,60127427.96,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Aug 01 2047,BAL,0,100562156.54,100562156.54,60127156.54,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 31 2047,BAL,0,100561885.12,100561885.12,60126885.12,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 30 2047,BAL,0,100561613.70,100561613.70,60126613.70,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 29 2047,BAL,0,100561342.28,100561342.28,60126342.28,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 29 2047,BAL,0,100561342.28,100561342.28,60126342.28,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 28 2047,BAL,0,100561070.86,100561070.86,60126070.86,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 27 2047,BAL,0,100560799.44,100560799.44,60125799.44,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 26 2047,BAL,0,100560528.02,100560528.02,60125528.02,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 25 2047,BAL,0,100560256.60,100560256.60,60125256.60,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 24 2047,BAL,0,100559985.17,100559985.17,60124985.17,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 23 2047,BAL,0,100559713.75,100559713.75,60124713.75,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 22 2047,BAL,0,100559442.33,100559442.33,60124442.33,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 21 2047,BAL,0,100559170.91,100559170.91,60124170.91,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 20 2047,BAL,0,100558899.49,100558899.49,60123899.49,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 19 2047,BAL,0,100558628.07,100558628.07,60123628.07,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 19 2047,BAL,0,100558628.07,100558628.07,60123628.07,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 18 2047,BAL,0,100558356.65,100558356.65,60123356.65,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 17 2047,BAL,0,100558085.23,100558085.23,60123085.23,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 16 2047,BAL,0,100557813.81,100557813.81,60122813.81,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 15 2047,BAL,0,100557542.39,100557542.39,60122542.39,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 14 2047,BAL,0,100557270.97,100557270.97,60122270.97,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 13 2047,BAL,0,100556999.55,100556999.55,60121999.55,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 12 2047,BAL,0,100556728.13,100556728.13,60121728.13,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 11 2047,BAL,0,100556456.70,100556456.70,60121456.70,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 10 2047,BAL,0,100556185.28,100556185.28,60121185.28,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 09 2047,BAL,0,100555913.86,100555913.86,60120913.86,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 08 2047,BAL,0,100555642.44,100555642.44,60120642.44,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 08 2047,BAL,0,100555642.44,100555642.44,60120642.44,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 07 2047,BAL,0,100555371.02,100555371.02,60120371.02,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 06 2047,BAL,0,100555099.60,100555099.60,60120099.60,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 05 2047,BAL,0,100554828.18,100554828.18,60119828.18,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 04 2047,BAL,0,100554556.76,100554556.76,60119556.76,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 03 2047,BAL,0,100554285.34,100554285.34,60119285.34,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 02 2047,BAL,0,100554013.92,100554013.92,60119013.92,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jul 01 2047,BAL,0,100553742.50,100553742.50,60118742.50,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 30 2047,BAL,0,100553471.08,100553471.08,60118471.08,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 29 2047,BAL,0,100553199.66,100553199.66,60118199.66,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 28 2047,BAL,0,100552928.23,100552928.23,60117928.23,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 28 2047,BAL,0,100552928.23,100552928.23,60117928.23,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 27 2047,BAL,0,100552656.81,100552656.81,60117656.81,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 26 2047,BAL,0,100552385.39,100552385.39,60117385.39,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 25 2047,BAL,0,100552113.97,100552113.97,60117113.97,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 24 2047,BAL,0,100551842.55,100551842.55,60116842.55,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 23 2047,BAL,0,100551571.13,100551571.13,60116571.13,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 22 2047,BAL,0,100551299.71,100551299.71,60116299.71,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 21 2047,BAL,0,100551028.29,100551028.29,60116028.29,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 20 2047,BAL,0,100550756.87,100550756.87,60115756.87,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 19 2047,BAL,0,100550485.45,100550485.45,60115485.45,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 18 2047,BAL,0,100550214.03,100550214.03,60115214.03,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 17 2047,BAL,0,100549942.61,100549942.61,60114942.61,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 17 2047,BAL,0,100549942.61,100549942.61,60114942.61,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 16 2047,BAL,0,100549671.19,100549671.19,60114671.19,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 15 2047,BAL,0,100549399.77,100549399.77,60114399.77,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 14 2047,BAL,0,100549128.34,100549128.34,60114128.34,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 13 2047,BAL,0,100548856.92,100548856.92,60113856.92,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 12 2047,BAL,0,100548585.50,100548585.50,60113585.50,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 11 2047,BAL,0,100548314.08,100548314.08,60113314.08,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 10 2047,BAL,0,100548042.66,100548042.66,60113042.66,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 09 2047,BAL,0,100547771.24,100547771.24,60112771.24,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 08 2047,BAL,0,100547499.82,100547499.82,60112499.82,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 07 2047,BAL,0,100547228.40,100547228.40,60112228.40,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 07 2047,BAL,0,100547228.40,100547228.40,60112228.40,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 06 2047,BAL,0,100546956.98,100546956.98,60111956.98,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 05 2047,BAL,0,100546685.56,100546685.56,60111685.56,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 04 2047,BAL,0,100546414.14,100546414.14,60111414.14,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 03 2047,BAL,0,100546142.72,100546142.72,60111142.72,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
Jun 02 2047,BAL,0,100545871.30,100545871.30,60110871.30,22500000.00,435000.00,2500000.00,5000000.00,10000000.00
