Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Reserved
Apr 14 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 13 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 13 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 13 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 12 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 12 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 12 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 12 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 11 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 11 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 11 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 10 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 10 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 10 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 09 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 09 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 09 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 08 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 08 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 08 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 07 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
Apr 07 2025,SAND,0,3000000000.00,3000000000.00,870000000.00,635277777.00,360000000.00,1134722223.00
